cb_2020_3,cbsa_code,cbsa_title,group,elev_mean,slope_mean,ndvi_mean,tcc_mean,dist_water_m,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio
1400000US36001000100,10580,"Albany-Schenectady-Troy, NY",medium,10.151410899072358,2.014119249106916,0.27908059877692826,18.302703881141884,530.1556647762652,0.0,0.422394,0.0,0.0,0.422394,0.422394,0.0,5.068732,1.098612,0.278462,0.137999,78.1387
1400000US36001000201,10580,"Albany-Schenectady-Troy, NY",medium,43.42743607961705,4.457643650667111,0.37287658874089824,18.363048087228,780.3342836733099,0.0,1.623727,0.0,0.0,1.623727,8.118636,1.623727,40.59318,1.073543,0.190929,0.062519,77.7233
1400000US36001000202,10580,"Albany-Schenectady-Troy, NY",medium,45.000347536043016,6.468748682853374,0.3770448756665421,25.343550418883382,723.8453044614514,0.693727,1.387453,0.0,0.0,0.0,0.693727,0.0,9.018446,1.039721,0.324199,0.064097,96.8007
1400000US36001000301,10580,"Albany-Schenectady-Troy, NY",medium,73.22879264271107,2.1908035614383885,0.4143471231738868,17.640589860566728,1327.3497870545389,0.0,0.0,0.0,0.0,0.0,1.516303,0.0,19.711933,-0.0,0.326923,0.075928,80.707
1400000US36001000302,10580,"Albany-Schenectady-Troy, NY",medium,73.74633382416408,3.350081471799008,0.4294414184553333,27.034572271628438,1293.235860728153,0.196158,1.373104,0.0,0.0,0.0,1.569262,0.392315,9.023254,1.132416,0.14159,0.203002,78.2847
1400000US36001000401,10580,"Albany-Schenectady-Troy, NY",medium,92.42317350140304,2.8871395610132122,0.5313468128581139,37.35192972898199,1445.7422210884486,0.11065,0.55325,0.0,0.11065,0.2213,0.4426,0.0,1.549101,1.412745,0.060788,0.454623,56.2542
1400000US36001000403,10580,"Albany-Schenectady-Troy, NY",medium,74.8344340958363,2.062552003017273,0.41908157145804925,19.359856954783094,1109.8138991213962,0.0,3.823239,0.318603,0.0,0.0,3.186032,0.637206,14.337146,1.049635,0.099402,0.155456,74.6736
1400000US36001000404,10580,"Albany-Schenectady-Troy, NY",medium,79.74887082227403,2.704632519939497,0.4019104294525385,23.241717729293637,504.63375762399295,1.070018,0.0,0.0,0.535009,0.0,0.0,0.0,3.210053,0.636514,0.012091,0.002577,83.6549
1400000US36001000501,10580,"Albany-Schenectady-Troy, NY",medium,73.39061153986712,1.0877378072801307,0.3557499975954782,12.33620453030442,1335.2721254745647,0.0,5.481555,0.0,0.0,0.0,3.65437,0.0,29.234958,0.673012,0.209384,0.132845,98.0256
1400000US36001000502,10580,"Albany-Schenectady-Troy, NY",medium,67.75406756741714,0.8305097204549423,0.47622142094847497,18.725682314287127,1262.5638321862475,2.572496,0.0,0.0,0.0,0.0,1.286248,1.286248,18.007473,1.039721,0.066225,0.039735,68.5702
