rank,cbsa_code,cbsa_title,population_2020,n_tracts,n_counties,n_missing_counties,missing_fips
1,35620,"New York-Newark-Jersey City, NY-NJ-PA",19261570,4953,23,0,
2,31080,"Los Angeles-Long Beach-Anaheim, CA",13211027,3112,2,0,
3,16980,"Chicago-Naperville-Elgin, IL-IN-WI",9478801,2335,14,0,
4,19100,"Dallas-Fort Worth-Arlington, TX",7451858,1704,11,0,
5,26420,"Houston-The Woodlands-Sugar Land, TX",6979613,1606,9,0,
6,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6250309,1487,25,0,
7,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",6129858,1497,3,0,
8,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6092403,1556,11,0,
9,12060,"Atlanta-Sandy Springs-Alpharetta, GA",5947008,1500,29,0,
10,38060,"Phoenix-Mesa-Chandler, AZ",4860338,1104,2,0,
11,14460,"Boston-Cambridge-Newton, MA-NH",4854808,1134,7,0,
12,41860,"San Francisco-Oakland-Berkeley, CA",4709220,1102,5,0,
13,40140,"Riverside-San Bernardino-Ontario, CA",4600396,984,2,0,
14,19820,"Detroit-Warren-Dearborn, MI",4317384,1356,6,0,
15,42660,"Seattle-Tacoma-Bellevue, WA",3928498,863,3,0,
16,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3605450,892,15,0,
17,41740,"San Diego-Chula Vista-Carlsbad, CA",3323970,737,1,0,
18,45300,"Tampa-St. Petersburg-Clearwater, FL",3152928,788,4,0,
19,19740,"Denver-Aurora-Lakewood, CO",2928437,707,10,0,
20,41180,"St. Louis, MO-IL",2806349,696,15,0,
21,12580,"Baltimore-Columbia-Towson, MD",2800427,717,7,0,
22,16740,"Charlotte-Concord-Gastonia, NC-SC",2595027,677,11,0,
23,36740,"Orlando-Kissimmee-Sanford, FL",2560260,490,4,0,
24,41700,"San Antonio-New Braunfels, TX",2510211,501,8,0,
25,38900,"Portland-Vancouver-Hillsboro, OR-WA",2472774,568,7,0,
26,40900,"Sacramento-Roseville-Folsom, CA",2338866,563,4,0,
27,38300,"Pittsburgh, PA",2324447,724,7,0,
28,29820,"Las Vegas-Henderson-Paradise, NV",2228866,535,1,0,
29,17140,"Cincinnati, OH-KY-IN",2214265,552,16,0,
30,12420,"Austin-Round Rock-Georgetown, TX",2173804,503,5,0,
31,28140,"Kansas City, MO-KS",2144129,607,14,0,
32,18140,"Columbus, OH",2101543,516,10,0,
33,41980,"San Juan-Bayamón-Caguas, PR",2061555,625,40,0,
34,17460,"Cleveland-Elyria, OH",2053137,631,5,0,
35,26900,"Indianapolis-Carmel-Anderson, IN",2050933,475,11,0,
36,41940,"San Jose-Sunnyvale-Santa Clara, CA",1985926,420,2,0,
37,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1904186,427,13,0,
38,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1768956,491,19,0,
39,39300,"Providence-Warwick, RI-MA",1621099,381,6,0,
40,33340,"Milwaukee-Waukesha, WI",1576525,452,4,0,
41,27260,"Jacksonville, FL",1533796,343,5,0,
42,36420,"Oklahoma City, OK",1397040,419,7,0,
43,39580,"Raleigh-Cary, NC",1362997,299,3,0,
