cb_2020_3,cbsa_code,cbsa_title,group,county_fips,tract_name,population
1400000US36001000100,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 1, Albany County, New York",2029
1400000US36001000201,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 2.01, Albany County, New York",3263
1400000US36001000202,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 2.02, Albany County, New York",2153
1400000US36001000301,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 3.01, Albany County, New York",3016
1400000US36001000302,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 3.02, Albany County, New York",2931
1400000US36001000401,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 4.01, Albany County, New York",2336
1400000US36001000403,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 4.03, Albany County, New York",4014
1400000US36001000404,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 4.04, Albany County, New York",5045
1400000US36001000501,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 5.01, Albany County, New York",3410
1400000US36001000502,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 5.02, Albany County, New York",3926
1400000US36001000600,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 6, Albany County, New York",3773
1400000US36001000700,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 7, Albany County, New York",3611
1400000US36001000800,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 8, Albany County, New York",2102
1400000US36001001100,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 11, Albany County, New York",1751
1400000US36001001400,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 14, Albany County, New York",4288
1400000US36001001500,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 15, Albany County, New York",4621
1400000US36001001600,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 16, Albany County, New York",4156
1400000US36001001700,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 17, Albany County, New York",4041
1400000US36001001802,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 18.02, Albany County, New York",3937
1400000US36001001803,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 18.03, Albany County, New York",3544
1400000US36001001804,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 18.04, Albany County, New York",3537
1400000US36001001901,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 19.01, Albany County, New York",2496
1400000US36001001902,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 19.02, Albany County, New York",2278
1400000US36001002000,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 20, Albany County, New York",6067
1400000US36001002100,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 21, Albany County, New York",3174
1400000US36001002200,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 22, Albany County, New York",2657
1400000US36001002300,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 23, Albany County, New York",1712
1400000US36001002500,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 25, Albany County, New York",3063
1400000US36001002600,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 26, Albany County, New York",3929
1400000US36001012700,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 127, Albany County, New York",3207
1400000US36001012800,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 128, Albany County, New York",3527
1400000US36001012900,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 129, Albany County, New York",3330
1400000US36001013000,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 130, Albany County, New York",6644
1400000US36001013100,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 131, Albany County, New York",2647
1400000US36001013200,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 132, Albany County, New York",3393
1400000US36001013300,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 133, Albany County, New York",3775
1400000US36001013400,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 134, Albany County, New York",2808
1400000US36001013503,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 135.03, Albany County, New York",5030
1400000US36001013505,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 135.05, Albany County, New York",2753
1400000US36001013507,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 135.07, Albany County, New York",2273
1400000US36001013509,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 135.09, Albany County, New York",3599
1400000US36001013510,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 135.10, Albany County, New York",3671
1400000US36001013511,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 135.11, Albany County, New York",3411
1400000US36001013512,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 135.12, Albany County, New York",3422
1400000US36001013602,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 136.02, Albany County, New York",3889
1400000US36001013603,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 136.03, Albany County, New York",3347
1400000US36001013604,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 136.04, Albany County, New York",6472
1400000US36001013703,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 137.03, Albany County, New York",2407
1400000US36001013706,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 137.06, Albany County, New York",2041
1400000US36001013707,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 137.07, Albany County, New York",5878
1400000US36001013708,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 137.08, Albany County, New York",3146
1400000US36001013709,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 137.09, Albany County, New York",3140
1400000US36001013802,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 138.02, Albany County, New York",4261
1400000US36001013803,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 138.03, Albany County, New York",3169
1400000US36001013804,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 138.04, Albany County, New York",4035
1400000US36001013901,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 139.01, Albany County, New York",2270
1400000US36001013902,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 139.02, Albany County, New York",5416
1400000US36001014001,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 140.01, Albany County, New York",3767
1400000US36001014002,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 140.02, Albany County, New York",5251
1400000US36001014100,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 141, Albany County, New York",5508
1400000US36001014201,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 142.01, Albany County, New York",5781
1400000US36001014202,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 142.02, Albany County, New York",6085
1400000US36001014203,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 142.03, Albany County, New York",6181
1400000US36001014301,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 143.01, Albany County, New York",3207
1400000US36001014303,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 143.03, Albany County, New York",5083
1400000US36001014304,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 143.04, Albany County, New York",3166
1400000US36001014401,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 144.01, Albany County, New York",4124
1400000US36001014402,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 144.02, Albany County, New York",3181
1400000US36001014501,10580,"Albany-Schenectady-Troy, NY",medium,36001,"Census Tract 145.01, Albany County, New York",2458
