cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Le_1,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
09,001,043100,1400000US09001043100,09001043100,431,Census Tract 431,CT,Fairfield County,Connecticut,CT,6652728.0,58522.0,1400000US09001043100,"Census Tract 431, Fairfield County, Connecticut",4536,879,,0.125808982113,0.125808982113,0.000715049223711,41.96018269615971,3.4330963869234066,0.5085496724832242,0.31072683058632805,91.31315860578222,0.0,6.646852202107538,0.0,0.0,0.06754931099702784,0.4323155903809781,1.2023777357470953,0.027019724398811132,20.421777897865443,0.450943,2.254714,0.0,0.0,0.0,0.601257,0.150314,5.411314,0.984983,0.262566,0.177469,111.6659,40,40,14,17,24,24,144,84,1073,280,158466,69282,66208,8551,244,137,50.86609913510264,593.5101840512085,"Census Tract 431, Fairfield County, Connecticut",4536,879,
09,001,044500,1400000US09001044500,09001044500,445,Census Tract 445,CT,Fairfield County,Connecticut,CT,1287342.0,0.0,1400000US09001044500,"Census Tract 445, Fairfield County, Connecticut",4756,722,,0.0550471601505,0.0550471601505,0.000140259692482,14.517112359569849,5.1442501096239575,0.3070679387484172,0.0,99.51823812801102,0.0,0.0,0.0,0.0,0.0,0.0,0.4817618719889883,0.0,53.37921541637991,1.553589,0.0,0.0,0.0,0.0,0.0,0.0,5.43756,-0.0,0.344407,0.053406,82.2921,47,43,36,43,81,55,323,134,644,183,61521,11317,24145,3882,610,305,25.60225617846625,624.0484046161154,"Census Tract 445, Fairfield County, Connecticut",4756,722,
09,001,110301,1400000US09001110301,09001110301,1103.01,Census Tract 1103.01,CT,Fairfield County,Connecticut,CT,10336294.0,86122.0,1400000US09001110301,"Census Tract 1103.01, Fairfield County, Connecticut",6647,763,,0.162304743761,0.162304743761,0.001122180062,99.94668912900246,6.268993835295807,0.49062504347182295,0.42259594652867616,59.827511858559724,0.0,34.523501509271235,0.0,0.0,0.043122035360069,0.06037084950409659,5.1228978007761965,0.0,15.422250970245795,0.096746,1.064211,0.677225,0.0,0.0,0.193493,0.0,3.386127,1.073831,0.10516,0.251091,76.4534,18,29,28,50,137,130,126,94,1390,281,111483,28870,52702,6394,262,215,63.19190238003776,769.3049021832102,"Census Tract 1103.01, Fairfield County, Connecticut",6647,763,
09,001,060800,1400000US09001060800,09001060800,608,Census Tract 608,CT,Fairfield County,Connecticut,CT,1423922.0,0.0,1400000US09001060800,"Census Tract 608, Fairfield County, Connecticut",2103,285,,0.0616707709348,0.0616707709348,0.000152458447061,14.053044425451391,3.2352350532134184,0.5159557561716919,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.302149178255373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.129714,0.0,0.272943,0.145506,84.1506,17,20,0,13,6,16,37,39,539,122,211964,25446,80314,11135,80,46,45.97581300156726,611.0927259530642,"Census Tract 608, Fairfield County, Connecticut",2103,285,
09,001,010600,1400000US09001010600,09001010600,106,Census Tract 106,CT,Fairfield County,Connecticut,CT,883179.0,0.0,1400000US09001010600,"Census Tract 106, Fairfield County, Connecticut",2012,309,,0.0450819070806,0.0450819070806,9.45755050901e-05,31.35016634180897,3.581460552719898,0.30332676182420254,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.64256619144603,0.0,2.264547,0.0,1.132273,2.264547,3.39682,0.0,15.851826,1.320888,0.143638,0.246024,88.743,42,39,0,13,9,20,49,51,388,104,145789,44186,110533,33991,318,225,17.830658182922736,924.0635397334725,"Census Tract 106, Fairfield County, Connecticut",2012,309,
09,001,043000,1400000US09001043000,09001043000,430,Census Tract 430,CT,Fairfield County,Connecticut,CT,3028521.0,37313.0,1400000US09001043000,"Census Tract 430, Fairfield County, Connecticut",2942,456,,0.0803458511066,0.0803458511066,0.000328362365354,42.17922150135718,4.45218133287143,0.5113385681643451,0.1176470588235294,95.41176470588235,0.0,3.1176470588235294,0.0,0.0,0.0,0.0,1.352941176470588,0.0,19.87676470588235,0.660388,0.0,0.0,0.0,0.330194,0.0,0.0,1.320777,0.636514,0.150918,0.233855,89.3179,0,13,16,25,54,57,57,39,766,197,125813,23741,58382,9706,185,179,54.14210659175863,625.1742323401112,"Census Tract 430, Fairfield County, Connecticut",2942,456,
09,001,070900,1400000US09001070900,09001070900,709,Census Tract 709,CT,Fairfield County,Connecticut,CT,442261.0,0.0,1400000US09001070900,"Census Tract 709, Fairfield County, Connecticut",3047,494,,0.0336662658238,0.0336662658238,4.74269365531e-05,3.969803168524445,0.8294516641535887,0.25467182987990983,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.71428571428571,6.783325,18.088866,0.0,0.0,0.0,4.522217,0.0,40.699949,0.925129,0.276994,0.117164,103.2688,162,164,53,40,70,49,225,110,161,64,30265,10401,14574,2487,1345,467,6.8059923179506,438.43924182326947,"Census Tract 709, Fairfield County, Connecticut",3047,494,
09,001,071600,1400000US09001071600,09001071600,716,Census Tract 716,CT,Fairfield County,Connecticut,CT,172310.0,0.0,1400000US09001071600,"Census Tract 716, Fairfield County, Connecticut",2690,625,,0.0181076736463,0.0181076736463,1.85350630539e-05,17.978543053575937,2.950727575026359,0.23465970850716908,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8010752688172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.803494,0.0,0.35948,0.019331,51.2936,224,186,68,41,187,179,99,50,115,61,20389,9344,9541,2620,1460,518,6.506971704285246,642.6317383123318,"Census Tract 716, Fairfield County, Connecticut",2690,625,
36,119,008100,1400000US36119008100,36119008100,81,Census Tract 81,NY,Westchester County,New York,CT,755901.0,16635.0,1400000US36119008100,"Census Tract 81, Westchester County, New York",4714,945,,0.0466373721978,0.000995441548837,1.21108084741e-08,16.7453322536065,4.254192658187844,0.3939119292861874,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.08802816901409,0.0,1.322925,0.0,0.0,0.0,0.0,0.0,2.645849,-0.0,0.168647,0.16801,111.3901,0,12,0,12,61,60,143,98,861,244,96705,40724,39715,4862,237,165,22.91532446579336,440.6209254459208,"Census Tract 81, Westchester County, New York",4714,945,
09,001,210202,1400000US09001210202,09001210202,2102.02,Census Tract 2102.02,CT,Fairfield County,Connecticut,CT,1191359.0,0.0,1400000US09001210202,"Census Tract 2102.02, Fairfield County, Connecticut",3379,730,,0.0556095505782,0.0556095505782,0.000129475786712,121.7031386765714,3.6048021672833275,0.38345035315757425,0.14947683109118087,94.31988041853513,0.0,1.8684603886397608,0.0,0.0,0.0,0.0,3.5127055306427506,0.14947683109118087,44.1457399103139,0.0,0.0,0.0,0.0,0.839378,0.0,0.0,4.196888,-0.0,0.29417,0.04232,101.8519,41,46,0,13,51,40,156,81,292,133,55900,25988,17402,3002,520,283,26.98421112882064,451.20845010567143,"Census Tract 2102.02, Fairfield County, Connecticut",3379,730,
