cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
18,127,051101,1400000US18127051101,18127051101,511.01,Census Tract 511.01,IN,Porter County,Indiana,CT,93739670.0,86969.0,1400000US18127051101,"Census Tract 511.01, Porter County, Indiana",6185,21,,0.494231548474,0.0100888407017,205.73091686543503,0.7638710185226296,0.4264191156866605,0.46032108346648404,46.38210454234193,0.0,13.54333105074945,0.0,0.3385832762687362,0.27010575972000306,19.05196682644754,15.483527352963556,4.470060108042303,3.153432961804823,0.021336,0.0,0.0,0.0,0.0,0.0,0.0,0.053339,-0.0,0.243654,0.138884,97.1001,51,48,38,60,100,74,235,131,1313,256,92719,15240,30890,3420,424,280,5.918025447792789,1310.7366937168772,"Census Tract 511.01, Porter County, Indiana",6185,21,
17,197,882900,1400000US17197882900,17197882900,8829,Census Tract 8829,IL,Will County,Illinois,CT,6773411.0,894095.0,1400000US17197882900,"Census Tract 8829, Will County, Illinois",2832,537,,0.137939235926,0.000826195491585,169.47940166212757,2.3104620124649045,0.37844321719760216,11.717005523563286,81.8074979433541,0.7638970501821601,1.0929603948760136,0.0,0.29380655776236925,1.2927488541544248,0.0,1.5512986249853096,1.480785051122341,46.11005402865868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442908,0.0,0.238701,0.106638,96.2578,8,7,73,105,72,30,177,67,311,80,49435,22534,23730,6238,638,387,16.112148512324588,382.8679483121001,"Census Tract 8829, Will County, Illinois",2832,537,
17,197,881115,1400000US17197881115,17197881115,8811.15,Census Tract 8811.15,IL,Will County,Illinois,CT,4262064.0,0.0,1400000US17197881115,"Census Tract 8811.15, Will County, Illinois",4886,864,,0.11064695748,0.000458116108066,211.9603458329363,1.7183859099327345,0.5605806659944764,0.5524861878453038,94.81512962175945,0.0,1.3599660008499788,0.0,1.3599660008499788,0.254993625159371,0.4249893752656183,0.7012324691882702,0.531236719082023,39.32966101694915,0.0,0.0,0.0,0.469256,0.0,0.0,0.0,0.703884,-0.0,0.284077,0.078592,115.5271,0,12,0,12,55,49,89,68,1113,257,122772,15940,39842,4046,137,135,15.562574424114212,534.0972392294365,"Census Tract 8811.15, Will County, Illinois",4886,864,
17,037,001500,1400000US17037001500,17037001500,15,Census Tract 15,IL,DeKalb County,Illinois,CT,38431549.0,171070.0,1400000US17037001500,"Census Tract 15, DeKalb County, Illinois",3891,544,,0.32288872478,0.00418678802836,270.89494267053976,0.9829493184289538,0.3904921404473006,1.2133851549909944,95.44032609726041,0.028438714570101435,0.13271400132714,0.0,0.07583657218693715,1.8200777324864919,1.1565077258507914,0.0,0.13271400132714,11.920041972717733,0.052041,0.02602,0.0,0.130101,0.0,0.104081,0.0,0.338264,1.236685,0.206888,0.172449,99.6408,35,30,10,16,54,49,216,96,605,167,62557,13433,24663,2989,580,308,0.985340945500511,939.3848835997537,"Census Tract 15, DeKalb County, Illinois",3891,544,
17,031,822400,1400000US17031822400,17031822400,8224,Census Tract 8224,IL,Cook County,Illinois,CT,2388206.0,0.0,1400000US17031822400,"Census Tract 8224, Cook County, Illinois",6214,888,,0.0991496378915,0.000259860193668,185.30237322938703,0.5296290947560282,0.43576815460503865,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17384788310228,0.837449,0.837449,0.0,0.0,0.0,2.093622,0.0,5.443417,0.995027,0.27776,0.127776,97.3952,57,54,64,62,58,61,453,167,838,219,57957,9967,23379,4114,1630,512,8.659533725814082,650.4026689965864,"Census Tract 8224, Cook County, Illinois",6214,888,
17,031,740100,1400000US17031740100,17031740100,7401,Census Tract 7401,IL,Cook County,Illinois,CT,891330.0,0.0,1400000US17031740100,"Census Tract 7401, Cook County, Illinois",2962,462,,0.0509117727514,9.54781435221e-05,190.18015097141256,0.10952880033459718,0.3756867150124718,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.81568228105907,0.0,2.243838,1.121919,0.0,1.121919,0.0,0.0,5.609595,1.039721,0.274477,0.134706,103.155,59,66,0,12,9,21,99,67,554,147,113036,32529,40986,6073,307,241,7.452822945076742,1695.857986123006,"Census Tract 7401, Cook County, Illinois",2962,462,
17,031,530501,1400000US17031530501,17031530501,5305.01,Census Tract 5305.01,IL,Cook County,Illinois,CT,1296493.0,0.0,1400000US17031530501,"Census Tract 5305.01, Cook County, Illinois",5073,1595,,0.0530573459647,0.000140194272888,187.0346757260279,0.40789313558236057,0.4833917058874034,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.72727272727273,1.542623,0.0,0.0,7.713115,0.771312,0.771312,0.0,12.340984,0.895333,0.227479,0.150798,79.9574,215,250,9,14,28,33,286,149,577,298,51189,36743,24665,8989,1434,1305,14.333136410412779,1225.7389928710859,"Census Tract 5305.01, Cook County, Illinois",5073,1595,
17,031,830300,1400000US17031830300,17031830300,8303,Census Tract 8303,IL,Cook County,Illinois,CT,2291775.0,0.0,1400000US17031830300,"Census Tract 8303, Cook County, Illinois",4536,578,,0.0738290600592,0.000247861975973,216.73536486881844,0.7074120606490232,0.5223467202376385,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.160406885758995,0.872686,0.0,0.0,0.0,0.872686,0.0,0.0,2.618058,0.693147,0.22575,0.184083,71.4934,18,30,0,12,81,93,294,134,620,216,56981,11279,24097,3134,437,184,11.433155753435173,1240.8429434427735,"Census Tract 8303, Cook County, Illinois",4536,578,
17,031,750300,1400000US17031750300,17031750300,7503,Census Tract 7503,IL,Cook County,Illinois,CT,661763.0,0.0,1400000US17031750300,"Census Tract 7503, Cook County, Illinois",2523,445,,0.034207288622,7.15829638928e-05,194.45808775352265,0.44756110458059545,0.438934691538571,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6866485013624,0.0,0.0,0.0,0.0,0.0,6.04446,1.511115,7.555575,0.500402,0.30004,0.15656,94.0769,11,12,0,12,7,16,74,42,541,128,120074,28312,45062,5776,52,51,13.990462779235738,1951.7245548997282,"Census Tract 7503, Cook County, Illinois",2523,445,
17,031,826303,1400000US17031826303,17031826303,8263.03,Census Tract 8263.03,IL,Cook County,Illinois,CT,1557566.0,0.0,1400000US17031826303,"Census Tract 8263.03, Cook County, Illinois",3759,539,,0.0570264197932,0.000168450158051,182.46423606686056,0.402273040968509,0.479035840352877,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.86866359447004,0.642027,0.642027,0.0,0.642027,0.0,0.0,0.0,1.926082,1.098612,0.250599,0.170258,81.682,91,70,5,8,37,30,278,113,576,163,54137,9533,22630,4956,562,351,12.21054645142742,825.929620382057,"Census Tract 8263.03, Cook County, Illinois",3759,539,
17,031,826500,1400000US17031826500,17031826500,8265,Census Tract 8265,IL,Cook County,Illinois,CT,3535059.0,57239.0,1400000US17031826500,"Census Tract 8265, Cook County, Illinois",5909,898,,0.102556863899,0.000388064536233,182.90725560328747,0.3634065115801537,0.4252921782736647,1.5292053146151918,98.47079468538482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.191777387816494,1.131523,0.0,0.0,1.980165,0.0,0.0,0.0,1.414404,0.655482,0.305297,0.158741,73.6409,131,141,0,17,168,93,472,167,628,172,45736,5787,20096,3760,1997,879,11.669078576910719,726.96738410622,"Census Tract 8265, Cook County, Illinois",5909,898,
17,031,827801,1400000US17031827801,17031827801,8278.01,Census Tract 8278.01,IL,Cook County,Illinois,CT,2841668.0,0.0,1400000US17031827801,"Census Tract 8278.01, Cook County, Illinois",5263,640,,0.0870627294776,0.000305822760295,182.5427095571221,0.5841899855990763,0.47533668972479054,0.0,99.93642720915447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06357279084551812,55.32549268912905,1.407624,0.351906,0.351906,0.703812,2.111436,0.0,0.0,8.79765,1.376055,0.234277,0.165685,89.2485,33,49,16,18,108,83,133,90,986,310,67336,5216,23884,3331,581,363,13.243560404934797,817.855071356294,"Census Tract 8278.01, Cook County, Illinois",5263,640,
17,031,825900,1400000US17031825900,17031825900,8259,Census Tract 8259,IL,Cook County,Illinois,CT,1612665.0,0.0,1400000US17031825900,"Census Tract 8259, Cook County, Illinois",3529,853,,0.0530937436757,0.000174499724397,179.09694785446666,0.1348820154611441,0.46319262444344866,0.0,87.24944320712696,0.0,1.1135857461024499,0.0,0.6681514476614699,0.6681514476614699,0.0,0.779510022271715,9.521158129175946,53.183184855233854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620092,0.0,0.278549,0.066874,90.4479,149,141,6,9,0,17,152,98,496,154,54011,11742,22378,6477,773,755,13.402586165456912,699.4356422981914,"Census Tract 8259, Cook County, Illinois",3529,853,
