cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Le_1,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
47,093,004300,1400000US47093004300,47093004300,43,Census Tract 43,TN,Knox County,Tennessee,CT,8434605.0,0.0,1400000US47093004300,"Census Tract 43, Knox County, Tennessee",2939,486,,0.159878920554,0.159878920554,0.000842592764883,311.0280770132571,6.4992828089953,0.67299131953382,0.0,65.44871794871796,0.0,22.67094017094017,0.0,0.0,0.03205128205128205,11.495726495726496,0.3525641025641026,0.0,24.583226495726496,0.0,0.592796,0.0,0.0,0.0,0.118559,0.0,1.42271,0.450561,0.220483,0.152773,106.101,79,58,19,22,13,23,137,71,454,126,69100,13405,25865,3245,484,233,31.722640129485622,2391.8137355803956,"Census Tract 43, Knox County, Tennessee",2939,486,
47,093,006700,1400000US47093006700,47093006700,67,Census Tract 67,TN,Knox County,Tennessee,CT,2811420.0,0.0,1400000US47093006700,"Census Tract 67, Knox County, Tennessee",2783,504,,0.0792608757185,0.0792608757185,0.000282151324892,284.83287105444236,3.6273495581331185,0.4453768568640718,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.2881734140899,0.711384,0.355692,0.0,0.0,0.0,0.0,0.0,4.623998,0.636514,0.189005,0.098096,104.7829,56,46,13,15,77,64,200,140,164,83,41438,4378,22446,4496,821,230,10.947378027360482,1770.622809953098,"Census Tract 67, Knox County, Tennessee",2783,504,
47,093,001800,1400000US47093001800,47093001800,18,Census Tract 18,TN,Knox County,Tennessee,CT,2818218.0,0.0,1400000US47093001800,"Census Tract 18, Knox County, Tennessee",2351,403,,0.0727624164385,0.0727624164385,0.000282243755901,309.93777374321496,5.161613648044166,0.5946538826909312,0.0,98.81977671451355,0.0,1.1802232854864434,0.0,0.0,0.0,0.0,0.0,0.0,36.693141945773526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354834,0.0,0.193535,0.142918,90.2104,10,18,0,13,91,71,141,99,356,124,61985,22550,30788,5315,422,232,26.876881058480162,1579.281635799433,"Census Tract 18, Knox County, Tennessee",2351,403,
47,093,004200,1400000US47093004200,47093004200,42,Census Tract 42,TN,Knox County,Tennessee,CT,3542202.0,3662.0,1400000US47093004200,"Census Tract 42, Knox County, Tennessee",3133,502,,0.0866471425257,0.0866471425257,0.000353450275491,311.9339105096268,3.566570082666765,0.6641133805048847,0.0,98.828025477707,0.0,0.6114649681528662,0.0,0.0,0.0,0.5605095541401274,0.0,0.0,27.12891719745223,0.28231,0.0,0.0,0.0,0.0,0.28231,0.0,2.258482,0.693147,0.140121,0.141398,93.0376,16,19,0,13,9,18,174,77,550,158,70093,9212,31245,3693,294,135,24.50704402603667,3646.5291764680824,"Census Tract 42, Knox County, Tennessee",3133,502,
47,093,006800,1400000US47093006800,47093006800,68,Census Tract 68,TN,Knox County,Tennessee,CT,3401147.0,223371.0,1400000US47093006800,"Census Tract 68, Knox County, Tennessee",4533,725,,0.0904192564277,0.0904192564277,0.000362685938535,279.1096452672576,5.705608247882955,0.4913197258641266,4.634448574969021,95.34076827757126,0.0,0.0,0.0,0.0,0.024783147459727387,0.0,0.0,0.0,45.074101610904584,1.176074,0.0,0.0,0.0,0.0,0.882055,0.0,6.468406,0.682908,0.197662,0.125524,82.9298,244,112,44,54,133,121,179,110,161,93,19953,14119,14580,2657,2434,536,18.666508486311233,664.9777606090954,"Census Tract 68, Knox County, Tennessee",4533,725,
47,093,005707,1400000US47093005707,47093005707,57.07,Census Tract 57.07,TN,Knox County,Tennessee,CT,7587187.0,924383.0,1400000US47093005707,"Census Tract 57.07, Knox County, Tennessee",3428,476,,0.184409901326,0.184409901326,0.000847334205834,270.57304468421705,6.633334360857926,0.6334447531068956,9.49708840656432,59.64002117522499,0.0,26.52196929592377,0.0,0.0,0.49761778718898886,3.4621492853361566,0.38115404976177875,0.0,16.639703546850185,0.131801,0.0,0.131801,0.0,0.0,0.0,0.0,0.527205,0.693147,0.233372,0.132439,91.5084,9,14,0,13,27,35,101,77,825,171,117727,15154,57772,11747,127,94,36.39545195637801,317.15002410242425,"Census Tract 57.07, Knox County, Tennessee",3428,476,
47,009,011002,1400000US47009011002,47009011002,110.02,Census Tract 110.02,TN,Blount County,Tennessee,CT,34896630.0,0.0,1400000US47009011002,"Census Tract 110.02, Blount County, Tennessee",4404,441,,0.286581943216,0.286581943216,0.00346803568276,294.2337899147367,7.124550824646005,0.7484737465122832,0.2342866375828082,23.425970808423546,0.013464749286368288,31.88991220983465,0.0,0.05385899714547315,0.18581354015188237,43.90316152313244,0.290838584585555,0.0026929498572736575,4.272228831531578,0.028656,0.0,0.0,0.0,0.0,0.0,0.0,0.229248,-0.0,0.178928,0.284741,85.7444,33,36,25,38,58,43,227,85,935,213,77243,7238,37537,5908,394,207,28.803997209315526,932.0710244005298,"Census Tract 110.02, Blount County, Tennessee",4404,441,
47,013,950701,1400000US47013950701,47013950701,9507.01,Census Tract 9507.01,TN,Campbell County,Tennessee,CT,11197893.0,0.0,1400000US47013950701,"Census Tract 9507.01, Campbell County, Tennessee",1721,291,,0.218692506233,0.218692506233,0.00112441989994,385.61533430067146,11.102352139284163,0.7508477691492332,0.0,40.03055153561666,0.0,36.05081202765718,0.0,0.03215951117543013,0.20903682264029588,23.677440102910435,0.0,0.0,8.057324328670203,0.178605,0.178605,0.089303,0.0,0.089303,0.0,0.0,1.518143,1.329661,0.154561,0.311447,103.6686,0,13,24,39,28,33,66,57,261,103,61875,20582,41358,21522,119,134,37.74381703162649,1849.2372394716053,"Census Tract 9507.01, Campbell County, Tennessee",1721,291,
47,093,004615,1400000US47093004615,47093004615,46.15,Census Tract 46.15,TN,Knox County,Tennessee,CT,4749583.0,0.0,1400000US47093004615,"Census Tract 46.15, Knox County, Tennessee",4559,436,,0.0987112175912,0.0987112175912,0.000475439857985,320.9537489967145,5.301926707924377,0.654745183600983,0.0,91.06029106029106,0.0,7.975807975807976,0.0,0.0,0.0,0.9639009639009639,0.0,0.0,30.87129087129087,0.210545,0.0,0.0,0.0,0.0,0.0,0.0,0.631634,-0.0,0.255758,0.141259,79.5589,144,74,78,55,75,55,243,105,586,149,54079,12852,27312,3629,997,325,28.53395942933506,1670.3087313139447,"Census Tract 46.15, Knox County, Tennessee",4559,436,
47,093,002600,1400000US47093002600,47093002600,26,Census Tract 26,TN,Knox County,Tennessee,CT,3483177.0,0.0,1400000US47093002600,"Census Tract 26, Knox County, Tennessee",2682,453,,0.093319550861,0.093319550861,0.000347693814741,270.87097703556725,5.234948514207799,0.5699504054727152,0.0,93.69019912076546,0.0,5.146108094129817,0.0,0.0,0.0,0.0,1.1636927851047323,0.0,45.12878200155159,0.287094,0.861283,0.0,0.0,0.0,0.574188,0.0,4.593508,1.011404,0.288963,0.060403,95.0545,71,60,75,53,121,73,123,75,147,80,25129,11441,15886,2343,1041,309,23.53308493181804,939.6529322324019,"Census Tract 26, Knox County, Tennessee",2682,453,
