cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Le_1,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
36,083,040300,1400000US36083040300,36083040300,403,Census Tract 403,NY,Rensselaer County,New York,CT,1001483.0,299941.0,1400000US36083040300,"Census Tract 403, Rensselaer County, New York",2916,583,,0.0552375409024,0.0552375409024,0.000142205643761,9.078576586883964,1.6085389374043497,0.3012632333320477,22.26099092812282,76.34333565945569,0.0,1.3956734124214933,0.0,0.0,0.0,0.0,0.0,0.0,43.12630844382414,1.997038,0.0,0.0,0.0,0.0,0.0,0.0,3.994077,-0.0,0.210562,0.122085,101.9391,30,37,62,79,54,50,184,110,452,176,58750,28085,28678,4967,390,198,14.491026089045667,200.10346200218186,"Census Tract 403, Rensselaer County, New York",2916,583,
36,083,052602,1400000US36083052602,36083052602,526.02,Census Tract 526.02,NY,Rensselaer County,New York,CT,1809749.0,0.0,1400000US36083052602,"Census Tract 526.02, Rensselaer County, New York",1125,171,,0.0699363021312,0.0699363021312,0.000200741600651,128.01818703187143,3.8027764825420554,0.7044214897759472,0.0,50.63788027477919,0.0,37.29146221786065,0.0,0.0,0.0,0.9813542688910697,11.089303238469087,0.0,14.997546614327772,0.0,0.552563,0.0,0.0,0.552563,0.552563,0.0,3.315377,1.098612,0.186667,0.12,122.7723,11,17,0,12,4,13,61,31,210,56,94412,10677,35950,4254,60,39,54.8893083384213,1280.1129002134605,"Census Tract 526.02, Rensselaer County, New York",1125,171,
36,091,061303,1400000US36091061303,36091061303,613.03,Census Tract 613.03,NY,Saratoga County,New York,CT,1136610.0,2625.0,1400000US36091061303,"Census Tract 613.03, Saratoga County, New York",1937,255,,0.0476405858878,0.0476405858878,0.000126907632274,130.02585121091064,6.366471867681572,0.47936573289195755,0.0,45.73218480814409,0.0,50.74393108848865,0.0,0.0,0.0,0.15661707126076743,3.3672670321064997,0.0,20.021926389976507,0.0,0.0,0.0,0.0,1.759619,0.0,0.0,4.399046,-0.0,0.0,0.003614,68.1424,0,12,0,12,0,17,3,25,0,32,,,3139,1137,0,12,57.0057503782334,1283.6194955613369,"Census Tract 613.03, Saratoga County, New York",1937,255,
36,091,060602,1400000US36091060602,36091060602,606.02,Census Tract 606.02,NY,Saratoga County,New York,CT,106701276.0,380719.0,1400000US36091060602,"Census Tract 606.02, Saratoga County, New York",4907,316,,0.443190663966,0.443190663966,0.0118404062822,289.52512940231264,5.355996284764421,0.7402687869189155,0.418983837992916,9.545764308971135,0.9852009523889651,69.39819449936479,0.0,1.168611548136868,1.1913275393533513,3.153316114051102,13.65651738614661,0.4820838135942587,1.68071453201349,0.0,0.009372,0.0,0.0,0.0,0.0,0.009372,0.112464,0.693147,0.227226,0.149786,105.3138,27,32,47,52,103,71,250,123,955,221,92056,14657,54262,22448,603,296,68.09561737643142,1344.4549461600573,"Census Tract 606.02, Saratoga County, New York",4907,316,
36,001,013200,1400000US36001013200,36001013200,132,Census Tract 132,NY,Albany County,New York,CT,860044.0,130213.0,1400000US36001013200,"Census Tract 132, Albany County, New York",3393,440,,0.04847796856,0.04847796856,0.000108095809744,8.450960278452113,1.300924685670504,0.2624874046236016,10.989010989010989,88.91941391941391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09157509157509157,64.82234432234432,1.162731,4.650925,0.0,2.325462,1.162731,2.325462,0.0,19.766431,1.470808,0.237253,0.215444,65.593,109,76,35,54,150,110,202,118,331,147,29619,12675,30892,12443,1014,356,10.547849844545455,276.94292287626683,"Census Tract 132, Albany County, New York",3393,440,
36,001,014202,1400000US36001014202,36001014202,142.02,Census Tract 142.02,NY,Albany County,New York,CT,7780546.0,23783.0,1400000US36001014202,"Census Tract 142.02, Albany County, New York",6085,642,,0.165251577988,0.165251577988,0.000857489769396,68.01549566095835,2.5054088156111827,0.7104427255813343,0.0,62.233981364316115,0.0,18.68169791786495,0.0,0.0,0.0,9.32934545036236,9.720464741746232,0.034510525710341654,16.405268606925112,0.257051,0.89968,0.257051,0.0,0.385577,1.670834,0.514103,5.912181,1.544332,0.207231,0.189482,99.5082,0,17,8,14,14,28,155,96,1535,266,136250,26144,59341,8501,100,63,51.309097405025916,2310.200467140736,"Census Tract 142.02, Albany County, New York",6085,642,
36,001,000501,1400000US36001000501,36001000501,5.01,Census Tract 5.01,NY,Albany County,New York,CT,547290.0,0.0,1400000US36001000501,"Census Tract 5.01, Albany County, New York",3410,720,,0.0387750922085,0.0387750922085,5.93226585202e-05,73.39061153986712,1.0877378072801307,0.3557499975954782,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.42928452579035,0.0,5.481555,0.0,0.0,0.0,3.65437,0.0,29.234958,0.673012,0.209384,0.132845,98.0256,82,57,36,53,81,61,82,69,280,130,49948,23907,23758,5490,1175,422,12.33620453030442,1335.2721254745647,"Census Tract 5.01, Albany County, New York",3410,720,
36,001,002200,1400000US36001002200,36001002200,22,Census Tract 22,NY,Albany County,New York,CT,248391.0,0.0,1400000US36001002200,"Census Tract 22, Albany County, New York",2657,510,,0.0218614134868,0.0218614134868,2.73173116423e-05,56.3520550877503,2.7344668071736065,0.313556891786172,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0948905109489,0.0,0.0,0.0,0.0,0.0,12.077732,0.0,28.181375,-0.0,0.150169,0.100489,90.8764,11,17,47,55,36,50,161,82,191,83,49080,19480,28660,4734,514,300,10.133497040496229,352.6882241592727,"Census Tract 22, Albany County, New York",2657,510,
36,093,020200,1400000US36093020200,36093020200,202,Census Tract 202,NY,Schenectady County,New York,CT,1799249.0,248066.0,1400000US36093020200,"Census Tract 202, Schenectady County, New York",2154,474,,0.0777865101698,0.0777865101698,0.000227710654061,76.29887044475538,2.1398314124031765,0.33667665324415885,10.732984293193718,86.1692844677138,0.0,2.6178010471204187,0.0,0.0,0.0,0.0,0.3926701570680628,0.08726003490401396,54.4912739965096,1.111575,1.111575,0.0,0.0,0.0,0.555787,0.0,6.669449,1.05492,0.147168,0.135097,100.3721,59,71,6,10,110,89,113,64,160,83,35391,17281,26646,6756,590,353,17.562459247525837,306.2843364909283,"Census Tract 202, Schenectady County, New York",2154,474,
36,093,021700,1400000US36093021700,36093021700,217,Census Tract 217,NY,Schenectady County,New York,CT,1269890.0,0.0,1400000US36093021700,"Census Tract 217, Schenectady County, New York",3563,607,,0.0613950283145,0.0613950283145,0.000140498904976,105.87140448202285,1.7183765237072999,0.4233755055491685,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79184247538678,1.57494,2.362409,0.0,3.149879,0.0,3.149879,0.0,11.812047,1.351681,0.175133,0.098232,95.6617,25,30,50,48,53,48,297,125,277,127,37736,5346,20789,3894,818,376,19.37563686123819,735.9066834254436,"Census Tract 217, Schenectady County, New York",3563,607,
