cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Le_1,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
09,003,524700,1400000US09003524700,09003524700,5247,Census Tract 5247,CT,Hartford County,Connecticut,CT,1786340.0,0.0,1400000US09003524700,"Census Tract 5247, Hartford County, Connecticut",3760,698,,0.0625974234359,0.0625974234359,0.000194184989855,24.51664707919707,3.3930291898565654,0.39681245246857605,0.0,96.39278557114228,0.0,2.9559118236472943,0.0,0.0,0.0,0.35070140280561124,0.2004008016032064,0.1002004008016032,43.258517034068134,0.0,0.0,0.0,0.0,0.559804,0.0,0.0,0.559804,-0.0,0.196543,0.185638,97.9989,0,13,8,13,147,168,41,43,722,183,75867,18497,28532,5759,591,500,31.84449444566825,957.6288695624936,"Census Tract 5247, Hartford County, Connecticut",3760,698,
09,003,420700,1400000US09003420700,09003420700,4207,Census Tract 4207,CT,Hartford County,Connecticut,CT,9168404.0,4369.0,1400000US09003420700,"Census Tract 4207, Hartford County, Connecticut",3392,385,,0.169666601746,0.169666601746,0.000988989494711,105.55602169292108,6.312678106246154,0.47447765739665065,0.0590434953749262,42.796693564259,10.814800236173982,40.47431607951191,0.0,0.0393623302499508,0.1180869907498524,0.0,5.6976973036803775,0.0,16.20478252312537,0.0,0.0,0.0,0.21814,0.0,0.0,0.0,1.745124,-0.0,0.201356,0.158903,91.5302,6,10,7,12,56,49,82,63,652,138,89792,15676,36634,3947,223,123,54.76415614162085,624.3702235308181,"Census Tract 4207, Hartford County, Connecticut",3392,385,
09,003,430602,1400000US09003430602,09003430602,4306.02,Census Tract 4306.02,CT,Hartford County,Connecticut,CT,3422664.0,0.0,1400000US09003430602,"Census Tract 4306.02, Hartford County, Connecticut",3305,408,,0.0764229560273,0.0764229560273,0.00036830034833,75.45014721326774,3.3597663593804663,0.5117328183807154,0.0,90.31151003167899,0.0,7.04857444561774,0.0,0.026399155227032733,0.0,0.0,2.6135163674762407,0.0,21.828669482576558,0.58434,0.0,0.0,0.0,0.0,0.0,0.0,0.58434,-0.0,0.207564,0.184569,89.0732,0,13,5,9,0,18,65,47,802,186,131625,25360,53291,12841,53,38,47.08444967086977,2020.4690287133017,"Census Tract 4306.02, Hartford County, Connecticut",3305,408,
09,003,514700,1400000US09003514700,09003514700,5147,Census Tract 5147,CT,Hartford County,Connecticut,CT,1383464.0,0.0,1400000US09003514700,"Census Tract 5147, Hartford County, Connecticut",4798,1310,,0.0534173256452,0.0534173256452,0.000151528071281,71.27504278203666,2.5853891155800017,0.39329946101719276,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.62330972311655,2.16847,26.744462,0.0,0.0,0.722823,6.50541,0.0,54.211747,0.778527,0.275115,0.063568,116.8098,93,110,25,35,97,102,421,290,329,130,36815,12109,21037,5119,1000,545,24.52847825812718,805.7588443716223,"Census Tract 5147, Hartford County, Connecticut",4798,1310,
09,003,416500,1400000US09003416500,09003416500,4165,Census Tract 4165,CT,Hartford County,Connecticut,CT,3104120.0,0.0,1400000US09003416500,"Census Tract 4165, Hartford County, Connecticut",5015,732,,0.0750996355291,0.0750996355291,0.000336870868747,99.62899600425811,3.4556160789594856,0.49023914445224615,0.0,92.68011527377521,0.0,5.821325648414986,0.0,0.0,0.0,0.0,1.4985590778097981,0.0,35.397118155619594,0.322152,0.0,0.0,0.0,0.0,0.0,0.0,0.966457,-0.0,0.23988,0.098305,107.7465,40,45,37,57,83,74,136,103,830,199,75833,21227,26317,3667,716,474,36.33412079289815,623.7735366535746,"Census Tract 4165, Hartford County, Connecticut",5015,732,
09,003,471200,1400000US09003471200,09003471200,4712,Census Tract 4712,CT,Hartford County,Connecticut,CT,5811118.0,0.0,1400000US09003471200,"Census Tract 4712, Hartford County, Connecticut",3393,538,,0.105445743484,0.105445743484,0.000627491156808,31.53357769665327,0.9868147113500391,0.46155483109213413,0.0,71.93337484433376,0.0,11.207970112079702,0.0,0.09339975093399751,0.21793275217932753,12.29763387297634,3.9539227895392277,0.2957658779576588,24.138880248833594,0.86042,2.581259,0.0,0.0,0.172084,0.86042,0.172084,5.506686,1.195276,0.193339,0.196286,98.8863,13,25,47,49,8,19,121,78,499,176,78919,20547,27262,4132,350,229,35.245979190413195,903.7133006658496,"Census Tract 4712, Hartford County, Connecticut",3393,538,
09,003,510300,1400000US09003510300,09003510300,5103,Census Tract 5103,CT,Hartford County,Connecticut,CT,2388034.0,0.0,1400000US09003510300,"Census Tract 5103, Hartford County, Connecticut",4087,678,,0.0787616007835,0.0787616007835,0.000258733225244,15.236230726794398,0.47309274446387933,0.38399596295698885,0.0,99.35969868173258,0.0,0.15065913370998116,0.0,0.0,0.0,0.0,0.4896421845574388,0.0,52.18003766478343,0.418755,0.0,0.0,0.0,0.418755,0.0,0.0,2.093773,0.693147,0.246636,0.094935,109.2678,11,19,56,74,67,60,386,211,531,179,52862,18718,27197,5664,343,254,19.92915893790137,969.530602339811,"Census Tract 5103, Hartford County, Connecticut",4087,678,
09,003,480900,1400000US09003480900,09003480900,4809,Census Tract 4809,CT,Hartford County,Connecticut,CT,5842613.0,0.0,1400000US09003480900,"Census Tract 4809, Hartford County, Connecticut",2022,477,,0.114032146018,0.114032146018,0.000633414180394,60.085374780159064,2.4939493162314452,0.5871620803313204,0.01737921445950643,55.90893291623219,0.0,15.137295794230102,0.0,0.22592978797358357,0.20855057351407716,7.003823427181091,21.063607924921794,0.4344803614876607,16.918802099413398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513469,0.0,0.135509,0.16815,103.012,6,9,0,13,0,18,42,29,534,222,137019,36803,49377,9755,51,43,41.35453777055517,1356.9287684545636,"Census Tract 4809, Hartford County, Connecticut",2022,477,
09,003,500200,1400000US09003500200,09003500200,5002,Census Tract 5002,CT,Hartford County,Connecticut,CT,389395.0,0.0,1400000US09003500200,"Census Tract 5002, Hartford County, Connecticut",2356,499,,0.0302688186132,0.0302688186132,4.22823752745e-05,22.13052281769758,1.5734733637990987,0.32488705853755784,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.96330275229358,0.0,2.568086,2.568086,0.0,2.568086,0.0,0.0,10.272346,1.098612,0.321732,0.08107,131.8898,88,71,48,27,105,54,131,55,153,62,30346,8955,15463,5635,1056,379,18.66039305020701,677.6732421450187,"Census Tract 5002, Hartford County, Connecticut",2356,499,
09,003,501800,1400000US09003501800,09003501800,5018,Census Tract 5018,CT,Hartford County,Connecticut,CT,512933.0,0.0,1400000US09003501800,"Census Tract 5018, Hartford County, Connecticut",2963,624,,0.0309267135431,0.0309267135431,5.55267886831e-05,18.67868528727973,1.4076097159648888,0.40849565063391463,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.019366197183096,0.0,0.0,0.0,0.0,3.899145,0.0,0.0,31.193158,-0.0,0.355721,0.054337,83.0142,342,217,39,28,144,63,146,54,124,58,15917,8931,10001,1989,1679,571,20.12272598996441,844.462993405057,"Census Tract 5018, Hartford County, Connecticut",2963,624,
