cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Le_1,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
28,049,000301,1400000US28049000301,28049000301,3.01,Census Tract 3.01,MS,Hinds County,Mississippi,CT,1314003.0,0.0,1400000US28049000301,"Census Tract 3.01, Hinds County, Mississippi",2041,407,,0.0498161881008,0.0498161881008,0.000125121167683,92.24006039208996,1.6688402017011932,0.6855523018489795,0.0,96.2835512732278,0.0,0.0,0.0,0.0,0.0,0.0,3.716448726772195,0.0,26.811424638678595,2.2831,0.0,0.0,0.0,0.0,0.0,0.0,3.044133,-0.0,0.246448,0.046546,107.4187,68,42,15,24,83,41,146,65,106,60,30652,6828,20349,4876,632,355,50.579000719023874,2082.3154811864097,"Census Tract 3.01, Hinds County, Mississippi",2041,407,
28,049,000400,1400000US28049000400,28049000400,4,Census Tract 4,MS,Hinds County,Mississippi,CT,2562042.0,0.0,1400000US28049000400,"Census Tract 4, Hinds County, Mississippi",3673,531,,0.0785300914438,0.0785300914438,0.000244407157381,99.31870704471497,2.127240068094893,0.6614115524951448,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.34367289390201,0.780627,0.0,0.0,0.0,0.0,0.0,0.0,2.341882,-0.0,0.309828,0.122243,82.6455,0,14,64,67,41,52,291,148,541,159,58025,12478,27909,6337,684,452,53.164047443473045,1577.5684893371401,"Census Tract 4, Hinds County, Mississippi",3673,531,
28,049,000900,1400000US28049000900,28049000900,9,Census Tract 9,MS,Hinds County,Mississippi,CT,1141406.0,0.0,1400000US28049000900,"Census Tract 9, Hinds County, Mississippi",1939,376,,0.0732001351114,0.0732001351114,0.000110877738087,103.75044328303028,1.4632451920380172,0.6101335078782673,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.43377226955848,0.876112,0.0,0.0,0.0,0.0,0.0,0.0,5.256675,-0.0,0.161423,0.192367,93.7063,20,23,17,26,76,46,179,72,60,45,27128,2935,12896,2443,667,298,36.207506360546915,1426.0274942425146,"Census Tract 9, Hinds County, Mississippi",1939,376,
28,049,003700,1400000US28049003700,28049003700,37,Census Tract 37,MS,Hinds County,Mississippi,CT,2923820.0,0.0,1400000US28049003700,"Census Tract 37, Hinds County, Mississippi",3142,715,,0.0746808588319,0.0746808588319,0.000278896518831,92.17267193668394,1.8037205320013996,0.7451216847023164,0.0,95.06172839506173,0.0,1.8518518518518516,0.0,0.0,0.0,0.5555555555555556,2.5308641975308643,0.0,18.17654320987654,0.342018,0.0,0.0,0.0,0.0,0.0,0.0,2.394128,-0.0,0.368873,0.065245,63.9019,64,40,15,18,124,82,158,93,224,86,35489,10130,13805,2269,1091,515,63.16800232569408,1361.6092778624416,"Census Tract 37, Hinds County, Mississippi",3142,715,
28,089,030104,1400000US28089030104,28089030104,301.04,Census Tract 301.04,MS,Madison County,Mississippi,CT,2362744.0,2657.0,1400000US28089030104,"Census Tract 301.04, Madison County, Mississippi",2389,377,,0.0601134594624,0.0601134594624,0.000225851643103,103.41151874192099,2.2587334958487397,0.5858968173463951,0.0,88.72755063049294,0.0,10.85212074894918,0.0,0.0,0.0,0.0,0.42032862055789066,0.0,37.225448987390145,0.423237,0.0,0.0,0.0,0.0,0.0,0.0,2.116184,-0.0,0.150272,0.185433,98.5869,0,14,0,14,6,17,195,108,480,185,57067,9961,51586,20944,89,96,41.07180149421655,495.9645158334464,"Census Tract 301.04, Madison County, Mississippi",2389,377,
28,049,011400,1400000US28049011400,28049011400,114,Census Tract 114,MS,Hinds County,Mississippi,CT,1064406.0,0.0,1400000US28049011400,"Census Tract 114, Hinds County, Mississippi",1141,241,,0.051927073375,0.051927073375,0.000102360974126,90.7874442516172,1.3672207865612134,0.49274098063613914,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.554713804713806,3.757965,0.0,0.0,0.0,0.0,0.0,0.0,14.092367,-0.0,0.226117,0.080631,115.69,28,27,17,21,33,34,90,53,34,39,28947,10606,12496,2869,550,200,16.608091733608045,1911.2054881246534,"Census Tract 114, Hinds County, Mississippi",1141,241,
28,029,950502,1400000US28029950502,28029950502,9505.02,Census Tract 9505.02,MS,Copiah County,Mississippi,CT,320699908.0,1118233.0,1400000US28029950502,"Census Tract 9505.02, Copiah County, Mississippi",2649,506,,1.06828666592,1.06828666592,0.0306541200048,102.37239157824246,3.624826802149513,0.7797020584556668,0.6025885007677277,4.846723089234563,0.2932352300779604,51.138584044270885,0.0,10.432331092831431,5.064740796457425,16.461326599574143,11.075921626734457,0.08454902005140806,0.6268035298854688,0.0,0.003118,0.0,0.0,0.0,0.0,0.0,0.071718,-0.0,0.208758,0.126085,83.5759,0,14,0,14,97,87,275,176,410,144,77581,65426,21482,5616,290,277,65.76820475398867,780.4496792804067,"Census Tract 9505.02, Copiah County, Mississippi",2649,506,
28,049,011600,1400000US28049011600,28049011600,116,Census Tract 116,MS,Hinds County,Mississippi,CT,2608425.0,0.0,1400000US28049011600,"Census Tract 116, Hinds County, Mississippi",3201,567,,0.0763247792216,0.0763247792216,0.0002510051997,90.15730426621498,1.2555948226928457,0.6060648186507711,0.0,99.31176875430144,0.0,0.0,0.0,0.0,0.0,0.0,0.6882312456985548,0.0,40.239160357880245,1.150119,0.0,0.0,0.0,0.0,0.0,0.0,7.284089,-0.0,0.217744,0.180881,95.7798,65,56,19,18,248,183,215,88,207,86,32206,10262,16426,4550,887,304,28.161945981187294,1990.1146139570794,"Census Tract 116, Hinds County, Mississippi",3201,567,
28,163,950400,1400000US28163950400,28163950400,9504,Census Tract 9504,MS,Yazoo County,Mississippi,CT,972246523.0,19070996.0,1400000US28163950400,"Census Tract 9504, Yazoo County, Mississippi",1794,330,,1.92047232722,1.92047232717,0.0953260133495,41.00871112867582,2.493104120702533,0.6039771321540082,3.897635932207973,5.7134455088120175,0.013013527308126525,37.48301481176017,0.0,0.7490383510339839,0.3539003400417785,4.426289353244593,47.222541457379855,0.14112071821150193,0.4714426232188253,0.004114,0.0,0.0,0.0,0.0,0.0,0.0,0.055541,-0.0,0.258082,0.171683,114.3369,23,18,0,14,34,40,166,99,272,123,56719,28086,24813,7349,220,121,37.440865182544655,376.07226647087776,"Census Tract 9504, Yazoo County, Mississippi",1794,330,
28,051,950400,1400000US28051950400,28051950400,9504,Census Tract 9504,MS,Holmes County,Mississippi,CT,499573016.0,9584678.0,1400000US28051950400,"Census Tract 9504, Holmes County, Mississippi",1994,448,,1.31768689084,1.31768689104,0.0491371752404,63.56992313174166,3.6772769337708873,0.6886429189257777,2.117266044466866,5.069411913084213,0.49277503513386905,48.03070159633887,0.0,1.6625527008035748,1.1150499081114196,15.631418687614861,25.68668696623545,0.19413714821087527,0.48226774772544406,0.008007,0.0,0.0,0.0,0.0,0.0,0.0,0.114097,-0.0,0.223671,0.160983,82.4337,123,67,32,28,53,43,65,43,202,86,40052,30612,17381,6120,944,392,52.2371742812505,528.9370165233836,"Census Tract 9504, Holmes County, Mississippi",1994,448,
