cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Le_1,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
06,099,000807,1400000US06099000807,06099000807,8.07,Census Tract 8.07,CA,Stanislaus County,California,CT,1315461.0,0.0,1400000US06099000807,"Census Tract 8.07, Stanislaus County, California",3512,349,,0.0525017959692,0.0525017959692,0.000135213381118,24.537411122624146,0.14087441215457835,0.33329207361770846,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.643389830508475,0.0,0.76019,0.0,0.0,0.0,2.280569,0.76019,3.800949,0.950271,0.16344,0.196185,79.1837,13,22,0,13,14,26,215,113,558,153,81630,28379,31091,3408,252,128,7.27091741871117,4151.61891809865,"Census Tract 8.07, Stanislaus County, California",3512,349,
06,099,000907,1400000US06099000907,06099000907,9.07,Census Tract 9.07,CA,Stanislaus County,California,CT,1941547.0,0.0,1400000US06099000907,"Census Tract 9.07, Stanislaus County, California",4144,724,,0.0582970350089,0.0582970350089,0.00019846558572,29.337705519990852,0.0886023627365706,0.3587076981229682,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.24212962962963,1.030106,0.0,0.0,0.0,0.0,0.0,0.0,1.54516,-0.0,0.235521,0.221766,88.1926,16,17,37,57,25,31,103,63,756,195,94327,21269,32460,5318,445,399,9.270870994173512,1968.3027091667745,"Census Tract 9.07, Stanislaus County, California",4144,724,
06,099,000911,1400000US06099000911,06099000911,9.11,Census Tract 9.11,CA,Stanislaus County,California,CT,1335345.0,0.0,1400000US06099000911,"Census Tract 9.11, Stanislaus County, California",4773,521,,0.0585459912815,0.0585459912815,0.000136535948102,31.773001365192517,0.07284917331484558,0.30836608031048457,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.774932614555254,0.0,0.74887,0.0,0.0,0.0,2.995481,0.0,4.493221,0.500402,0.226482,0.14184,94.8163,11,18,0,13,36,38,181,98,931,234,85905,6994,33115,4265,387,218,6.5896518043346255,1308.8135477900387,"Census Tract 9.11, Stanislaus County, California",4773,521,
06,099,000302,1400000US06099000302,06099000302,3.02,Census Tract 3.02,CA,Stanislaus County,California,CT,1352884.0,45038.0,1400000US06099000302,"Census Tract 3.02, Stanislaus County, California",2319,244,,0.0572631946657,0.0573313064038,0.0001430719524,38.43756095208146,1.765810158117329,0.33618613906440553,1.0918432883750802,94.60500963391137,0.0,0.0,0.0,0.0,0.0,0.0,3.275529865125241,1.0276172125883107,53.17884615384615,0.739162,1.478323,0.0,0.0,0.0,1.478323,0.739162,5.913293,1.329661,0.230703,0.175075,87.4697,45,36,9,12,28,28,104,60,329,82,67604,14650,30998,4941,380,140,8.140398022945089,359.147291146388,"Census Tract 3.02, Stanislaus County, California",2319,244,
06,099,002602,1400000US06099002602,06099002602,26.02,Census Tract 26.02,CA,Stanislaus County,California,CT,2679721.0,0.0,1400000US06099002602,"Census Tract 26.02, Stanislaus County, California",5134,472,,0.0779402076107,0.0779402076107,0.000272601860981,28.518119611080827,0.31858522659217836,0.2636796379935998,0.0,99.28135106000718,0.0,0.0,0.0,0.0,0.7186489399928134,0.0,0.0,0.0,49.37322515212982,1.11952,1.11952,0.0,0.0,1.11952,1.492693,0.373173,7.836637,1.536722,0.389755,0.069536,92.0688,121,90,47,48,118,87,256,109,609,162,51611,15036,16026,2208,1267,533,1.1005145344421032,970.5524652611504,"Census Tract 26.02, Stanislaus County, California",5134,472,
06,099,003100,1400000US06099003100,06099003100,31,Census Tract 31,CA,Stanislaus County,California,CT,153736739.0,5527915.0,1400000US06099003100,"Census Tract 31, Stanislaus County, California",4178,830,,0.820664659495,0.820664659495,0.0162389619366,17.13467036173322,0.2779703141864541,0.5091248040251916,16.783096162138854,57.080638206123325,1.155670547649849,0.0,0.0,0.03880983182406209,1.0521776627856834,0.0172488141440276,13.488572660629583,10.383786114704614,1.942234677273549,0.013009,0.0,0.0,0.0,0.006505,0.0,0.0,0.052037,0.636514,0.294639,0.13978,127.5599,24,27,96,115,178,102,235,142,477,158,39196,31052,20059,5148,1335,788,3.6342864325826953,772.9294581534914,"Census Tract 31, Stanislaus County, California",4178,830,
06,099,001900,1400000US06099001900,06099001900,19,Census Tract 19,CA,Stanislaus County,California,CT,2847993.0,0.0,1400000US06099001900,"Census Tract 19, Stanislaus County, California",4589,877,,0.076552809542,0.076552809542,0.000289728731381,28.675716072651763,1.0397259268552954,0.3932770568429928,0.0,98.66751269035532,0.0,0.0,0.0,0.0,0.0,0.0,1.33248730964467,0.0,44.41249207355739,0.702249,0.0,0.0,0.0,0.0,0.0,0.0,3.16012,-0.0,0.210285,0.191545,83.1205,23,37,73,117,0,18,349,188,853,221,71029,26783,34807,4990,359,269,9.436787784497566,1452.6455728468381,"Census Tract 19, Stanislaus County, California",4589,877,
06,099,003400,1400000US06099003400,06099003400,34,Census Tract 34,CA,Stanislaus County,California,CT,906394012.0,1207645.0,1400000US06099003400,"Census Tract 34, Stanislaus County, California",1590,302,,1.79469954965,1.80162999993,0.0922192322413,327.52864071409135,15.430735184281298,0.34655167997961306,0.18668613287631466,1.6533322320835362,0.22421769765105848,2.8638162921000307,0.0,43.78330319066885,50.74765549181532,0.00024292274935109261,0.15340571621521498,0.38734032384031714,0.3479459742443652,0.001103,0.001103,0.0,0.0,0.0,0.0,0.0,0.005516,0.693147,0.24717,0.106289,160.2291,42,36,13,18,24,26,86,58,186,68,55875,15422,25493,7932,326,159,8.949591065863343,1285.4888393301808,"Census Tract 34, Stanislaus County, California",1590,302,
06,099,003905,1400000US06099003905,06099003905,39.05,Census Tract 39.05,CA,Stanislaus County,California,CT,2364745.0,0.0,1400000US06099003905,"Census Tract 39.05, Stanislaus County, California",4369,621,,0.0681541483763,0.0681541483763,0.000240876771847,33.83860741122871,0.07262289494652409,0.3926565306472422,0.0,99.9208547685002,0.0,0.0,0.0,0.0,0.0,0.07914523149980214,0.0,0.0,44.909333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.268636,0.0,0.243076,0.144198,95.5685,11,17,0,13,15,30,224,114,1114,300,101607,32756,44183,7131,178,141,5.771052478338705,2899.296496162617,"Census Tract 39.05, Stanislaus County, California",4369,621,
06,099,002401,1400000US06099002401,06099002401,24.01,Census Tract 24.01,CA,Stanislaus County,California,CT,792232.0,0.0,1400000US06099002401,"Census Tract 24.01, Stanislaus County, California",4084,652,,0.0474428151013,0.0474428151013,8.3148913193e-05,25.570370711376835,0.0687316042500484,0.3160096520729071,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.84530386740332,0.0,0.0,0.0,0.0,0.0,1.262257,0.0,2.524513,-0.0,0.399119,0.046033,98.7348,9,12,17,24,85,60,278,98,495,150,52917,13326,15783,1723,525,313,4.587443868514837,1311.7550453968836,"Census Tract 24.01, Stanislaus County, California",4084,652,
