cb_2020_us,cb_2020__1,cb_2020__2,tract_ID,cb_2020__4,cb_2020__5,cb_2020__6,cb_2020__7,cb_2020__8,cb_2020__9,cb_2020_10,cb_2020_11,cb_2020_12,ACSDT5Y202,ACSDT5Y2_1,ACSDT5Y2_2,ACSDT5Y2_3,ACSDT5Y2_4,Shape_Leng,Shape_Le_1,Shape_Area,elev_mean,slope_mean,ndvi_mean,water_pct,developed_pct,barren_pct,forest_pct,shrub_pct,grassland_pct,pasture_hay_pct,cultivated_crops_pct,woody_wetlands_pct,herbaceous_wetlands_pct,impervious_mean,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity,minor_ratio,elderly_ratio,sex_ratio,fam_inc_lt10k,fam_inc_lt10k_moe,fam_inc_10to15k,fam_inc_10to15k_moe,fam_inc_15to25k,fam_inc_15to25k_moe,fam_inc_25to50k,fam_inc_25to50k_moe,fam_inc_50kplus,fam_inc_50kplus_moe,median_family_income,median_family_income_moe,per_capita_income,per_capita_income_moe,persons_below_poverty,persons_below_poverty_moe,tcc_mean,dist_water_m,NAME,B01003_001E,B01003_001M,field_5
40,051,000400,1400000US40051000400,40051000400,4,Census Tract 4,OK,Grady County,Oklahoma,CT,5022991.0,77315.0,1400000US40051000400,"Census Tract 4, Grady County, Oklahoma",3483,398,,0.0983391915016,0.0983391915016,0.000504501562323,341.07753713128153,1.394534834236534,0.5591763447284989,0.21929824561403508,71.43141945773525,0.0,3.149920255183413,0.0,0.0,23.385167464114833,1.5948963317384368,0.019936204146730464,0.1993620414673046,26.16308180535966,0.199085,0.0,0.0,0.0,0.199085,0.0,0.0,1.194507,0.693147,0.203847,0.198105,100.981,7,12,18,19,91,44,243,77,590,257,67549,9919,30622,5230,653,202,3.304543101368757,995.8106374067547,"Census Tract 4, Grady County, Oklahoma",3483,398,
40,017,301406,1400000US40017301406,40017301406,3014.06,Census Tract 3014.06,OK,Canadian County,Oklahoma,CT,12921115.0,26052.0,1400000US40017301406,"Census Tract 3014.06, Canadian County, Oklahoma",5836,805,,0.164490905384,0.164490905384,0.00128450546723,413.2309230315505,2.0259360215030777,0.6017936682975894,0.23653819396131903,55.42646444970085,0.0,7.875330457770975,0.0,0.0,36.46166689856686,0.0,0.0,0.0,18.467583906608297,0.0,0.154785,0.0,0.0,0.0,0.0,0.0,0.619142,-0.0,0.228753,0.13965,120.3927,24,31,9,14,41,39,254,98,1146,248,100615,14203,33954,3152,277,193,7.098410426684985,678.644485539882,"Census Tract 3014.06, Canadian County, Oklahoma",5836,805,
40,017,300902,1400000US40017300902,40017300902,3009.02,Census Tract 3009.02,OK,Canadian County,Oklahoma,CT,1472486.0,0.0,1400000US40017300902,"Census Tract 3009.02, Canadian County, Oklahoma",2951,422,,0.0552419425641,0.0552419425641,0.000146174550818,400.6971620225264,1.1635144309760506,0.38036045794282686,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.39292251372788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679124,0.0,0.20366,0.125381,79.7199,0,10,0,10,0,14,74,33,572,115,91912,11036,30384,3368,54,39,1.186464134778208,703.7090646053333,"Census Tract 3009.02, Canadian County, Oklahoma",2951,422,
40,027,200100,1400000US40027200100,40027200100,2001,Census Tract 2001,OK,Cleveland County,Oklahoma,CT,641044.0,0.0,1400000US40027200100,"Census Tract 2001, Cleveland County, Oklahoma",251,104,,0.0326427514494,0.0326427514494,6.35323275756e-05,356.22200440437746,0.3122068315453527,0.25503253305703283,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.46751412429379,0.0,1.559955,0.0,24.959285,1.559955,6.239821,4.679866,99.837141,1.090778,0.0,0.063745,105.7377,0,10,0,10,0,14,7,20,4,25,,,22291,14811,128,77,0.8966841225136418,2113.3675950209895,"Census Tract 2001, Cleveland County, Oklahoma",251,104,
40,027,201612,1400000US40027201612,40027201612,2016.12,Census Tract 2016.12,OK,Cleveland County,Oklahoma,CT,2591076.0,16161.0,1400000US40027201612,"Census Tract 2016.12, Cleveland County, Oklahoma",5409,808,,0.0645870033056,0.0645870033056,0.000258407875424,374.67483338709235,0.8196454546501243,0.4173672230722908,0.20739716557207052,99.44694089180781,0.0,0.17283097131005876,0.0,0.0,0.17283097131005876,0.0,0.0,0.0,54.31904597303837,0.77188,0.0,0.0,0.0,0.0,0.0,0.0,1.15782,-0.0,0.221113,0.151599,112.7852,15,25,0,14,14,27,283,147,1064,328,74071,12800,27852,3434,401,225,2.2475204747903073,400.85271971742924,"Census Tract 2016.12, Cleveland County, Oklahoma",5409,808,
40,109,108804,1400000US40109108804,40109108804,1088.04,Census Tract 1088.04,OK,Oklahoma County,Oklahoma,CT,36128121.0,0.0,1400000US40109108804,"Census Tract 1088.04, Oklahoma County, Oklahoma",2820,332,,0.316973495327,0.316973495327,0.0035935731529,360.17381339390505,2.049600041489422,0.66012037831317,0.36073569759170815,16.057819327304134,0.24895843918300986,29.595569555939438,0.0,0.017782745655929275,52.89096636520679,0.8027639467533787,0.002540392236561325,0.022863530129051925,3.496101825790221,0.110717,0.0,0.0,0.0,0.0,0.0,0.0,0.193755,-0.0,0.246454,0.135816,96.1057,9,13,0,10,19,24,134,55,476,95,87500,13318,31443,3485,401,124,15.61089379733025,636.9022064720893,"Census Tract 1088.04, Oklahoma County, Oklahoma",2820,332,
40,109,108404,1400000US40109108404,40109108404,1084.04,Census Tract 1084.04,OK,Oklahoma County,Oklahoma,CT,2717023.0,20681.0,1400000US40109108404,"Census Tract 1084.04, Oklahoma County, Oklahoma",3771,471,,0.0661528439409,0.0661528439409,0.000274456466202,362.92794893448877,1.0419647093839204,0.45830027286444514,0.4241435562805873,97.81402936378466,0.0,0.6525285481239804,0.0,0.0,1.1092985318107667,0.0,0.0,0.0,51.45057096247961,1.840249,1.10415,0.36805,0.0,0.0,0.36805,0.0,5.152698,1.168282,0.144259,0.170777,80.8633,0,10,50,49,17,21,141,80,626,209,85925,9688,34022,3961,416,207,3.231168983953116,774.0516965337041,"Census Tract 1084.04, Oklahoma County, Oklahoma",3771,471,
40,109,106704,1400000US40109106704,40109106704,1067.04,Census Tract 1067.04,OK,Oklahoma County,Oklahoma,CT,5067256.0,757645.0,1400000US40109106704,"Census Tract 1067.04, Oklahoma County, Oklahoma",2073,204,,0.127242362287,0.127242362287,0.000576843121802,387.0483105352778,0.8135910631564462,0.5403821117341957,8.324290807626724,59.603162300418546,0.015501472639900789,16.307549217175634,0.0,0.0,11.626104479925594,0.0,0.9300883583940476,3.1933033638195627,24.271853688778673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776109,0.0,0.246503,0.226725,93.1966,6,8,17,25,56,52,70,41,409,95,73016,4918,34266,5799,260,141,12.045301070928328,733.3446301333407,"Census Tract 1067.04, Oklahoma County, Oklahoma",2073,204,
40,109,107810,1400000US40109107810,40109107810,1078.10,Census Tract 1078.10,OK,Oklahoma County,Oklahoma,CT,1576926.0,0.0,1400000US40109107810,"Census Tract 1078.10, Oklahoma County, Oklahoma",2844,391,,0.0591504058682,0.0591504058682,0.000155689733755,368.9897047260468,0.8353459978557445,0.5566467678909853,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.669698692438885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26829,0.0,0.237693,0.136428,107.2886,50,60,0,10,165,108,169,108,330,104,48071,20657,20356,2795,470,298,2.765722580427371,2021.8984996173867,"Census Tract 1078.10, Oklahoma County, Oklahoma",2844,391,
40,109,107706,1400000US40109107706,40109107706,1077.06,Census Tract 1077.06,OK,Oklahoma County,Oklahoma,CT,1302334.0,0.0,1400000US40109107706,"Census Tract 1077.06, Oklahoma County, Oklahoma",2734,507,,0.0522853765731,0.0522853765731,0.000129428797378,378.929424477627,1.7229687160068696,0.4646525259692355,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.34375,0.767852,0.0,0.0,0.0,0.0,0.0,0.0,3.839261,-0.0,0.312363,0.126554,118.5452,42,53,29,47,41,51,220,97,199,80,43021,8170,21123,3602,596,262,2.810419250537537,1555.6791674190174,"Census Tract 1077.06, Oklahoma County, Oklahoma",2734,507,
