cb_2020_3,poi_edu,poi_comm,poi_med,poi_trans,poi_pub,poi_food,poi_finance,poi_total_all,poi_diversity
1400000US01001020100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916002,0.0
1400000US01001020200,0.301131,0.0,0.0,0.0,0.301131,0.0,0.0,3.613568,0.693147
1400000US01001020300,0.0,0.186941,0.0,0.0,0.0,0.186941,0.0,1.869414,0.693147
1400000US01001020400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939808,0.0
1400000US01001020501,0.322391,0.0,0.0,0.0,0.0,0.0,0.0,0.644781,-0.0
1400000US01001020502,0.0,0.476783,0.0,0.0,0.0,0.0,0.0,0.953566,-0.0
1400000US01001020503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965306,0.0
1400000US01001020600,0.124353,0.0,0.0,0.0,0.0,0.0,0.0,0.746119,-0.0
1400000US01001020700,0.133858,0.0,0.0,0.0,0.0,0.0,0.0,0.758527,-0.0
1400000US01001020801,0.016094,0.0,0.0,0.0,0.0,0.0,0.0,0.112656,-0.0
1400000US01001020803,0.00775,0.00775,0.0,0.0,0.0,0.0,0.0,0.155003,0.693147
1400000US01001020804,0.07582,0.0,0.0,0.0,0.0,0.0,0.0,0.15164,-0.0
1400000US01001020805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25397,0.0
1400000US01001020901,0.009501,0.0,0.0,0.0,0.0,0.0,0.0,0.123513,-0.0
1400000US01001020902,0.005333,0.0,0.0,0.0,0.0,0.0,0.0,0.101331,-0.0
1400000US01001021000,0.007755,0.0,0.0,0.0,0.00517,0.0,0.0,0.074961,0.673012
1400000US01001021100,0.004183,0.0,0.0,0.0,0.0,0.0,0.0,0.07529,-0.0
1400000US01051030101,0.013103,0.0,0.0,0.0,0.0,0.0,0.0,0.157239,-0.0
1400000US01051030102,0.034278,0.0,0.0,0.0,0.0,0.0,0.0,0.068557,-0.0
1400000US01051030103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152206,0.0
1400000US01051030200,0.010683,0.0,0.0,0.0,0.0,0.0,0.0,0.106826,-0.0
1400000US01051030300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158488,0.0
1400000US01051030401,0.004188,0.0,0.0,0.0,0.0,0.0,0.0,0.117261,-0.0
1400000US01051030402,0.025617,0.012808,0.0,0.0,0.0,0.0,0.0,0.1537,0.636514
1400000US01051030500,0.018145,0.0,0.0,0.0,0.030242,0.0,0.0,0.205647,0.661563
1400000US01051030600,0.02292,0.0,0.0,0.0,0.0,0.0,0.0,0.145161,-0.0
1400000US01051030701,0.010794,0.0,0.0,0.0,0.0,0.0,0.0,0.14032,-0.0
1400000US01051030702,0.0,0.037827,0.02837,0.0,0.0,0.02837,0.018914,0.226963,1.357978
1400000US01051030801,0.77489,0.309956,0.0,0.0,0.309956,1.859735,0.0,6.509074,1.109348
1400000US01051030802,0.042128,0.0,0.0,0.0,0.0,0.0,0.0,0.210639,-0.0
1400000US01051030901,0.036881,0.0,0.0,0.0,0.0,0.0,0.0,0.147526,-0.0
1400000US01051030902,0.035017,0.0,0.0,0.0,0.0,0.0,0.0,0.31515,-0.0
1400000US01051031001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368226,0.0
1400000US01051031002,0.0,0.0,0.0,0.0,0.100531,0.301593,0.0,0.603185,0.562335
1400000US01051031100,0.284275,0.0,0.0,0.0,0.0,0.0,0.0,0.473792,-0.0
1400000US01051031200,0.040387,0.0,0.0,0.0,0.040387,0.0,0.0,0.262516,0.693147
1400000US01051031300,0.0,0.031302,0.0,0.0,0.062604,0.125208,0.0,0.563435,0.9557
1400000US01085780800,0.027381,0.002489,0.0,0.0,0.007467,0.004978,0.0,0.144371,1.006215
1400000US01085781000,0.015798,0.0,0.0,0.0,0.003511,0.0,0.0,0.138671,0.474139
1400000US01085781100,0.017144,0.0,0.0,0.0,0.0,0.0,0.0,0.100417,-0.0
1400000US01085781200,0.010528,0.0,0.0,0.0,0.004211,0.002106,0.0,0.08633,0.900256
1400000US01101000100,1.781106,1.781106,0.0,0.0,0.0,8.460256,0.890553,23.154384,1.007951
1400000US01101000200,1.707107,0.0,0.0,0.0,0.0,0.0,0.569036,5.690357,0.562335
1400000US01101000300,0.085045,0.0,0.0,0.0,0.0,0.0,0.0,0.552795,-0.0
1400000US01101000400,0.197644,0.0,0.0,0.0,0.0,0.0,0.0,1.976438,-0.0
1400000US01101000500,0.585637,0.0,0.0,0.0,0.0,0.0,0.0,4.09946,-0.0
1400000US01101000600,1.18661,0.0,0.0,0.0,0.0,0.0,0.0,8.306269,-0.0
1400000US01101000700,1.451883,0.0,0.0,0.0,0.0,0.0,0.0,8.711301,-0.0
1400000US01101000900,0.112763,0.0,0.0,0.0,0.112763,0.0,0.0,1.804212,0.693147
1400000US01101001000,0.501395,0.0,0.0,0.0,0.250697,0.0,0.0,2.506974,0.636514
1400000US01101001100,0.842253,0.0,0.0,0.0,0.0,0.0,0.0,8.422535,-0.0
1400000US01101001200,1.604145,0.802073,0.0,0.0,0.802073,0.802073,0.0,8.822798,1.332179
1400000US01101001300,0.886434,0.886434,0.0,0.0,0.0,0.886434,0.0,5.761824,1.098612
1400000US01101001400,0.699315,0.349657,0.0,0.0,0.0,0.0,0.0,3.146916,0.636514
