cb_2020_3,road_density_local,road_density_secondary,road_len_total_m
1400000US36001000100,25288.5526755381,36772.90599432868,185185.32240531273
1400000US36001000201,198791.18014381963,0.0,138164.4628372468
1400000US36001000202,80180.46216722527,29440.441010708408,188326.17851366923
1400000US36001000301,49531.29271750792,0.0,54367.930117512726
1400000US36001000302,11415.850743018413,9580.401636589739,206990.44244503876
1400000US36001000401,2440.0193360899475,22237.08008501592,282145.19949127844
1400000US36001000403,25741.71044953417,2221.288288256665,151978.5510165573
1400000US36001000404,24767.65613128559,38952.14801236127,157034.44237250547
1400000US36001000501,60456.978786068576,0.0,54334.37743402826
1400000US36001000502,66911.64880015391,0.0,74612.35715855673
1400000US36001000600,64352.57377664439,0.0,57161.110460187505
1400000US36001000700,3657.8741488575424,0.0,35820.5270033962
1400000US36001000800,238507.45623749474,0.0,102849.89720624316
1400000US36001001100,60784.177856661685,15435.021452872696,202600.27011425648
1400000US36001001400,139259.3548699708,0.0,140349.58136764335
1400000US36001001500,51694.562245672954,0.0,60087.851330169826
1400000US36001001600,32807.04893626729,0.0,66871.0997634839
1400000US36001001700,38396.413112337454,0.0,96825.0692823552
1400000US36001001802,25052.928142956593,68093.29640362685,226010.22848821274
1400000US36001001803,27152.063745699117,36908.11504496056,158317.08481769037
1400000US36001001804,8806.011808076475,19880.444718628147,230114.90875803254
1400000US36001001901,0.0,0.0,28055.789296721527
1400000US36001001902,47039.27785328996,53132.29816090815,139772.0085702205
1400000US36001002000,23675.747676373605,61562.41404502756,280792.80419270863
1400000US36001002100,61131.786356798366,0.0,117784.93939744122
1400000US36001002200,363858.972790893,0.0,100312.79393516
1400000US36001002300,139263.67392988488,0.0,105327.49868752826
1400000US36001002500,121952.8164064467,39743.738746077615,151194.1352192736
1400000US36001002600,34893.814570257586,7092.017103805157,233577.6483164045
1400000US36001012700,2914.367065527451,0.0,22902.50074097419
1400000US36001012800,44705.14441384132,0.0,108025.81475604624
1400000US36001012900,41343.76318030259,0.0,113753.07558858552
1400000US36001013000,2938.3691725795147,0.0,69696.24697010902
1400000US36001013100,2784.8376785480104,18494.6988712095,72650.92016700341
1400000US36001013200,80928.88557202318,31605.05593109244,131686.20303034686
1400000US36001013300,15650.090412199384,0.0,49992.46985867809
1400000US36001013400,47002.74942363025,21599.10135399425,119221.46705572314
1400000US36001013503,2625.463964798559,987.2276501930546,122096.51805489499
1400000US36001013505,14507.634289076192,0.0,72710.48864965953
1400000US36001013507,8604.911827562473,9928.78125149211,148696.7949286628
1400000US36001013509,14386.778384014238,7932.03891906176,176625.70293408487
1400000US36001013510,8672.567984385618,2366.5950003931243,64748.42323521671
1400000US36001013511,4203.742263980518,7049.885967451615,180006.3631797758
1400000US36001013512,1039.201955545659,2539.191735564618,94525.244831535
1400000US36001013602,8966.347075681153,3636.229142885709,159120.84413075063
1400000US36001013603,15940.297894556936,4554.428639712481,197466.5920754429
1400000US36001013604,5770.537673601442,0.0,94341.52509118637
1400000US36001013703,3835.224735056002,3325.3962728651663,218943.56536713202
1400000US36001013706,5062.316283454094,0.0,74117.2685125801
1400000US36001013707,4131.9847567803,3294.894750736021,152406.20515444496
1400000US36001013708,0.0,0.0,65936.88313147168
1400000US36001013709,0.0,10367.770862843821,110272.41388222438
1400000US36001013802,2034.1032642434209,0.0,57365.52238525117
1400000US36001013803,5394.105240301697,0.0,79979.62455036675
1400000US36001013804,3688.9945568617945,62.18835416799726,123839.63169716681
1400000US36001013901,14102.341572548736,13903.683527285715,144397.61664145827
1400000US36001013902,7229.042100103797,11977.742943999145,150120.41682816966
1400000US36001014001,7843.903438970903,0.0,92508.54749850888
1400000US36001014002,13812.287855706714,8977.474985623281,104503.33955189372
1400000US36001014100,8038.926823302068,8016.549467831184,362416.41244680417
1400000US36001014201,15653.69920427364,11577.678114636728,406311.8051629923
1400000US36001014202,18757.017304937195,0.0,229142.62949241826
1400000US36001014203,12244.673932170346,0.0,212095.2977871066
1400000US36001014301,3853.990656242623,4256.409336435256,354350.8271851548
1400000US36001014303,10737.760386953878,0.0,150512.5142991843
1400000US36001014304,4827.463721130897,0.0,322690.8291078331
1400000US36001014401,1268.8494760161532,1043.4232126606394,523166.89373683836
1400000US36001014402,13549.088437174078,32493.461846006106,207656.29553130368
1400000US36001014501,3975.76151511104,0.0,411043.262649082
1400000US36001014502,2297.807892884383,0.0,402249.8875006492
1400000US36001014503,7276.801552109379,0.0,87539.66157307875
1400000US36001014606,6192.670101000589,3407.231502992089,232071.37922402128
1400000US36001014608,17506.210351652644,39194.05779954291,305203.99719678453
1400000US36001014609,7477.421302594995,19242.518536670093,231576.68145774858
1400000US36001014611,6800.182674846594,0.0,173127.1783997584
1400000US36001014612,30081.80931111203,0.0,122494.95186195095
