cb_2020_3,minor_ratio,elderly_ratio,sex_ratio
1400000US01001020100,0.213807,0.151984,101.5576
1400000US01001020200,0.184974,0.161639,135.2075
1400000US01001020300,0.251489,0.125609,99.1375
1400000US01001020400,0.144109,0.273806,102.808
1400000US01001020501,0.263818,0.125639,103.401
1400000US01001020502,0.334516,0.129355,78.8806
1400000US01001020503,0.181151,0.205324,97.343
1400000US01001020600,0.277715,0.154695,81.7995
1400000US01001020700,0.267827,0.099663,86.4921
1400000US01001020801,0.227465,0.182558,101.1126
1400000US01001020803,0.233793,0.165517,78.7182
1400000US01001020804,0.289254,0.101096,105.7762
1400000US01001020805,0.230803,0.088069,79.7972
1400000US01001020901,0.260858,0.092598,109.9197
1400000US01001020902,0.155839,0.190255,87.936
1400000US01001021000,0.182507,0.115014,88.9395
1400000US01001021100,0.231055,0.243923,94.3858
1400000US01051030101,0.2629,0.141539,116.1371
1400000US01051030102,0.125088,0.194346,107.478
1400000US01051030103,0.121946,0.037816,516.9069
1400000US01051030200,0.207941,0.178555,119.4978
1400000US01051030300,0.148199,0.360237,77.8589
1400000US01051030401,0.211037,0.19436,86.433
1400000US01051030402,0.178989,0.192231,91.1008
1400000US01051030500,0.183906,0.221955,87.1113
1400000US01051030600,0.213335,0.131519,71.898
1400000US01051030701,0.291113,0.107636,90.1388
1400000US01051030702,0.169405,0.244277,111.567
1400000US01051030801,0.167579,0.250684,69.704
1400000US01051030802,0.321589,0.14632,64.6103
1400000US01051030901,0.286704,0.083642,89.9296
1400000US01051030902,0.199694,0.182374,80.8383
1400000US01051031001,0.281124,0.113884,64.434
1400000US01051031002,0.181729,0.148985,70.6145
1400000US01051031100,0.256226,0.141762,92.0883
1400000US01051031200,0.234805,0.178503,95.8647
1400000US01051031300,0.230739,0.125436,78.4456
1400000US01085780800,0.19346,0.245721,112.8822
1400000US01085781000,0.241716,0.205183,84.7724
1400000US01085781100,0.210738,0.163758,70.8716
1400000US01085781200,0.248582,0.124468,85.7708
1400000US01101000100,0.057823,0.064626,140.9836
1400000US01101000200,0.069321,0.208648,276.4858
