Source,Target,L1_Dist,L2_Dist,Cos_Sim,MMD
Albany,Albany,0.0,0.0,0.4937218254657174,0.0
Albany,Atlanta,0.16101724,1.7094704,0.4425672291034083,0.38695770502090454
Albany,Baton,0.16348319,1.8285484,0.3969995331961176,0.390514075756073
Albany,Bridgeport,0.11194015,1.037967,0.49822743209701903,0.10735297203063965
Albany,Chicago,0.28576332,2.867589,0.5172462921091101,0.32208025455474854
Albany,Duluth,0.12722339,1.3468189,0.4416322047763549,0.21835274994373322
Albany,Fort_wayne,0.13464046,1.4507536,0.45860546799265944,0.29652178287506104
Albany,Hartford,0.07303463,0.68376553,0.4754755862109764,0.0892932116985321
Albany,Jackson_MS,0.18848532,1.8622464,0.39616622020137704,0.3429979085922241
Albany,Knoxvile,0.13604158,1.448034,0.4537867686779643,0.3237854540348053
Albany,Lansing_east,0.1552589,1.678287,0.43777041184407806,0.2643209993839264
Albany,Modesto,0.24430397,2.9308698,0.44146099470878497,0.4268869161605835
Albany,Montgomery,0.19931555,2.0457184,0.39863545069136874,0.34874433279037476
Albany,newyork,0.26193586,2.5095813,0.5209503061249976,0.15407921373844147
Albany,Oklahoma,0.32101658,3.7068768,0.4563090604520439,0.4583114981651306
Atlanta,Albany,0.45070493,4.949945,0.4619663959377679,0.3981994092464447
Atlanta,Atlanta,0.0,0.0,0.5676118333403624,0.0
Atlanta,Baton,0.5594126,6.1432667,0.4223186895858748,0.3883519470691681
Atlanta,Bridgeport,0.34650648,3.4639173,0.5083881750789851,0.42838892340660095
Atlanta,Chicago,0.26831257,2.981747,0.5864724701877484,0.37928324937820435
Atlanta,Duluth,0.4533966,5.2541733,0.4407893269140696,0.4000012278556824
Atlanta,Fort_wayne,0.3745464,4.1060886,0.4938715731953036,0.3553117513656616
Atlanta,Hartford,0.4263269,4.580114,0.47423570206108434,0.4343469440937042
Atlanta,Jackson_MS,0.34330004,3.5463495,0.4361179443070937,0.24614985287189484
Atlanta,Knoxvile,0.11901167,1.123501,0.5045895896527393,0.10264930129051208
Atlanta,Lansing_east,0.41541463,4.7885127,0.4603549890128411,0.3604157567024231
Atlanta,Modesto,0.42290917,4.972615,0.45063938621196087,0.4218635559082031
Atlanta,Montgomery,0.31724036,3.3396633,0.46881382483867373,0.28680485486984253
Atlanta,newyork,0.31136018,3.3457866,0.5829550729439772,0.3972603678703308
Atlanta,Oklahoma,0.33815417,3.5329475,0.5117697503648597,0.41374921798706055
Baton,Albany,0.16691463,1.8953227,0.42388765001933604,0.3435586094856262
Baton,Atlanta,0.20183168,2.3974907,0.3780456495733665,0.4427061080932617
Baton,Baton,0.0,0.0,0.4871902018665806,0.0
Baton,Bridgeport,0.16224468,1.8913684,0.4191793400275773,0.32395172119140625
Baton,Chicago,0.25310645,2.988832,0.49054437582217314,0.4125516414642334
Baton,Duluth,0.19796172,2.359384,0.4252984964492408,0.4078212082386017
