,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,284.2362365722656,556.91064453125,200.47630310058594,975.272705078125,2120.428466796875,199.24191284179688,848.406494140625,593.66845703125,147.05392456054688,250.48123168945312,834.4694213867188,918.9810180664062,193.25401306152344,8051.8388671875,1413.5819091796875
Atlanta,707.846923828125,270.975830078125,447.749755859375,1165.7154541015625,1802.611328125,215.88287353515625,467.6654052734375,703.8173828125,186.52438354492188,270.3678283691406,742.2568359375,1031.0040283203125,191.2919158935547,7824.49853515625,431.0933532714844
Baton,936.081298828125,945.995361328125,143.68014526367188,1878.442138671875,2471.9150390625,372.35986328125,375.36529541015625,1129.5543212890625,329.5380554199219,403.13037109375,915.0044555664062,1695.2086181640625,391.71246337890625,10332.6845703125,728.1025390625
Bridgeport,408.54681396484375,1216.9140625,408.05487060546875,494.9809265136719,3114.863525390625,523.5899047851562,1287.6864013671875,411.7655334472656,287.35009765625,1606.6007080078125,824.601318359375,942.4270629882812,270.0711364746094,6491.609375,4856.7734375
Chicago,466.9826965332031,416.12841796875,385.6435546875,842.3866577148438,809.8331909179688,255.60438537597656,264.92523193359375,515.7731323242188,164.3850860595703,220.5922088623047,596.1282348632812,632.6146850585938,265.6194152832031,6860.44921875,443.1801452636719
Duluth,659.5403442382812,1105.25830078125,212.014892578125,1447.19140625,5192.08251953125,194.7801513671875,3072.161376953125,837.85400390625,478.39215087890625,2589.97021484375,971.82568359375,1616.399169921875,222.30123901367188,9904.1240234375,9984.0556640625
Fort_wayne,830.8960571289062,597.2811279296875,340.4083557128906,1398.0076904296875,2362.291748046875,513.7640380859375,179.81813049316406,936.4977416992188,566.7137451171875,554.0953369140625,728.4713134765625,1230.4661865234375,642.0103759765625,9845.078125,737.3074340820312
Hartford,484.3814392089844,826.4719848632812,343.56402587890625,720.2684936523438,2308.68115234375,355.0743408203125,521.7855224609375,273.4053955078125,185.9196014404297,1656.3197021484375,1156.9727783203125,1773.0814208984375,291.9305114746094,7594.29541015625,729.5768432617188
Jackson_MS,800.70703125,468.86749267578125,285.81597900390625,1472.3936767578125,2761.005615234375,1311.06591796875,615.5645141601562,750.2144165039062,139.10684204101562,938.2138671875,891.8806762695312,1246.145751953125,182.16746520996094,9985.8720703125,438.2908630371094
Knoxvile,1014.1917114257812,604.3838500976562,259.98822021484375,1708.533935546875,2284.732177734375,395.4861145019531,405.2550048828125,1109.1572265625,321.437744140625,138.92916870117188,884.8110961914062,1896.150146484375,295.3810119628906,9111.9326171875,783.3011474609375
Lansing_east,905.4954223632812,500.6353454589844,256.0708923339844,1645.479736328125,2223.765625,340.906494140625,645.6089477539062,933.4401245117188,238.0671844482422,227.42385864257812,681.118896484375,1610.2391357421875,211.8023681640625,10339.8818359375,381.103515625
Modesto,845.7041015625,897.5164794921875,200.34356689453125,1646.842529296875,2259.2705078125,378.96990966796875,348.92303466796875,831.158203125,237.62435913085938,374.288818359375,897.0975952148438,402.79681396484375,197.4751739501953,9971.033203125,766.9603881835938
Montgomery,913.6590576171875,680.144775390625,334.60467529296875,1876.058349609375,2572.8583984375,570.4713134765625,393.42120361328125,1044.1180419921875,203.80612182617188,320.6024169921875,757.9683837890625,1495.4622802734375,104.85816192626953,10640.6875,707.0807495117188
newyork,406.80230712890625,765.3035888671875,533.5795288085938,719.6300659179688,3729.09619140625,392.5426330566406,1422.50634765625,517.1926879882812,253.8652801513672,403.9631042480469,936.4913940429688,888.2283935546875,213.24465942382812,3435.42236328125,1844.6778564453125
Oklahoma,955.7073974609375,937.6171875,369.8984680175781,1674.1531982421875,2509.57470703125,353.31732177734375,533.0618896484375,954.6731567382812,364.75518798828125,387.61737060546875,969.5714111328125,1583.7681884765625,333.2770080566406,10277.27734375,278.5669250488281
