,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,0.8600322008132935,0.3001047968864441,0.7505753040313721,0.4365047812461853,0.22823786735534668,0.8564791083335876,-1.3007302284240723,0.5213141441345215,0.7517249584197998,0.5364556312561035,0.21548455953598022,0.023205935955047607,0.6334058046340942,-0.20565569400787354,-2.890023708343506
Atlanta,0.48979800939559937,0.5906975269317627,-0.0955348014831543,0.5366250276565552,0.24508219957351685,0.7993136048316956,0.19457250833511353,0.662189245223999,0.6380747556686401,0.550519585609436,0.1581832766532898,-0.08652961254119873,0.7211920022964478,-0.16266679763793945,0.45717477798461914
Baton,-0.11507117748260498,-0.3521009683609009,0.8162167072296143,-0.3660609722137451,-0.20317447185516357,0.22124654054641724,0.5018017292022705,-0.21422958374023438,-0.023244857788085938,0.1012621521949768,0.0268515944480896,-1.8261418342590332,-0.18176865577697754,-0.5928410291671753,-0.3408771753311157
Bridgeport,0.7884644269943237,-0.3198050260543823,0.08633124828338623,0.8026837110519409,0.018657207489013672,0.3126383423805237,-5.049276828765869,0.775560736656189,-0.01872074604034424,-1.514709234237671,0.2702341079711914,-0.02727043628692627,0.36974161863327026,0.10871368646621704,-40.37641525268555
Chicago,0.6756592988967896,0.477186918258667,0.02797001600265503,0.7152648568153381,0.7399936318397522,0.8378668427467346,0.7328351736068726,0.7252480983734131,0.7299801111221313,0.4424612522125244,0.17986643314361572,0.4655429720878601,0.3510201573371887,0.1324438452720642,0.3512624502182007
Duluth,0.3036128282546997,-0.6207680702209473,0.6730421185493469,-0.05936849117279053,-1.2180085182189941,0.7147173881530762,-33.475563049316406,0.24378108978271484,-2.375006675720215,-9.081599235534668,0.17099857330322266,-1.5848371982574463,0.5261859893798828,-0.5549236536026001,-191.4376220703125
Fort_wayne,0.24967902898788452,0.1842252016067505,0.4573337435722351,0.03960525989532471,-0.1844930648803711,0.41535067558288574,0.8328867554664612,0.3842848539352417,-0.7976500988006592,0.019444942474365234,0.03716099262237549,-0.6245068311691284,-0.9672834873199463,-0.5527278184890747,-0.32549238204956055
Hartford,0.6678209900856018,0.14440351724624634,0.2825850248336792,0.6037560701370239,-0.040354132652282715,0.43844759464263916,0.19293677806854248,0.8962705731391907,0.6188925504684448,-1.7502598762512207,-0.16403508186340332,-4.945086479187012,0.27974170446395874,-0.13809680938720703,-0.8027689456939697
Jackson_MS,0.14457839727401733,0.2699013948440552,0.4065653681755066,-0.14487922191619873,-0.18843543529510498,-2.9078738689422607,-0.02583134174346924,0.24748098850250244,0.7216209173202515,-0.5825538635253906,0.16803079843521118,-0.6521813869476318,0.6011967658996582,-0.5603765249252319,0.39905649423599243
Knoxvile,-0.08329200744628906,0.2502920627593994,0.551578938961029,-0.031127214431762695,0.005470156669616699,0.22468167543411255,0.48951125144958496,-0.016865849494934082,0.06905323266983032,0.7546980381011963,0.02935159206390381,-4.038749694824219,0.336185097694397,-0.3533743619918823,-1.5512120723724365
Lansing_east,-0.08119058609008789,0.14605796337127686,0.5270277261734009,-0.31234240531921387,-0.054818034172058105,0.4970327615737915,-0.7232511043548584,-0.07381463050842285,0.411812961101532,0.2596459984779358,0.1926172375679016,-1.5505173206329346,0.524247407913208,-0.6175506114959717,0.5166667699813843
Modesto,0.07217365503311157,-0.2938598394393921,0.7020759582519531,-0.12284231185913086,-0.08757388591766357,0.2784252166748047,0.5920735597610474,0.2465040683746338,0.41432613134384155,0.12334859371185303,0.03708714246749878,0.739990234375,0.6513564586639404,-0.5425944328308105,-0.3475046157836914
Montgomery,-0.14034020900726318,-0.1001366376876831,0.26973432302474976,-0.5135051012039185,-0.27877378463745117,0.2899899482727051,0.41053199768066406,-0.26980865001678467,0.5268887877464294,0.12849736213684082,0.1014331579208374,-1.2629354000091553,0.8683022856712341,-0.6575367450714111,-0.2862217426300049
newyork,0.8103258609771729,-0.02968275547027588,-0.5576231479644775,0.6926557421684265,-0.14692330360412598,0.36890000104904175,-6.645392894744873,0.7189425230026245,0.28281623125076294,0.6293777227401733,0.30801552534103394,0.1686360239982605,0.6130151152610779,0.700040340423584,-7.817944526672363
Oklahoma,-0.09924614429473877,-0.37486815452575684,0.22510087490081787,-0.251473069190979,-0.2159879207611084,0.373510479927063,0.1844792366027832,-0.02619302272796631,-0.24278271198272705,0.11549866199493408,-0.006779193878173828,-1.4512591361999512,0.11144179105758667,-0.6160387992858887,0.683161735534668
