,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,0.952664315700531,0.7924347519874573,0.8837572932243347,0.8717647790908813,0.4817485511302948,0.9291481971740723,0.8986378908157349,0.9098581075668335,0.8843463063240051,0.7618569135665894,0.4673376679420471,0.7841591835021973,0.8903270959854126,0.5299848914146423,0.820075273513794
Atlanta,0.8493425846099854,0.7817056179046631,0.7016090154647827,0.8863524198532104,0.5169376730918884,0.9072815179824829,0.8865747451782227,0.8942251801490784,0.855424165725708,0.7751059532165527,0.43175339698791504,0.7399618625640869,0.8817988634109497,0.41921383142471313,0.7781901359558105
Baton,0.7362698316574097,0.7259305715560913,0.9252303838729858,0.7769584655761719,0.13654425740242004,0.7054686546325684,0.8570257425308228,0.8553067445755005,0.8206514120101929,0.6609852910041809,0.5940307378768921,0.7562646865844727,0.8374303579330444,0.3331899344921112,0.7179036140441895
Bridgeport,0.8889140486717224,0.7524110674858093,0.8868299722671509,0.9265241622924805,0.49376803636550903,0.8494308590888977,0.899937629699707,0.9152087569236755,0.8406426906585693,0.743035078048706,0.5204333066940308,0.8591117262840271,0.8595873117446899,0.7018609046936035,0.8234934210777283
Chicago,0.8393009305000305,0.7688699960708618,0.8508394360542297,0.8484145402908325,0.8786709308624268,0.9297827482223511,0.8987571001052856,0.8955850601196289,0.8737554550170898,0.7540517449378967,0.5395770072937012,0.7999035120010376,0.726702094078064,0.6293736696243286,0.720028817653656
Duluth,0.565537691116333,0.5050225853919983,0.8606359958648682,0.24393974244594574,-0.11981534957885742,0.9267956018447876,0.8715301752090454,0.5234677195549011,0.8563051819801331,0.32881808280944824,0.43716347217559814,0.6929135918617249,0.8872119188308716,-0.24814951419830322,0.7109830975532532
Fort_wayne,0.5765315294265747,0.4401962459087372,0.6926302313804626,0.4213944673538208,0.14682865142822266,0.7628082036972046,0.9564895629882812,0.6895086765289307,0.8211650848388672,0.32466769218444824,0.3905884027481079,0.8282715678215027,0.8297223448753357,-0.251833438873291,0.7510550618171692
Hartford,0.8537588715553284,0.6053588390350342,0.7472600936889648,0.8348934054374695,0.3263680338859558,0.894405722618103,0.8097854852676392,0.9636993408203125,0.8369059562683105,0.3471108675003052,0.32693296670913696,0.714428186416626,0.8178861141204834,0.36494725942611694,0.6866409778594971
Jackson_MS,0.454576313495636,0.5275001525878906,0.8135879635810852,0.3081430494785309,-0.1552814394235611,0.6600261926651001,0.8393990993499756,0.5405428409576416,0.9008222222328186,0.2805559039115906,0.41195762157440186,0.8191245198249817,0.8133912086486816,-0.040236763656139374,0.7408910393714905
Knoxvile,0.9037218689918518,0.7617021799087524,0.8659887313842773,0.896291196346283,0.48899245262145996,0.8202159404754639,0.8450203537940979,0.8849630355834961,0.7540751695632935,0.966460645198822,0.445846825838089,0.8137959241867065,0.8131920099258423,0.5289607048034668,0.7263764142990112
Lansing_east,0.745111882686615,0.528235912322998,0.8334894180297852,0.40330904722213745,0.19388055801391602,0.7870261073112488,0.87712162733078,0.672760546207428,0.8449353575706482,0.5555140972137451,0.4695662260055542,0.8234754800796509,0.8266154527664185,-0.023467129096388817,0.7859697341918945
Modesto,0.7774800062179565,0.6796311736106873,0.8563424348831177,0.7976278066635132,0.4694720506668091,0.6766173839569092,0.8411316871643066,0.8597398996353149,0.7969813942909241,0.6711844205856323,0.6124258041381836,0.8938732147216797,0.8807510733604431,0.3399849236011505,0.7141104936599731
Montgomery,0.4375441074371338,0.5008732676506042,0.8631073832511902,-0.06177134811878204,0.021206723526120186,0.6023656129837036,0.8305153250694275,0.4926888942718506,0.8233351707458496,0.36667490005493164,0.5616136789321899,0.797110915184021,0.9523487091064453,-0.2462494671344757,0.8330674171447754
newyork,0.9108809232711792,0.7298557162284851,0.8591626882553101,0.8802311420440674,0.7578525543212891,0.8392035961151123,0.8241769075393677,0.8908398151397705,0.7791597247123718,0.8174799084663391,0.5587167739868164,0.8131107687950134,0.8351473808288574,0.8785447478294373,0.7769417762756348
Oklahoma,0.7357518672943115,0.5925192832946777,0.8301590085029602,0.5818861126899719,0.2843622863292694,0.8185446858406067,0.8678172826766968,0.749821662902832,0.8149868249893188,0.6551470756530762,0.6042394638061523,0.8128766417503357,0.8463215827941895,-0.06063656136393547,0.8572286367416382
