Source,Target,L1_Dist,L2_Dist,Cos_Sim,MMD
Albany,Albany,0.0,0.0,0.4939507411533134,0.0
Albany,Atlanta,0.16165085,1.6246166,0.43831462915018904,0.37997686862945557
Albany,Baton,0.16059391,1.7332222,0.40235747087177476,0.38454049825668335
Albany,Bridgeport,0.11373978,1.0566945,0.49674429068202786,0.10075065493583679
Albany,Chicago,0.27012676,3.0341508,0.506351668438601,0.249384805560112
Albany,Duluth,0.11814263,1.2931888,0.4454316332542456,0.20684343576431274
Albany,Fort_wayne,0.13104175,1.4231868,0.4569179907445676,0.28929048776626587
Albany,Hartford,0.06881438,0.6533425,0.47719885489697933,0.08036094903945923
Albany,Jackson_MS,0.18521556,1.8186951,0.3994225210017375,0.33891987800598145
Albany,Knoxvile,0.13270737,1.3663684,0.4547453244913108,0.3175928592681885
Albany,Lansing_east,0.15706801,1.6487919,0.43574116071047797,0.2560184895992279
Albany,Modesto,0.24253814,2.892914,0.4327852572260671,0.41351601481437683
Albany,Montgomery,0.19067168,1.9752547,0.4013812246478249,0.33794403076171875
Albany,newyork,0.23194571,2.8872294,0.5048572865882349,0.11378946900367737
Albany,Oklahoma,0.31493023,3.7194123,0.4569055708976626,0.4446944296360016
Atlanta,Albany,0.4206089,4.749299,0.4691968356905367,0.3929068148136139
Atlanta,Atlanta,0.0,0.0,0.5771154342776769,0.0
Atlanta,Baton,0.49400958,5.382222,0.44610854567659,0.3607206642627716
Atlanta,Bridgeport,0.32546878,3.2020879,0.5292563328237598,0.4264638423919678
Atlanta,Chicago,0.24877411,2.8110392,0.5914517928258147,0.37416648864746094
Atlanta,Duluth,0.51597416,6.040687,0.4426750436727783,0.4117911756038666
Atlanta,Fort_wayne,0.3456964,3.7147818,0.5069615012339161,0.38480108976364136
Atlanta,Hartford,0.38083667,4.0903077,0.49353141287674474,0.43977823853492737
Atlanta,Jackson_MS,0.3386736,3.4162965,0.4497464625992038,0.21025094389915466
Atlanta,Knoxvile,0.12488716,1.0967324,0.5020345888958433,0.09753680229187012
Atlanta,Lansing_east,0.4233771,4.847499,0.47608213720489134,0.3941654562950134
Atlanta,Modesto,0.3515318,3.822818,0.4561297046759363,0.44696202874183655
Atlanta,Montgomery,0.28390214,3.0042887,0.4916431208916522,0.25238510966300964
Atlanta,newyork,0.3367353,3.674404,0.5963134698009154,0.3831610083580017
Atlanta,Oklahoma,0.33401558,3.343566,0.5488901408318243,0.4592857360839844
Baton,Albany,0.16678545,1.8499866,0.4232112045452987,0.33568519353866577
Baton,Atlanta,0.18251342,2.2419043,0.3680412468865156,0.44703856110572815
Baton,Baton,0.0,0.0,0.48993526669956045,0.0
Baton,Bridgeport,0.15724725,1.8075409,0.422798632357526,0.31066593527793884
Baton,Chicago,0.71864,9.541397,0.4870878483744999,0.3143610954284668
Baton,Duluth,0.19848378,2.3233714,0.42370519819485153,0.40646496415138245
Baton,Fort_wayne,0.1861243,2.3612916,0.4415623398596016,0.3675088882446289
Baton,Hartford,0.17445117,1.9635555,0.4231271837349795,0.32909515500068665
Baton,Jackson_MS,0.2284328,2.233115,0.40972173655117106,0.23925632238388062
Baton,Knoxvile,0.2293958,2.7511826,0.380014397475788,0.3991919755935669
Baton,Lansing_east,0.21210706,2.7322283,0.4091954337371798,0.3453650176525116
Baton,Modesto,0.30616337,3.7670798,0.4043708200249825,0.4651021659374237
Baton,Montgomery,0.2126669,2.1767457,0.4143185208916039,0.2569734752178192
Baton,newyork,1.1294922,16.124554,0.4618846668119416,0.22362063825130463
Baton,Oklahoma,0.3099759,3.609756,0.4453203479004171,0.43923529982566833
Bridgeport,Albany,0.112084344,1.2062948,0.46415630264534147,0.08653032779693604
Bridgeport,Atlanta,0.18366866,2.233888,0.41847668849977215,0.3897944986820221
Bridgeport,Baton,0.24703197,3.09216,0.43699455639609197,0.3142094612121582
Bridgeport,Bridgeport,0.0,0.0,0.47529442169820635,0.0
Bridgeport,Chicago,0.3043044,3.3017445,0.45432364079078436,0.22132664918899536
Bridgeport,Duluth,0.13875766,1.5786076,0.45775915318988014,0.2312801331281662
Bridgeport,Fort_wayne,0.12864678,1.5986482,0.4260657638956724,0.285238653421402
Bridgeport,Hartford,0.11969645,1.1380184,0.47280948177067195,0.04311716556549072
Bridgeport,Jackson_MS,0.25348398,3.2392342,0.4445875332118533,0.3414110541343689
Bridgeport,Knoxvile,0.15537295,1.850337,0.4486608198808485,0.36167123913764954
Bridgeport,Lansing_east,0.2080463,2.7594218,0.4295223266235054,0.3040747344493866
Bridgeport,Modesto,0.25412053,3.0399241,0.4486101829813117,0.40661996603012085
Bridgeport,Montgomery,0.24876478,3.1404545,0.4390169349538703,0.3330419957637787
Bridgeport,newyork,0.2866956,3.295634,0.4573404054933823,0.09079894423484802
Bridgeport,Oklahoma,0.372357,4.016619,0.4581030599757422,0.404960960149765
Chicago,Albany,0.2612381,2.5023916,0.4616985746050908,0.2608647346496582
Chicago,Atlanta,0.26013425,2.6850946,0.3867291185005921,0.35657942295074463
Chicago,Baton,0.3271674,3.4481838,0.42732926279224237,0.3286083936691284
Chicago,Bridgeport,0.17200847,1.7284789,0.5015253102504695,0.30815231800079346
