,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,285.4543151855469,588.9898071289062,196.46231079101562,967.86181640625,2094.699951171875,210.94326782226562,715.1237182617188,586.0611572265625,153.5481719970703,271.7739562988281,764.54150390625,955.6475830078125,197.8325958251953,9002.1572265625,1434.5592041015625
Atlanta,719.9695434570312,277.3464660644531,388.2629699707031,1018.02294921875,1616.657470703125,270.82080078125,456.5943603515625,673.5142211914062,189.54074096679688,224.74819946289062,750.1026000976562,875.6524658203125,168.65908813476562,7276.2138671875,380.1986999511719
Baton,891.5091552734375,424706848.0,141.4213104248047,2120.449951171875,6.51542821750371e+33,403.08349609375,556.8285522460938,1701.923095703125,336.5870666503906,400.0384521484375,22740.3046875,1681.219970703125,388.357177734375,inf,100812672.0
Bridgeport,403.45355224609375,1310.35400390625,391.71881103515625,484.5339660644531,7357.9296875,548.73193359375,1278.6334228515625,409.6405334472656,285.9302673339844,1791.002197265625,778.6595458984375,851.0360717773438,268.63299560546875,13591.2001953125,6421.6748046875
Chicago,511.691650390625,475.9320068359375,362.988037109375,867.4036865234375,795.39892578125,248.9469757080078,259.2075500488281,658.8158569335938,233.2608642578125,256.8154602050781,595.968017578125,690.3440551757812,345.10986328125,6856.79931640625,680.0208740234375
Duluth,617.0148315429688,9196.6357421875,252.28192138671875,1380.8668212890625,66435791454208.0,196.51487731933594,2551.67919921875,796.4141845703125,343.14410400390625,2128.527099609375,932.0040283203125,1638.2430419921875,187.87338256835938,2499286298263552.0,21879.48046875
Fort_wayne,808.0938720703125,536.4238891601562,323.4321594238281,1333.59912109375,2093.721435546875,470.72393798828125,157.33909606933594,902.48583984375,481.04071044921875,556.6444702148438,725.8125,1271.2642822265625,501.07275390625,9186.66796875,712.3397827148438
Hartford,495.56182861328125,715.8666381835938,230.88262939453125,740.6860961914062,3313.84130859375,357.34185791015625,810.1734008789062,423.2113342285156,241.06307983398438,246.00096130371094,778.7760009765625,985.8828125,205.88522338867188,8125.2431640625,1115.9114990234375
Jackson_MS,833.2529296875,464.44207763671875,300.9543151855469,1457.6326904296875,3538.72509765625,1554.453125,606.5796508789062,791.9539184570312,141.3656768798828,793.862060546875,926.6775512695312,1375.6920166015625,192.64480590820312,10272.6025390625,471.8412780761719
Knoxvile,998.5726318359375,703.4403076171875,302.9385070800781,1741.8046875,2398.78955078125,381.50115966796875,440.9736022949219,1124.182373046875,345.5113830566406,163.75332641601562,960.8523559570312,921.595703125,336.90179443359375,10423.5908203125,513.31591796875
Lansing_east,927.7657470703125,511.4679870605469,279.60247802734375,1680.889404296875,2216.43212890625,351.7575378417969,617.6226196289062,958.0248413085938,249.8556671142578,228.5845489501953,673.4011840820312,1620.952392578125,220.84457397460938,10094.712890625,373.0720520019531
Modesto,777.2301025390625,1340.3804931640625,193.17807006835938,1569.56201171875,17925502976.0,358.2695007324219,344.5202331542969,740.1550903320312,233.8559112548828,352.1353759765625,751.7055053710938,406.60601806640625,196.7413787841797,497012506624.0,1655.6142578125
Montgomery,902.9603881835938,684.5921020507812,323.4208679199219,1853.08837890625,2509.435302734375,433.83331298828125,363.27532958984375,1028.473388671875,205.4529571533203,303.7981262207031,726.4475708007812,1534.5018310546875,104.76769256591797,10644.8505859375,704.8104858398438
newyork,412.3377685546875,776.2449951171875,614.0992431640625,655.8467407226562,3181.672119140625,407.8719787597656,1230.861572265625,444.9052429199219,262.3384704589844,381.6976013183594,899.98193359375,739.3477783203125,256.72906494140625,3429.49951171875,2115.56201171875
Oklahoma,1019.1395874023438,618.240234375,455.6324768066406,1700.7344970703125,2829.44384765625,406.6105041503906,559.3975219726562,907.3123168945312,289.566162109375,266.5471496582031,1036.1920166015625,1686.4434814453125,199.44656372070312,10500.6328125,244.42657470703125
