,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,0.8571938276290894,0.18616712093353271,0.7420750260353088,0.4421148896217346,0.13092541694641113,0.8401021957397461,-0.628610372543335,0.5297266244888306,0.7278878688812256,0.5324512124061584,0.17524975538253784,-0.031275391578674316,0.6165576577186584,-0.40658581256866455,-3.0216193199157715
Atlanta,0.4746437072753906,0.5827299356460571,0.1620977520942688,0.6078211069107056,0.32901275157928467,0.7190449237823486,0.27335238456726074,0.673616349697113,0.631911039352417,0.5089009404182434,0.16977208852767944,0.1577184796333313,0.7667892575263977,-0.02222597599029541,0.5516623258590698
Baton,-0.03435337543487549,-76752575528960.0,0.8220186233520508,-2.717634677886963,-inf,-0.06350493431091309,-9.77311897277832,-39.64059829711914,-0.06805860996246338,0.10442394018173218,-5207.41064453125,-1.7810885906219482,-0.16214680671691895,-inf,-5550108573696.0
Bridgeport,0.796880841255188,-0.6202864646911621,0.13302969932556152,0.8156121373176575,-138.28530883789062,0.19853079319000244,-5.339206695556641,0.7778456807136536,-0.020779132843017578,-2.1804041862487793,0.3105264902114868,0.10282069444656372,0.3651466965675354,-97.08794403076172,-70.00829315185547
Chicago,0.6410639882087708,0.43664562702178955,0.10898303985595703,0.7293204069137573,0.7372459173202515,0.8275988101959229,0.7613900303840637,0.660459041595459,0.47323906421661377,0.4060167670249939,0.17084193229675293,0.3983338475227356,0.004106402397155762,0.1491261124610901,-0.36928796768188477
Duluth,0.37345951795578003,-32156.34375,0.5767567157745361,-0.040936946868896484,-2.6956007339249952e+23,0.721360445022583,-24.004749298095703,0.23353230953216553,-0.773064136505127,-5.964482307434082,-0.046814680099487305,-1.6457629203796387,0.7298974394798279,-7.626208201598624e+25,-84802.8828125
Fort_wayne,0.2815265655517578,0.27754831314086914,0.50507652759552,0.08887588977813721,-0.013737201690673828,0.49740302562713623,0.8639084100723267,0.43351513147354126,-0.2977621555328369,0.033267080783843994,0.0746341347694397,-0.7029129266738892,-0.23672235012054443,-0.4139949083328247,-0.23912358283996582
Hartford,0.637191891670227,0.19148308038711548,0.6796599626541138,0.6336931586265564,-4.152079105377197,0.5282068252563477,-3.0264530181884766,0.7739740014076233,0.4227368235588074,0.5605539083480835,0.17292499542236328,-0.38072097301483154,0.6261419057846069,-1.0126149654388428,-2.99463152885437
Jackson_MS,0.1437305212020874,0.25183868408203125,0.3636224865913391,-0.1045236587524414,-11.97095012664795,-5.0046844482421875,0.017345428466796875,0.27050238847732544,0.7174695730209351,-0.332755446434021,0.21469604969024658,-0.9504141807556152,0.5678650736808777,-2.368861436843872,0.29758912324905396
Knoxvile,-0.060164690017700195,-0.0507204532623291,0.4371246099472046,-0.0974118709564209,-0.16866493225097656,0.3046090602874756,0.3639867305755615,-0.06776511669158936,-0.05630218982696533,0.5416154861450195,-0.10432624816894531,-0.18364465236663818,0.1344967484474182,-0.6187293529510498,0.20665502548217773
Lansing_east,-0.11574971675872803,0.14845627546310425,0.4600599408149719,-0.3374767303466797,-0.06443512439727783,0.4684256315231323,-0.6044198274612427,-0.10183465480804443,0.3560752868652344,0.246576726436615,0.20823293924331665,-1.5799403190612793,0.4962337613105774,-0.5434106588363647,0.5473140478134155
Modesto,0.15418356657028198,-81.13732147216797,0.7289315462112427,-0.06128036975860596,-1.753162163683328e+16,0.3309081792831421,0.5330619812011719,0.33628547191619873,0.41749751567840576,0.14362841844558716,0.32799458503723145,0.7324032783508301,0.6402950882911682,-2.5381313332557906e+18,-304.5745849609375
Montgomery,-0.14442086219787598,-0.11320853233337402,0.3203393220901489,-0.49163687229156494,-0.263230562210083,0.4306045174598694,0.5009291172027588,-0.2512845993041992,0.5202367305755615,0.1215248703956604,0.1231839656829834,-1.3490777015686035,0.8700518608093262,-0.661628007888794,-0.2889218330383301
newyork,0.7936990261077881,-0.056203484535217285,-1.0234456062316895,0.715236246585846,0.09961038827896118,0.54744553565979,-4.5465779304504395,0.764082670211792,0.13372039794921875,0.6468908786773682,0.31424176692962646,0.42453330755233765,0.46511387825012207,0.6989231109619141,-10.62103271484375
Oklahoma,-0.34556615352630615,-0.055899977684020996,0.27802276611328125,-0.3138446807861328,-0.313235878944397,0.1567378044128418,0.006336331367492676,-0.03398764133453369,0.5133153200149536,0.13051587343215942,-0.07177197933197021,-1.7918672561645508,0.7365909218788147,-0.6510916948318481,0.7351670265197754
