,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,0.9519436359405518,0.7215230464935303,0.8885296583175659,0.8743884563446045,0.3785790205001831,0.9301186203956604,0.8946497440338135,0.9090502262115479,0.8783566951751709,0.7613428831100464,0.42682400345802307,0.7681857347488403,0.8854653835296631,0.2462388277053833,0.7851709127426147
Atlanta,0.8799666166305542,0.7759343385696411,0.7902251482009888,0.8812152147293091,0.5812947750091553,0.9103753566741943,0.8950994610786438,0.8855370879173279,0.848885178565979,0.7691780924797058,0.4460969567298889,0.7863187789916992,0.890282392501831,0.4341656267642975,0.8236739635467529
Baton,0.6249300241470337,0.2196422517299652,0.931337833404541,0.15081244707107544,0.03405645117163658,0.7038154006004333,0.3545820116996765,0.12283718585968018,0.8228466510772705,0.6437874436378479,0.4513339102268219,0.7590663433074951,0.8506544828414917,,0.17892317473888397
Bridgeport,0.8939831256866455,0.7717399001121521,0.8855032324790955,0.9295233488082886,0.1724395602941513,0.852969765663147,0.8940204381942749,0.9199291467666626,0.8368678689002991,0.7420884370803833,0.5580875873565674,0.8492245078086853,0.8509507179260254,0.12852594256401062,0.8144579529762268
Chicago,0.8285556435585022,0.7684921026229858,0.8159740567207336,0.871418297290802,0.873938798904419,0.9160305261611938,0.9074329137802124,0.8827223777770996,0.8056762218475342,0.8075465559959412,0.5196764469146729,0.7989607453346252,0.6457197666168213,0.5945229530334473,0.7307933568954468
Duluth,0.6213419437408447,0.20662716031074524,0.8686193227767944,0.32725411653518677,0.04527273029088974,0.9340532422065735,0.8617154359817505,0.5228421688079834,0.8455904722213745,0.3551183342933655,0.636690616607666,0.70951247215271,0.8819036483764648,0.05168083310127258,0.18974123895168304
Fort_wayne,0.5924879908561707,0.5544777512550354,0.7250386476516724,0.44111937284469604,0.3513205051422119,0.8160331845283508,0.9566627740859985,0.7073355317115784,0.8486318588256836,0.35352611541748047,0.4838166832923889,0.8225563168525696,0.8536945581436157,0.165215402841568,0.7857963442802429
Hartford,0.8473089933395386,0.790420413017273,0.8324143886566162,0.8555009365081787,0.2801678776741028,0.774527907371521,0.8592240810394287,0.9083104729652405,0.8214281797409058,0.8822312355041504,0.44439783692359924,0.8227530717849731,0.8380547165870667,0.2068076878786087,0.8008549809455872
Jackson_MS,0.41902562975883484,0.5618700981140137,0.7963704466819763,0.35684484243392944,0.12222957611083984,0.658536434173584,0.8377786874771118,0.5326278805732727,0.9051946401596069,0.2929864823818207,0.4712435007095337,0.8081052303314209,0.8202556371688843,0.11578531563282013,0.6733440160751343
Knoxvile,0.8848916292190552,0.5302412509918213,0.848413348197937,0.8756545782089233,0.249948650598526,0.8535672426223755,0.816968560218811,0.8763778209686279,0.7420213222503662,0.8964380025863647,0.16012981534004211,0.8307700157165527,0.7836531400680542,0.09822525084018707,0.6998854875564575
Lansing_east,0.7467306852340698,0.561984658241272,0.8327076435089111,0.40754103660583496,0.2656192183494568,0.7632578611373901,0.8748031258583069,0.6822400093078613,0.8460032939910889,0.5570679903030396,0.49085748195648193,0.8168509006500244,0.8325079083442688,0.1802731305360794,0.7932054996490479
Modesto,0.7640398740768433,0.33699220418930054,0.8694941997528076,0.7784279584884644,0.0511481873691082,0.6693085432052612,0.7841588258743286,0.8349988460540771,0.7968193292617798,0.6724320650100708,0.7066969275474548,0.891221284866333,0.8803626894950867,0.02207406423985958,0.17996570467948914
Montgomery,0.46239808201789856,0.4915282130241394,0.8758078813552856,0.10865484923124313,0.029428154230117798,0.6651309728622437,0.847521185874939,0.5608774423599243,0.821208119392395,0.35524865984916687,0.5550013184547424,0.8436249494552612,0.9535908699035645,-0.35721665620803833,0.832240104675293
newyork,0.8977759480476379,0.7237199544906616,0.8645100593566895,0.8855758905410767,0.7692140340805054,0.8723227977752686,0.8401594161987305,0.911979079246521,0.8210164308547974,0.8105224370956421,0.5609487891197205,0.8077747821807861,0.7990663051605225,0.8718566298484802,0.7468887567520142
Oklahoma,0.34711599349975586,0.42934900522232056,0.8083137273788452,0.5187716484069824,0.3182469606399536,0.7717509865760803,0.8805437684059143,0.6540237665176392,0.798132598400116,0.4061204791069031,0.5106568336486816,0.6147350072860718,0.8800970911979675,-0.2519876956939697,0.898598313331604
