,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,592.0714721679688,1200.2235107421875,312.72308349609375,1927.6881103515625,4386.88916015625,366.9492492675781,968.0935668945312,1174.591552734375,244.7342529296875,850.8952026367188,2416.627197265625,1237.357666015625,313.10626220703125,15596.994140625,1729.9149169921875
Atlanta,1135.6058349609375,859.4153442382812,563.6505737304688,1616.242431640625,3854.65283203125,486.4107666015625,646.6520385742188,978.533935546875,284.64080810546875,872.0615844726562,2424.63916015625,1118.2440185546875,244.18331909179688,13296.3125,577.599609375
Baton,1593.437744140625,11655771136.0,259.77691650390625,4976.19921875,inf,946.3558349609375,2489.885986328125,10919.22265625,484.8621826171875,1177.6434326171875,192044.140625,2031.9609375,545.0950317382812,inf,2032240000.0
Bridgeport,706.1160278320312,1693.520263671875,573.3441162109375,1108.2315673828125,55536.79296875,821.5389404296875,1909.968505859375,807.3076782226562,474.00909423828125,2219.2373046875,2209.5673828125,1154.1109619140625,402.8825378417969,130246.3671875,7269.0693359375
Chicago,938.6618041992188,998.585693359375,581.2410278320312,1342.74072265625,2412.14208984375,381.0262145996094,370.5552978515625,998.0626220703125,340.5081787109375,959.068603515625,2423.076416015625,945.1173706054688,504.6011047363281,12130.826171875,1009.41943359375
Duluth,1240.1527099609375,238580.3125,400.5975646972656,2633.156005859375,2443182751088640.0,484.4021911621094,3793.324462890625,1499.5418701171875,624.716552734375,3284.029296875,2722.596923828125,1981.9075927734375,262.788330078125,1.1484500313348506e+17,251207.21875
Fort_wayne,1328.024169921875,1130.8341064453125,433.19384765625,2463.50341796875,4737.9541015625,650.5709228515625,279.849365234375,1289.1571044921875,534.4638671875,1223.533447265625,2559.794921875,1590.0257568359375,562.3126220703125,15638.017578125,960.2439575195312
Hartford,943.7112426757812,1196.297119140625,348.5129089355469,1562.0211181640625,10681.1845703125,630.3192138671875,1522.194091796875,814.3120727539062,356.45745849609375,824.9267578125,2420.03076171875,1431.729248046875,309.1684265136719,18656.841796875,1724.1007080078125
Jackson_MS,1449.79248046875,1150.779541015625,491.21392822265625,2712.388427734375,16947.828125,2248.691162109375,751.9849853515625,1462.93017578125,249.37525939941406,1436.6064453125,2358.1279296875,1701.6544189453125,332.39263916015625,24137.892578125,722.9693603515625
Knoxvile,1613.196533203125,1363.760498046875,461.9759826660156,2703.64208984375,5087.1337890625,765.2427978515625,604.9811401367188,1769.9033203125,482.1863098144531,842.5148315429688,2796.385986328125,1325.61865234375,470.4095153808594,16731.88671875,768.3433227539062
Lansing_east,1654.94677734375,1227.7161865234375,452.4660949707031,2984.746826171875,4854.9833984375,669.0625610351562,960.8768920898438,1797.9180908203125,376.4768981933594,1080.1451416015625,2367.811767578125,1957.098876953125,358.8857727050781,16337.986328125,580.393798828125
Modesto,1440.916015625,12057.708984375,320.592041015625,2658.761962890625,623073361920.0,750.6328735351562,518.3682250976562,1395.41162109375,358.0714416503906,1151.578857421875,2181.397705078125,630.301513671875,303.2598571777344,20951485906944.0,15079.359375
Montgomery,1676.0751953125,1403.7274169921875,507.64410400390625,3152.070556640625,5288.9501953125,692.4552612304688,535.907470703125,1915.9744873046875,324.9632568359375,1166.3458251953125,2491.73974609375,1867.48291015625,182.2748565673828,16952.146484375,979.34912109375
newyork,711.6250610351562,1367.314208984375,875.9090576171875,1377.2308349609375,4465.2255859375,617.3339233398438,1786.5751953125,831.939208984375,436.66644287109375,739.4640502929688,2203.60595703125,924.3108520507812,369.8046875,7215.9990234375,2940.67236328125
Oklahoma,1817.4110107421875,1367.11767578125,523.2088012695312,2958.260498046875,5392.6162109375,842.6865234375,756.1856689453125,1741.6839599609375,327.2989501953125,1160.36181640625,2754.860595703125,2035.894775390625,259.5118103027344,16898.314453125,443.9256896972656
