Source,Target,L1_Dist,L2_Dist,Cos_Sim,MMD
Albany,Albany,0.0,0.0,0.4944878590772481,0.0
Albany,Atlanta,0.16228923,1.6047959,0.4226992447086638,0.3587509095668793
Albany,Baton,0.15959924,1.7390023,0.3860559902241776,0.37714436650276184
Albany,Bridgeport,0.109751806,1.019282,0.49977437858951945,0.10215538740158081
Albany,Chicago,0.2706126,2.8092918,0.5113836019043196,0.31499719619750977
Albany,Duluth,0.1237009,1.3269627,0.46160405408460636,0.21592146158218384
Albany,Fort_wayne,0.13028052,1.454216,0.4579479622912841,0.2966351807117462
Albany,Hartford,0.0688916,0.64545184,0.4808157127365038,0.07764983177185059
Albany,Jackson_MS,0.19170986,1.9195387,0.38581058256252476,0.32044464349746704
Albany,Knoxvile,0.13026944,1.2856007,0.4368031818435143,0.2910442352294922
Albany,Lansing_east,0.17766316,1.868782,0.44807584400918155,0.2850222885608673
Albany,Modesto,0.23627004,2.8752582,0.43686621849391283,0.39816999435424805
Albany,Montgomery,0.19685152,2.0712955,0.3870577931613497,0.32313886284828186
Albany,newyork,0.26173013,2.5326958,0.52337830132538,0.1491396129131317
Albany,Oklahoma,0.3079782,3.74622,0.45086260209796625,0.44947806000709534
Atlanta,Albany,0.29755372,3.033926,0.5102407306317931,0.3532537817955017
Atlanta,Atlanta,0.0,0.0,0.5736054897195819,0.0
Atlanta,Baton,0.3968085,4.58135,0.45195344535128845,0.3465610146522522
Atlanta,Bridgeport,0.24948922,2.390638,0.5673318321209311,0.4034338891506195
Atlanta,Chicago,0.3391747,3.9005861,0.6027860183220203,0.42396730184555054
Atlanta,Duluth,0.34193587,4.036573,0.46231290449684825,0.38054338097572327
Atlanta,Fort_wayne,0.25221905,2.463434,0.5270489342452362,0.3756532669067383
Atlanta,Hartford,0.25806502,2.454451,0.5357435753080395,0.3821500539779663
Atlanta,Jackson_MS,0.27563757,2.9867857,0.4510522547625231,0.21523259580135345
Atlanta,Knoxvile,0.12508126,1.1456422,0.5000491966528855,0.10122883319854736
Atlanta,Lansing_east,0.2356506,2.5078871,0.4876793843323993,0.3734079897403717
Atlanta,Modesto,0.33853167,3.7927566,0.4423476832515042,0.42952612042427063
Atlanta,Montgomery,0.24062756,2.5837793,0.4787244976255173,0.2379503846168518
Atlanta,newyork,0.35480067,4.155924,0.6025267111102837,0.39778247475624084
Atlanta,Oklahoma,0.37430122,3.902553,0.5332855749077647,0.4171052873134613
Baton,Albany,0.1495751,1.5290786,0.46226343795034375,0.2631901204586029
Baton,Atlanta,0.20421208,2.3600886,0.4396734797656624,0.38081327080726624
Baton,Baton,0.0,0.0,0.5048532904076437,0.0
Baton,Bridgeport,0.14978571,1.543444,0.4606495167672596,0.26070865988731384
Baton,Chicago,0.33851328,4.0751386,0.5160249647557125,0.43010231852531433
Baton,Duluth,0.28076616,3.1025183,0.44413707597710694,0.3169805407524109
Baton,Fort_wayne,0.1991818,2.3486497,0.4763420283167483,0.3779088854789734
Baton,Hartford,0.13810915,1.4491905,0.4686617730328406,0.26484042406082153
Baton,Jackson_MS,0.25877747,2.4753187,0.4364036849596017,0.18891115486621857
Baton,Knoxvile,0.26675242,2.9683688,0.4351813592479905,0.3260180652141571
Baton,Lansing_east,0.21876118,2.4372537,0.44309548996992476,0.3467344343662262
Baton,Modesto,0.22301513,2.6621177,0.3983590641259771,0.48557424545288086
Baton,Montgomery,0.2276054,2.2322214,0.44552161587090156,0.2101583331823349
Baton,newyork,0.23403628,2.804463,0.4941343182255391,0.31861212849617004
Baton,Oklahoma,0.311552,3.572603,0.4504894183797534,0.42227473855018616
Bridgeport,Albany,0.11611282,1.2410687,0.46464147468909733,0.08467206358909607
Bridgeport,Atlanta,0.1868951,2.204297,0.4115887611380059,0.386299192905426
Bridgeport,Baton,0.24457261,3.0213778,0.4326597949789712,0.31624558568000793
Bridgeport,Bridgeport,0.0,0.0,0.4746899268133211,0.0
Bridgeport,Chicago,0.2751442,2.913679,0.45903956408344204,0.2618645131587982
Bridgeport,Duluth,0.15387596,1.7009655,0.4579595811830979,0.21779991686344147
Bridgeport,Fort_wayne,0.13252911,1.5767409,0.42686619654780544,0.2857443690299988
Bridgeport,Hartford,0.12187554,1.1461495,0.47229307021807143,0.04423251748085022
Bridgeport,Jackson_MS,0.2527917,3.1540473,0.43626435161840604,0.34179529547691345
Bridgeport,Knoxvile,0.16849577,1.9626262,0.43735169096305027,0.37107035517692566
