,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,295.4343566894531,654.72314453125,193.32696533203125,1033.9434814453125,1916.151123046875,205.15335083007812,624.6060791015625,616.81640625,162.72628784179688,227.19482421875,732.0811157226562,982.7933959960938,216.5381622314453,8114.216796875,1035.1451416015625
Atlanta,463.396484375,269.2747802734375,260.51397705078125,793.09619140625,2571.57958984375,294.9447326660156,801.4024658203125,612.5826416015625,219.93661499023438,242.76097106933594,1037.96044921875,816.6234741210938,194.78323364257812,7366.4619140625,462.21331787109375
Baton,721.3494873046875,907.2667236328125,127.92881774902344,1569.800048828125,2383.859130859375,411.8377685546875,348.9400634765625,908.8373413085938,306.7919616699219,342.94207763671875,754.0326538085938,1617.0531005859375,354.0129089355469,9839.361328125,560.2985229492188
Bridgeport,396.6417541503906,1306.6717529296875,371.9422912597656,491.048828125,3045.9931640625,457.4153137207031,1236.0487060546875,412.23736572265625,286.2021484375,1800.98876953125,760.412109375,834.9977416992188,257.8040466308594,6184.478515625,5669.5546875
Chicago,1074.8321533203125,819.7689819335938,269.6155700683594,2006.794921875,787.6266479492188,322.5291442871094,411.92022705078125,1277.1551513671875,184.2061004638672,720.4337768554688,648.5299682617188,1211.5068359375,400.5889587402344,10319.5322265625,4855.4482421875
Duluth,611.0255737304688,695.2322998046875,277.3887939453125,1328.42578125,4603.71826171875,193.87356567382812,2486.704833984375,755.11767578125,284.2215270996094,1754.260986328125,832.2799072265625,1637.9014892578125,178.04493713378906,9771.224609375,7453.85693359375
Fort_wayne,863.1936645507812,604.0985717773438,1088.370361328125,1468.866943359375,2185.88671875,330.6611328125,173.62167358398438,1522.327392578125,846.0711059570312,612.9974975585938,776.025390625,876.9963989257812,1386.1097412109375,9292.8291015625,826.0808715820312
Hartford,472.0581359863281,447.2866516113281,334.7091979980469,704.6234741210938,2365.823486328125,400.07537841796875,596.6450805664062,297.7093811035156,226.95458984375,1101.4825439453125,1178.927734375,1649.1165771484375,286.07611083984375,7632.05712890625,538.1937866210938
Jackson_MS,817.6424560546875,473.1485900878906,282.11407470703125,1419.520263671875,2722.814697265625,1066.1820068359375,727.7018432617188,742.993896484375,141.98973083496094,914.0263671875,1008.8158569335938,1315.007568359375,187.69882202148438,9911.734375,596.17822265625
Knoxvile,936.3300170898438,668.825439453125,265.4632263183594,1551.3736572265625,2287.8798828125,323.49383544921875,422.9738464355469,1013.5706176757812,342.0228576660156,141.74070739746094,871.0700073242188,1737.783447265625,296.41204833984375,8886.39453125,561.1828002929688
Lansing_east,935.80615234375,522.7698364257812,359.8003234863281,1657.0509033203125,2180.90087890625,318.1769714355469,598.9217529296875,928.4113159179688,323.08349609375,236.6963653564453,681.7449951171875,1643.3702392578125,266.17169189453125,10316.123046875,335.6119079589844
Modesto,775.6773071289062,900.7236938476562,188.6355743408203,1584.8553466796875,2166.182861328125,334.8236083984375,289.53765869140625,753.1461791992188,248.6013641357422,345.0498962402344,812.1089477539062,410.6992492675781,217.1845245361328,9899.947265625,721.91943359375
Montgomery,951.4159545898438,664.5809936523438,363.6669616699219,1914.3748779296875,2716.347900390625,320.5439147949219,437.9121398925781,1079.9442138671875,200.68862915039062,269.9870910644531,788.3033447265625,1638.7098388671875,96.33250427246094,10717.8115234375,821.030517578125
newyork,432.8531188964844,1247.8782958984375,715.6702270507812,749.3748779296875,2839.4189453125,504.53143310546875,1222.2437744140625,480.3481140136719,248.88046264648438,1003.6115112304688,987.850830078125,805.1066284179688,211.1973876953125,3319.51953125,3095.148681640625
Oklahoma,1043.1689453125,653.9041748046875,326.1091613769531,1784.6319580078125,2882.733154296875,397.8009338378906,545.9384155273438,1007.7591552734375,248.4716796875,259.5689392089844,1018.6637573242188,1301.9697265625,181.9960174560547,10573.5390625,226.3890838623047
