,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,0.8447461128234863,0.15340930223464966,0.7185964584350586,0.38292545080184937,0.22978270053863525,0.8499269485473633,-0.22863316535949707,0.47915440797805786,0.6913013458251953,0.5032216310501099,0.22157752513885498,-0.07024157047271729,0.5545835494995117,-0.2083340883255005,-1.1767842769622803
Atlanta,0.7730995416641235,0.5811378955841064,0.5646048784255981,0.7200091481208801,0.10386580228805542,0.6948067545890808,-1.7397255897521973,0.49902117252349854,0.3798065185546875,0.6023356914520264,0.1723935604095459,0.24569272994995117,0.6449118852615356,-0.015706300735473633,0.41603410243988037
Baton,0.222398042678833,-0.31365811824798584,0.8492902517318726,-0.054474472999572754,-0.07180595397949219,-0.12842631340026855,0.5393877029418945,0.11361896991729736,0.1320820450782776,0.14624899625778198,0.1628434658050537,-1.5905096530914307,0.04314255714416504,-0.526961088180542,0.06840044260025024
Bridgeport,0.8035846948623657,-0.5502911806106567,0.2628329396247864,0.8090312480926514,0.05552750825881958,0.4736775755882263,-4.697787284851074,0.776861846446991,0.053682923316955566,-2.093604564666748,0.29871827363967896,0.15090250968933105,0.43141859769821167,0.16798245906829834,-54.89437484741211
Chicago,-0.208124041557312,0.3025462031364441,0.4998081922531128,-0.46408700942993164,0.7425370216369629,0.6295680999755859,0.4931902289390564,-0.4433242082595825,0.6012223362922668,0.26172953844070435,0.23006176948547363,-0.5843826532363892,-0.29180479049682617,-0.5585410594940186,-41.48848342895508
Duluth,0.38530218601226807,0.10112947225570679,0.512017011642456,-0.0026051998138427734,-0.8404710292816162,0.7264323830604553,-21.202054977416992,0.3359081745147705,-0.1511603593826294,-4.169496536254883,0.21082288026809692,-1.639655351638794,0.7479274272918701,-0.5410798788070679,-102.21565246582031
Fort_wayne,0.4802258014678955,0.15895026922225952,-3.131674289703369,0.3325672149658203,-0.08235394954681396,0.49306583404541016,0.8381249904632568,-0.0930711030960083,-2.936082124710083,-0.04561209678649902,0.029195785522460938,0.0835651159286499,-8.388564109802246,-0.4110778570175171,-0.6489429473876953
Hartford,0.688617467880249,0.36213213205337524,0.31694287061691284,0.6254227757453918,-0.08425533771514893,0.34193241596221924,-0.021349191665649414,0.8735277056694031,0.45694655179977417,-0.6435264348983765,-0.17729902267456055,-3.8896398544311523,0.29655975103378296,-0.14711511135101318,0.13930398225784302
Jackson_MS,0.13361752033233643,0.26118648052215576,0.4190407395362854,-0.07416188716888428,-0.18051767349243164,-1.9716720581054688,-0.40739500522613525,0.3176336884498596,0.7165005207061768,-0.47908055782318115,0.14468532800674438,-0.8094815015792847,0.592242956161499,-0.5484492778778076,-0.04695332050323486
Knoxvile,0.07193046808242798,0.15609562397003174,0.5439059734344482,0.14209240674972534,-0.0003491640090942383,0.4326402544975281,0.4544728994369507,0.1558271050453186,-0.04632306098937988,0.7345312833786011,0.037896811962127686,-3.5044503211975098,0.3408070206642151,-0.3312251567840576,-0.12210774421691895
Lansing_east,-0.10656464099884033,0.11432236433029175,0.23624223470687866,-0.24468600749969482,-0.03322470188140869,0.5232429504394531,-0.4935595989227295,0.048873305320739746,0.0176355242729187,0.25131678581237793,0.19309693574905396,-1.6353709697723389,0.36125534772872925,-0.6065647602081299,0.613944411277771
Modesto,0.1568431258201599,-0.2999035120010376,0.7290319204330444,-0.08050346374511719,-0.05629706382751465,0.43504035472869873,0.6706241369247437,0.30708104372024536,0.3503572344779968,0.15185058116912842,0.08835750818252563,0.7299532890319824,0.5601739883422852,-0.5329060554504395,-0.21435809135437012
Montgomery,-0.23916876316070557,-0.10767018795013428,0.176064133644104,-0.542090892791748,-0.3336130380630493,0.33520519733428955,0.2538083791732788,-0.31929850578308105,0.5478098392486572,0.11120641231536865,0.05446356534957886,-1.6691341400146484,0.8881294131278992,-0.6703826189041138,-0.6404671669006348
newyork,0.76267009973526,-0.6083739995956421,-1.3508319854736328,0.6409539580345154,0.2176201343536377,0.2352762222290039,-3.630852699279785,0.6759891510009766,0.24298334121704102,-0.2773563861846924,0.20924782752990723,0.34593433141708374,0.6317557692527771,0.7131859064102173,-17.88290786743164
Oklahoma,-0.34141600131988525,-0.10734522342681885,0.5498169660568237,-0.36204254627227783,-0.33953702449798584,0.17777270078659058,0.006339907646179199,-0.13867974281311035,0.5278900265693665,0.12393569946289062,-0.058298349380493164,-0.7968964576721191,0.6514843106269836,-0.6568690538406372,0.770422637462616
