,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,0.9505923986434937,0.7979299426078796,0.8907257318496704,0.8732864856719971,0.5130846500396729,0.9271321892738342,0.8967815637588501,0.897559404373169,0.873835027217865,0.7488237619400024,0.48130151629447937,0.7588598728179932,0.8902151584625244,0.5419777631759644,0.8190004825592041
Atlanta,0.9073339104652405,0.7720690965652466,0.8234560489654541,0.8799594044685364,0.5354770421981812,0.9387285113334656,0.9131589531898499,0.9063005447387695,0.8648651838302612,0.8114640712738037,0.471204549074173,0.7709324359893799,0.8983742594718933,0.3897494375705719,0.7990244626998901
Baton,0.7534053325653076,0.6526380181312561,0.9410368800163269,0.7269676923751831,0.1230192482471466,0.7427901029586792,0.8443843126296997,0.8269959688186646,0.8401997089385986,0.5784518718719482,0.6309220790863037,0.7759752869606018,0.8489933013916016,0.23154184222221375,0.668197751045227
Bridgeport,0.8970856070518494,0.7490909099578857,0.8898830413818359,0.9269567728042603,0.5168576836585999,0.8546407222747803,0.8890435695648193,0.9157431125640869,0.8463881015777588,0.7338707447052002,0.5503180027008057,0.8553290367126465,0.8566729426383972,0.7070612907409668,0.8177449703216553
Chicago,0.6570715308189392,0.7396316528320312,0.794810950756073,0.7062854766845703,0.8878191113471985,0.7950555086135864,0.8968119621276855,0.7386378049850464,0.8587052226066589,0.719892144203186,0.5148012638092041,0.649131178855896,0.6306549310684204,0.44265180826187134,0.653778076171875
Duluth,0.6327518224716187,0.5524458885192871,0.8763549327850342,0.4020734429359436,-0.10910935699939728,0.9339009523391724,0.8723912239074707,0.5883082151412964,0.8460226655006409,0.38481831550598145,0.46862635016441345,0.6788290739059448,0.8878268599510193,-0.16269934177398682,0.6491211652755737
Fort_wayne,0.7419536113739014,0.40695714950561523,0.7874832153320312,0.6219577789306641,0.24343028664588928,0.8248721361160278,0.9559658765792847,0.8003004789352417,0.8614376783370972,0.2878580689430237,0.4162646234035492,0.8121736645698547,0.863544762134552,-0.19417709112167358,0.6893858313560486
Hartford,0.8546326160430908,0.6162251234054565,0.8117492198944092,0.8411568403244019,0.28732240200042725,0.9216254353523254,0.7879112958908081,0.9584070444107056,0.8594503402709961,0.33866894245147705,0.32598012685775757,0.7483981251716614,0.84595787525177,0.33277881145477295,0.6680198907852173
Jackson_MS,0.43096333742141724,0.5185517072677612,0.8314889669418335,0.42779701948165894,-0.14580482244491577,0.688996434211731,0.8154112100601196,0.5797451734542847,0.9039297103881836,0.2841462194919586,0.38511326909065247,0.8216627836227417,0.828835666179657,-0.001435377518646419,0.6710821390151978
Knoxvile,0.907139778137207,0.759296178817749,0.8689451217651367,0.8909607529640198,0.48322147130966187,0.8217282891273499,0.8352618217468262,0.8874253034591675,0.7297223806381226,0.9644718766212463,0.4366789162158966,0.8119242787361145,0.8288509249687195,0.48999857902526855,0.7427937388420105
Lansing_east,0.7201051712036133,0.5142792463302612,0.7973929643630981,0.6386252641677856,0.2252197414636612,0.8647716045379639,0.8819481730461121,0.7784298062324524,0.81285560131073,0.5504770278930664,0.4708839952945709,0.7852820754051208,0.8118177652359009,0.120822012424469,0.7990349531173706
Modesto,0.7702147364616394,0.6859179735183716,0.8626197576522827,0.7894670367240906,0.4729723334312439,0.7255984544754028,0.8365801572799683,0.8456739187240601,0.8005391359329224,0.6600637435913086,0.6177740097045898,0.8931241035461426,0.8782771825790405,0.3419073522090912,0.7259714603424072
Montgomery,0.3917244076728821,0.44317758083343506,0.868791937828064,0.013787627220153809,-0.03059357963502407,0.7049827575683594,0.8643616437911987,0.5259168744087219,0.8202272653579712,0.3398679792881012,0.49405452609062195,0.8003811240196228,0.9558622241020203,-0.39905059337615967,0.8367990255355835
newyork,0.8745256066322327,0.7090213894844055,0.8458254337310791,0.8696436882019043,0.792603075504303,0.8176557421684265,0.7848581075668335,0.903467059135437,0.865838885307312,0.71866375207901,0.46657276153564453,0.7934353351593018,0.836228609085083,0.883310079574585,0.624984860420227
Oklahoma,0.47130948305130005,0.4316391944885254,0.7975776195526123,0.5777648687362671,0.2742123007774353,0.7583738565444946,0.8603536486625671,0.6737198829650879,0.7614240646362305,0.42237600684165955,0.5480883121490479,0.7889056205749512,0.8584548234939575,-0.24096187949180603,0.8997585773468018
