,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,617.3363647460938,1224.1405029296875,326.6465148925781,2027.370849609375,4129.8544921875,355.4970703125,840.8525390625,1236.1357421875,260.6682434082031,877.0895385742188,2347.773193359375,1260.5174560546875,337.46197509765625,14456.10546875,1272.7174072265625
Atlanta,746.308349609375,861.0533447265625,406.3077087402344,1365.6402587890625,4454.6611328125,506.958251953125,1255.6317138671875,1212.3314208984375,369.47442626953125,784.7311401367188,2420.80810546875,1058.23486328125,301.307373046875,13253.84375,659.2012329101562
Baton,1381.59033203125,1524.880126953125,239.04737854003906,2650.222900390625,4871.76416015625,974.8130493164062,514.844970703125,1612.582275390625,437.07916259765625,1149.815673828125,2434.735595703125,1961.103759765625,494.61279296875,16250.689453125,832.6047973632812
Bridgeport,694.36572265625,1656.5369873046875,528.68408203125,1127.8349609375,4573.2275390625,665.7492065429688,1810.7640380859375,809.09326171875,456.3931579589844,2188.744140625,2228.407958984375,1122.759521484375,381.2747802734375,11995.65625,6449.23681640625
Chicago,1722.0921630859375,1111.09765625,435.4933776855469,3122.826171875,2387.73193359375,558.5202026367188,540.0465698242188,2057.754638671875,296.26898193359375,1069.22802734375,2334.943603515625,1533.69140625,574.6986694335938,16417.873046875,5622.89404296875
Duluth,1228.3763427734375,1261.3717041015625,430.14569091796875,2584.21923828125,6383.99658203125,479.9732971191406,3574.41796875,1395.8082275390625,503.37158203125,2829.350341796875,2363.935791015625,1979.6187744140625,253.86599731445312,16325.6455078125,8763.892578125
Fort_wayne,1129.5565185546875,1220.1278076171875,1251.6309814453125,2108.473388671875,4895.67724609375,653.3719482421875,305.2099304199219,1790.7537841796875,930.79248046875,1272.470947265625,2621.888671875,1166.43017578125,1549.3206787109375,15621.8798828125,1107.7125244140625
Hartford,874.2742919921875,1062.57568359375,508.9109191894531,1579.55615234375,4899.9755859375,744.42333984375,766.647705078125,609.129150390625,345.7339782714844,1595.3314208984375,2887.299560546875,2694.302734375,424.0873718261719,14085.1435546875,800.2932739257812
Jackson_MS,1458.3287353515625,1143.56787109375,469.3384094238281,2674.848876953125,5112.86572265625,1581.92236328125,899.9465942382812,1414.8828125,249.8025665283203,1513.4166259765625,2460.998779296875,1639.0228271484375,322.8810119628906,16364.6328125,882.6488037109375
Knoxvile,1509.3531494140625,1222.19677734375,415.8536071777344,2390.477294921875,4706.56396484375,691.21630859375,560.295166015625,1573.7196044921875,479.9031982421875,641.1642456054688,2610.11279296875,2586.001953125,410.5329284667969,15173.421875,913.77978515625
Lansing_east,1648.1207275390625,1252.080810546875,538.1348266601562,2879.348876953125,4783.27734375,633.62646484375,927.0859375,1670.43994140625,465.0044250488281,1076.741943359375,2390.3369140625,1978.0115966796875,404.1153869628906,16668.8984375,535.980712890625
Modesto,1438.6488037109375,1516.8759765625,320.5326843261719,2682.73291015625,4836.388671875,689.7527465820312,435.3661193847656,1425.78125,378.1447448730469,1146.037353515625,2540.742919921875,633.1802368164062,335.33758544921875,16282.29296875,950.5996704101562
Montgomery,1744.0777587890625,1400.231201171875,558.9332885742188,3204.93603515625,5434.29296875,748.2186889648438,655.2905883789062,1967.3570556640625,315.4869079589844,1173.1756591796875,2587.54296875,1990.6419677734375,169.12185668945312,16996.744140625,1104.8619384765625
newyork,763.267578125,1687.283447265625,944.1131591796875,1546.4627685546875,4162.33447265625,802.4851684570312,1632.4473876953125,974.970458984375,408.200439453125,1406.431640625,2366.293701171875,985.4137573242188,306.8384094238281,7043.005859375,3748.51025390625
Oklahoma,1814.6060791015625,1400.0257568359375,413.15008544921875,3012.032958984375,5446.349609375,832.10986328125,756.1842651367188,1827.7318115234375,322.36090087890625,1164.7442626953125,2737.48974609375,1633.313232421875,298.5058898925781,16927.853515625,413.3222351074219
