cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,dist_water_m,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US09003430602,-0.0489699764739572,-0.1830585574623581,0.0617952961885155,0.0034383170321712,0.0069459784526366,-0.2237786507685789,-0.0336181548390422,-0.0543922252970181,0.0336404356060325,-0.1806655266716575,0.1356800972035703,-0.0747406069191426,-0.177719984197189,-0.1494953888481069,-0.1991256077453749,0.1087329985414358,-0.1181927301840311,0.1612423519355739,-0.0937606052307771,-0.0175662166883746,0.0395813728472445,0.0198037973517907,-0.1620549038425663,0.0217890979351732,-0.0265405229451811,0.1235584082605495,-0.0758933894332136,-0.1047765792241424,0.1268465352298566,0.0618993464697341,-0.0224361338416638,0.035866821240073,-0.0914493823229747,-0.0126973656755024,0.0648502908336708,0.0277738425195138,-0.0791804223696324,-0.138190577153638,-0.022556707782362,-0.0715771830968116,-0.1288666551947458,-0.0451794399825407,0.0752981808247723,0.0935073578734649,0.2000859532672802,0.1407855630295161,0.1055372334914155,-0.0613638345625754,0.2808339121603335,-0.1959773685272088,-0.1009765114889867,0.0443268440700297,-0.1502156572857005,0.0662970705798454,0.1574824557596791,-0.0191917280538081,0.2022407560113979,0.0921168163260166,0.0057368129548152,0.0594898015284732,0.0324842546504546,-0.0656056185163928,-0.1033792114582228,-0.0310713697854184,2020.4690287133017,3305,3.422664,965.6221002119986,6.873807623014702
1400000US09003510300,-0.0202795351691051,-0.2241637556816878,0.0972410190473278,-0.0799510012908828,0.0066630878384625,-0.2204633266288545,-0.0707342421135425,-0.1625269927625316,-0.0261505586452421,-0.1890902155943186,0.1307104530848771,-0.01005691490967,-0.1404909361155774,-0.1609654574640276,-0.1939507474254556,0.0697523219026249,-0.0609652647989079,0.200519103751711,-0.0324237821900526,-0.0068848083312956,0.0274832498813913,0.0396520298320163,-0.116450621302511,0.0165101147553846,-0.1178779031576636,0.1296190064468563,-0.0263191006813947,-0.0806382777411509,0.140966005438367,0.0420979091804007,0.0206336610419766,-0.025464813431091,-0.0298285787027243,-0.0548980502472991,0.021769884315644,0.0069626976159215,-0.1042231006053644,-0.0635938377279535,-0.005893081544244,-0.0093573883672525,-0.1519968028430977,-0.0531713141082165,0.0266817109273796,0.054240073539304,0.2137086818945142,0.1369372044515127,0.04331425646244,0.0199129952664451,0.2971846823526439,-0.1693711217778372,-0.0517399711632973,0.0714364031127026,-0.1929056039479635,0.0420994270128126,0.1671572662182636,-0.0901555119913774,0.1481115543712105,0.0500271458288226,0.0687212310937865,-0.0036243304085722,0.0289930973944986,-0.0625482884741301,-0.1167168623682697,-0.0362686260429089,969.530602339811,4087,2.388034,1711.4496694770676,7.445680179618099
1400000US09003500200,0.0226282215386447,-0.2705886373365234,0.1181819538929636,-0.0920512127344564,0.0006755180896194892,-0.2036584850078788,-0.0792723862264228,-0.1867037921854414,-0.0163340344396036,-0.1949959839031158,0.1282161798004728,0.0037511210556253,-0.135970793748437,-0.171941714839656,-0.155479213605094,0.0413384779346332,-7.906992843266094e-05,0.202226693552442,-0.0010475078972291,0.0059807841591446,0.0355322370269651,0.0765111173573704,-0.118680844368659,0.0454007428577579,-0.1193172909773608,0.1772390207849885,-0.0047217595685252,-0.0794484424181648,0.1427322371259723,0.0397032268431673,0.0194775249302834,-0.07081826771934,-0.0679488498921965,-0.0745836401611319,0.0712211437500583,-0.0458212138473046,-0.1448111816773373,-0.0394982823107191,-0.003432957476842,-0.0227281767659109,-0.2199464230517423,-0.0683914556283994,0.0225239886345227,0.0411449371635413,0.196673221470012,0.1294076891726737,0.0020196725204125,0.0310435476218177,0.2718816263885139,-0.1264664834695963,-0.0412404352609542,0.0286211972195821,-0.2163160472468107,0.040845495454991,0.1929208900161244,-0.1159241347201188,0.156309248369319,0.0439455694181935,0.0290652140356391,8.549892299919579e-05,0.0545071989347556,-0.014795023709564,-0.1414444343438829,-0.0233302348939488,677.6732421450187,2356,0.389395,6050.411535844066,8.708046835521706
1400000US09003501200,-0.0375432683223912,-0.272317549918439,0.0014244561135335,0.0093598570367962,0.0452131332018337,-0.2109248235980469,-0.0494635214726708,-0.0985548957148508,-0.0328585756700383,-0.1763464692404027,0.1427736298787116,-0.0834627541010914,-0.1593199964485298,-0.1822958443608228,-0.2087381715829528,0.0689079983765703,-0.0852667891358776,0.1701664817658983,-0.0510689631470552,0.0485968662759402,-0.0174968493532985,-0.025625256640202,-0.1495828722641999,-0.0155610739165087,-0.0399189346921708,0.1763606816145717,-0.0065168128310956,-0.0885267590723933,0.1035667814817292,0.0316011422020001,-0.0524970750295399,-0.0179191441136363,-0.1120996188739207,0.0077712595221227,0.0641957091821083,0.0323476426319252,-0.074510825159049,-0.1334797922506551,-0.0116940987469172,0.0234126846817378,-0.093357801819247,-0.0444524496876265,0.0981342715171565,0.0965609680740061,0.1868930799540546,0.105231995605554,0.0559948867523438,-0.0347914451986053,0.2492090882509131,-0.2139501674020121,-0.085026853394678,0.0427614754779122,-0.1332511549355252,0.0758107731724036,0.1781326137688406,-0.0629973101770629,0.1899328244384683,0.110019739684122,0.0239304518622536,0.0125709835361691,0.0511870908259861,-0.0448606322382867,-0.1024140464024204,-0.0089095138190762,1145.049214467036,2671,0.731974,3649.036714418818,8.20249250527083
1400000US09003492400,-0.0465710745274561,-0.1686621207050337,0.0586820125097674,-0.0098536814172273,0.0002161128505280624,-0.1993370011263939,-0.0259627619983104,-0.0693366029900498,0.0260034239865882,-0.190831820813365,0.1475415269521768,-0.0789120328475059,-0.1560809699100964,-0.1400740949462975,-0.1787251250833351,0.1177237951201877,-0.1128952922196088,0.1373414176296706,-0.0718157683077726,0.0010840625050928,0.0229513598806197,0.0209080908145624,-0.1453614010275759,0.0299140440437055,-0.0355687190593964,0.1344826880961578,-0.0712159242503863,-0.1384489238082329,0.1441636034558136,0.0783161580889539,-0.0215246990538105,0.0035379382164221,-0.0890981074148729,-0.0243262989405808,0.0478739913250415,0.0418687923082945,-0.071593187503204,-0.1311560629087422,-0.0371297278087118,-0.0895948205979057,-0.1424364926505062,-0.0319520768821095,0.0806106809171028,0.0899525184736645,0.1785977903698421,0.1396300042961926,0.0998326331996404,-0.0499827208681424,0.2782579691784485,-0.1884794327295934,-0.1092098257052689,0.0170238703888393,-0.1564040750538357,0.0710210807876904,0.1647981293054045,-0.0135419255986665,0.1782607567062472,0.0741068885089741,0.0268347762123916,0.0508828953915777,0.0134615939109346,-0.0724699638304559,-0.0810007543456176,-0.0371255633594447,1061.8593824258278,2866,3.008123,952.7535941848123,6.860405351068433
1400000US09003524502,-0.0237604776375568,-0.1902334555518364,0.0137103913994413,0.0267602912586715,0.0073120549246389,-0.2185831416070812,-0.015144786818903,-0.0260048507849226,0.016556704196374,-0.1660386148154859,0.1562380595197807,-0.0811417715421562,-0.1819424915762864,-0.1493418723301647,-0.1739575303642989,0.0952198601936663,-0.0973411325343513,0.1312569021623063,-0.0647231949524506,0.0349905027691593,0.0323275399957588,0.0020590243568405,-0.159497046944274,0.0140420332806951,0.0058400653816313,0.1447472956061294,-0.0737936793675918,-0.1105403165008846,0.1160863387862631,0.0598709082690247,-0.0227740717379724,0.0322297802360963,-0.1026065617231745,0.0175153857433724,0.0681770027409438,0.0211847871470233,-0.0872263423658058,-0.1573962684718782,-0.0108552676223555,-0.0663957093365317,-0.1532541134299324,-0.0250165965552696,0.1052947500675832,0.0920691906098821,0.160254783982723,0.1216101428218005,0.1007798504147331,-0.0630921412537005,0.2521089351342077,-0.1802396440938874,-0.1124461345661346,-0.0049235071290564,-0.1488992328382667,0.0837176062123482,0.171892803756126,-0.0109783542871877,0.1872807877123889,0.1216215261694357,0.0049891455238145,0.0490005894895289,0.0280039375390074,-0.0722620139877458,-0.091523638014364,-0.0132704587748135,702.8672195314595,1945,1.705657,1140.3230544007383,7.039943442478848
1400000US09003510800,-0.0457608500623157,-0.1973662526061199,0.0171910234600288,-0.0634637601228134,-0.0081772072187297,-0.2058736059522849,-0.0435392500472189,-0.0508749085577473,-0.0158324216610257,-0.1256477159376793,0.1611861146251944,-0.0887615899444381,-0.089323456914948,-0.1542531193250055,-0.17883710793676,0.0484789231649393,-0.0923904353285874,0.0971466272492651,-0.0954017148395094,0.0027781236653163,0.0044332983187278,0.02751799398752,-0.1282075513850663,0.0472740673344244,-0.0701685868478099,0.0976563039923494,-0.0366037575751161,-0.1000649960316481,0.1247585798699934,0.0416248396450039,-0.0352217605920824,0.0143198846851048,-0.036604890419677,-0.0327683728580106,0.0057321782704596,0.0202226391451111,-0.0438187952091062,-0.0872460564886866,0.0067988819799458,-0.0368755090686503,-0.1384056208776319,-0.0505307575446444,0.1003677118020692,0.0625649858979445,0.1553062766131346,0.1580147098759753,0.0646237724617424,-0.0224729851076878,0.2364620447168758,-0.1858299844825096,-0.087406100950753,0.0786168088802119,-0.1326533362760559,0.0533699903999673,0.127080414618093,-0.0059957323163061,0.1387982273455149,0.0771893767146149,0.0526849750028449,0.002554172789304,-0.0016146487461684,-0.1059489646970351,-0.077744761159563,0.0317730023350453,306.1940954480403,3204,2.76082,1160.5247716258214,7.057488879254518
1400000US09003500900,0.0004469305272962816,-0.2972353083988267,0.0424559013193553,-0.0531110885068975,0.0362808240641202,-0.1988542227383503,-0.0823082324448761,-0.1711838449203344,-0.0698480812123706,-0.1576628170039178,0.1059913757586714,-0.0411292667170527,-0.1621424975955946,-0.1883191079313465,-0.2015971500160844,0.0014630336128434,-0.0272955574290295,0.1868517840639252,-0.0429924762505723,0.0529680092550548,-0.0113417193196507,-0.0118470393579657,-0.1560276102206929,0.0008606034455973223,-0.1073959168810713,0.1994528915006502,0.01070761639251,-0.0845298881784501,0.1079494869940661,0.0340975668013366,-0.0180694321177278,-0.0742831812035765,-0.0687745034258063,-0.0525548468781464,0.0699606412651059,0.0115671748519136,-0.0809068092476655,-0.089174472223448,0.0046433425196677,0.0568783865811029,-0.1625990504311225,-0.0439520217115017,0.0378392559323107,0.0698633549592013,0.2067092642270922,0.1115252045257793,0.0222038151900494,-0.0025369473927998,0.2423873853772227,-0.1731070958143402,-0.0474863165485957,0.0558054682453132,-0.1723986266920806,0.0682974941241303,0.1964290322083471,-0.1046343970364492,0.1734516548423189,0.0946728875774151,0.0189130533425066,0.000853781235755589,0.0456795445206403,-0.0444270874358874,-0.1661833948977232,0.0093755416577376,756.6506864718932,1967,0.50399,3902.855215381257,8.269719860621208
1400000US09003497400,-0.0372278538547789,-0.169080908721418,0.0537672578375439,0.0116942463879771,-0.0113708689846059,-0.2204035432383597,-0.0153214475050733,-0.0394663852739472,0.0329385940004446,-0.1936404256606118,0.1560699514848236,-0.0740225598898304,-0.168932737379781,-0.1320941973161816,-0.1664884324119839,0.1273768819099121,-0.1104279993881045,0.1414396272283802,-0.0460969961902512,-0.0019893607889841,0.0475616670573617,0.0271387602760418,-0.1464903806000252,0.0165518969834554,-0.0219010144617389,0.1174269452909474,-0.0813620458758163,-0.1219760347277392,0.130943970714651,0.0627701050622262,-0.0105643309109053,0.0196851954584601,-0.1100943117842606,0.0069694852480107,0.0460489854902452,0.0376929061864719,-0.0837878585503592,-0.132518142728253,-0.0297038491465509,-0.0961849488155295,-0.1534382726434025,-0.0334986028060954,0.0849849391488144,0.0956397509283201,0.1646756735331806,0.1306717670444909,0.0977209174265746,-0.0592084052321773,0.2766024492399095,-0.1880522032101754,-0.112806001382447,-0.0024694534041943,-0.1683101377021362,0.07196964099492,0.1691030416213427,-0.0050675056647984,0.184069441127592,0.1081732137174438,0.0129619783507515,0.0438870122602478,0.0151479414102544,-0.0776027826689363,-0.0881820644727397,-0.0321899335843523,1051.8434172611237,4186,4.056597,1031.8993974506218,6.940125075655483
1400000US09003416300,-0.0093465526008173,-0.2444550963989203,0.0927191132687068,-0.0418878984958384,0.0072642883284089,-0.1758057112127137,-0.0280259037743255,-0.1350192724220044,0.0120437356253577,-0.2221337520745663,0.1119538515140886,-0.0522087704127002,-0.1677824263062496,-0.1581143992573925,-0.1476343255523872,0.1029175060832758,-0.0431561234152421,0.1808683890721695,-0.011683963237066,0.0150940046022448,0.0249883985199699,0.0343033881246269,-0.1337145488202442,0.0338245143672315,-0.0867839117139177,0.1463807849080823,-0.0154351441236672,-0.1500165330227277,0.1544467690145964,0.0492882140699702,-0.0087894178444033,-0.0260613744011002,-0.1156641721116204,-0.0450183415413102,0.0305261810397605,0.0335204536212953,-0.0822009909270791,-0.0926814015325437,-0.0512275929214618,-0.0050500720194864,-0.1352517194285825,-0.0281350565764362,0.0334897848388773,0.0665813223261339,0.1956380550274873,0.1218600502695708,0.0297581044093634,-0.0014148066605738,0.2394520506223309,-0.1642862412768915,-0.0901917329437658,0.0168516321337786,-0.2083000380169853,0.0590841646832696,0.1791145190677486,-0.0843525859521431,0.1607552491807264,0.0713388681347088,0.0168319167131375,0.0543062489298774,0.0295955592280989,-0.0432765460546027,-0.1184980448366758,-0.0306432015799546,960.0897388483656,3764,1.830592,2056.165437191903,7.629084312861269
