cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,herbaceous_wetlands_pct,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US28049000400,-0.0090351969378116,-0.1717844816205937,-0.0235404938745919,0.1838489010425776,-0.0155790720561432,-0.0734581508368139,-0.0211685038923352,-0.049180819960681,0.0251207738053184,-0.1033892084940282,0.0734840096932234,-0.0529542700258816,-0.3101331011804855,-0.0673996262610511,-0.0745003299493214,0.0891194415665402,-0.0988750012296448,0.0331268086349579,-0.055219244932589,0.0349429558014205,-0.0153934755179866,0.1246010663737093,-0.1275429704826244,-0.029806621873113,-0.0629196163940961,0.2526869565798491,-0.079935670376705,-0.0431205742875725,0.0235287361091508,0.1054297549352555,0.0281696018733321,-0.0318427251369515,-0.1640089476341789,0.0054093660346778,-0.0950438491239121,-0.1286447025819127,-0.140344547701362,-0.1376165191960276,0.0068721495671131,-0.0583432136464189,-0.1455182119515293,0.030155250605783,0.2033929769019344,0.0396319950157855,0.1314257976580426,0.1638226688138188,-0.0079055458821935,-0.0121041839946654,0.2446706804046179,-0.1493250666134333,-0.1750620902628187,-0.0416271067331454,-0.1551466137823531,0.1959027690840959,0.1772258395009791,-0.0672599240113737,-0.006970539522889,0.1216524487585815,0.0995137844664363,-0.0826344427599499,0.0663719497572116,-0.1419799668870699,-0.0204139466767418,-0.0207982443852903,0.0,3673,2.562042,1433.6220873818618,7.268656739769173
1400000US28049000600,-0.0780586358504142,-0.1610304709642583,0.045349665518519,0.1405282986139983,-0.0217233150730829,0.0143679214529561,-0.0088991188502389,-0.0861305658146321,-0.0047372112487171,-0.0984635144947219,0.0533276939282236,-0.0907555029430612,-0.2669949840105943,-0.0634579489147863,-0.0844781024539863,0.0687481567971264,-0.0602776006674591,0.0400872602796785,-0.0787548174688824,0.0731735246481376,-0.0634065346666517,0.1165842773930602,-0.1227913695446868,-0.0311248994170366,-0.0764917670602172,0.3210110999137183,-0.0915908985549623,-0.1382722010971271,0.0423165301149116,0.1381106919041922,-0.0265452752256247,-0.0956874435057323,-0.1358324244210917,-0.0413601205577632,-0.1608547614709841,-0.1371175038148058,-0.112213880307227,-0.1613989812800291,-0.0130406511918354,-0.0103711320512169,-0.0934820423222059,0.0511529961265259,0.1848682917701247,0.045359546614235,0.1111790117193622,0.1463846137864241,-0.0196973404981659,-0.0198919147279894,0.235940425517896,-0.0997983832188329,-0.1569224628575825,-0.016898796909304,-0.1556703266840129,0.2041018453575122,0.1698892138720038,-0.0521544258367769,-0.0428766500182032,0.1146397312055662,0.0879889682110371,-0.0912263600023065,0.0427650718753081,-0.1010988313826419,-0.093351528305823,-0.0369656016737561,0.0,3208,2.906702,1103.656308765054,7.007289532779316
1400000US28049000700,-0.0773302836410457,-0.0528148871572976,-0.0062536376166536,0.1585261533643952,-0.030051056347743,-0.0640942250192264,0.002561199104846,-0.030332998149315,0.0320098516308078,-0.0739577792288957,0.0220245274260847,-0.0506911418571596,-0.2733525372525687,-0.0551790925822682,-0.0988339677269291,0.0541792383950016,-0.092188057948681,-0.0005526294923722515,-0.1229563645978303,0.028590513150761,-0.0711378585367154,0.1143445953029768,-0.1365740535149844,-0.0105417798694608,-0.038370352913655,0.2361733241418408,-0.1506396027191932,-0.1328590743979704,0.0322806062490503,0.1732868008362751,-0.0247507676539238,-0.0287896364042327,-0.0646447039762158,-0.0617013908728256,-0.1538084867026215,-0.1132229346876766,-0.1211990392893922,-0.1679054303737938,0.0041797499945815,-0.0907236643538922,-0.0883304247343962,0.0738953853521944,0.1971792163508806,0.0346786584910339,0.1142304420721673,0.1350176813971212,-0.003488174215285,-0.0514609091983118,0.2497960381656302,-0.1116564511255698,-0.1872271663629255,-0.007158845192015,-0.0973717971650288,0.1844479201580083,0.1278609406682676,0.0093196792173747,-0.0289992569082411,0.0906983881797438,0.0726261717461895,-0.0850604477020205,-0.0088809158591854,-0.156441143465393,-0.0547209520242434,-0.0019735130479677,0.0,5584,11.243155,496.65774420080487,6.209912580111845
1400000US28049001100,-0.0473359826000439,-0.184370191488359,0.0511859939836193,0.0829642694201222,-0.0292910719241992,-0.0111518632340783,0.0073259167400469,-0.1539230429217327,-0.0632935451122224,-0.0764399611382767,0.0760497148032718,-0.0799486691287734,-0.2499773674674496,-0.1126015103250947,-0.1057942137224297,-0.0115111982927112,-0.0485166533633865,0.0501608011816414,-0.1014772277338298,0.0585459581965819,-0.0484426984074319,0.1303493866894507,-0.179025341745281,-0.0809013228779898,-0.1152864118553076,0.3053145786067983,-0.0333566082908265,-0.0853978042757434,0.0188961496180801,0.1161394902023925,0.0315637013548053,-0.0982095833302412,-0.1053893190197052,-0.0325753341034735,-0.1192020061560277,-0.1496836964208656,-0.0781851245958132,-0.136179840152815,0.0202481400961346,0.0188616405266173,-0.0737922654089341,0.0363757592734062,0.1613620753775809,0.029180775442873,0.1335386527461856,0.1379539562644124,-0.0210740755088504,-0.0222106195839856,0.2361511925682121,-0.078292545174446,-0.1201484240622845,0.0127139941925094,-0.1866532623203973,0.17067929982712,0.1548341533481486,-0.0743563678212984,-0.0318317848060607,0.0712433776879126,0.0989355409639163,-0.097473047971999,0.0559945129124805,-0.0940632437210392,-0.1547685610304506,-0.0049541224056244,0.0,1733,2.673662,648.1746757817555,6.475701826533558
1400000US28049003200,-0.0529970365514141,-0.1971339804788125,0.0580363052131721,0.1145276982861249,-0.0296564223793185,-0.0541083039803853,-0.0121008535922252,-0.1465682770219338,-0.0680504023062153,-0.0896840751530231,0.0743986048088934,-0.0723851914700912,-0.2514394160557349,-0.116395273307103,-0.1173145007349516,-0.0072881580372922,-0.0602994662589751,0.0642585473111163,-0.1034957494390115,0.0364572723448596,-0.0498115750001229,0.130714400682898,-0.1698779966737269,-0.0600093097426101,-0.1070911414311224,0.2857657494404811,-0.0268755180259188,-0.0836964663840799,0.0227440451004067,0.1277085009506782,0.0265119389651798,-0.1032159640216208,-0.0900127788024194,-0.0345221304032335,-0.1368610648470596,-0.1441813851596883,-0.0835914175026628,-0.1277179110970884,0.0071936671061245,-0.009825946049003,-0.0918448329258289,0.0243680668759894,0.1478488413942978,0.0300620478869656,0.1418201169120324,0.1402765838912066,-0.0149401538516276,-0.0177542554666754,0.2516778309405876,-0.0823611820987957,-0.1281545135254334,0.0181501479306771,-0.1792083922452197,0.1691386744604441,0.1578283771882657,-0.0697964314586095,-0.0181428522872281,0.0587800565051393,0.1011539662356846,-0.0935516988522867,0.0457590982209114,-0.1078235617614194,-0.1178407177308348,0.0022240331248867,0.0,1066,1.85362,575.0909032056193,6.3562654663092415
1400000US28049003300,-0.0342758904060879,-0.1554337981786732,-0.0160681838196919,0.2054569152489402,-0.0048676371627085,-0.0558368695693685,-0.0313523600488054,-0.0454455235652929,0.046689576831562,-0.1027025178060052,0.0379614014247212,-0.0398821673485655,-0.3103840651435141,-0.0450968361603213,-0.0773268016086696,0.0605666093623193,-0.0814921300746794,0.0486494539704828,-0.0504926064595011,0.0169116794531074,-0.0276737290528268,0.094850305161294,-0.1062952525662218,-0.0160039346507138,-0.0579784500101183,0.2657154503168489,-0.1116519264676409,-0.0814440763783588,0.025635256670926,0.1401451317697765,0.0180896827398994,-0.0145118560734872,-0.1189361257499678,-0.0083604961108821,-0.1477458649457894,-0.0994262836282146,-0.1450206665406877,-0.1472875506800892,0.0198318824143456,-0.0241473419724976,-0.1255623944761722,0.0331726146533253,0.1896674042156867,0.0376007696432895,0.121269325168949,0.1374169165044203,-0.0181959527628175,-0.0157374909211128,0.2354102712127826,-0.1563201278333686,-0.1508295270937006,-0.0112242624933608,-0.1341838001952962,0.2047768896064007,0.1657125071625895,-0.0739087705468524,-0.0179403422218678,0.1294824015634155,0.0884601613045041,-0.1055984206009735,0.0475692602825481,-0.1401864859102112,-0.0150110702679946,-0.011511139193205,0.0,5531,4.952892,1116.7213014133963,7.019047339466555
1400000US28049010804,-0.084458199541741,-0.1150244189778312,0.0073218392125892,0.1417952486303149,-0.0471330128251737,-0.0476821621500474,-0.0221013520698412,-0.0670163103562871,-0.0023892808947261,-0.0707931876172166,0.0023630012643866,-0.0523273802985616,-0.2557550354347454,-0.0684178467238541,-0.1085601495393048,0.0158813828081339,-0.0743257239592574,0.0090818250662081,-0.1014066263914971,0.0327664337213517,-0.0970595203819992,0.09956383164475,-0.1362156901940466,-0.0262178759484933,-0.0835518737422053,0.267850019915198,-0.0942885261396432,-0.115161583214137,0.025031662201414,0.171597079072836,-0.0138357139360033,-0.0586142990282177,-0.0674798577516552,-0.0700380197761637,-0.1610162417257401,-0.0940949090238214,-0.0690977958971557,-0.1577024951587366,0.0104403010162574,-0.030229818046309,-0.0761472091468501,0.085282100206289,0.1938944087584755,0.0307086365998215,0.1324772110859856,0.1202287617096028,-0.0245286178693222,-0.0349048428445761,0.2453173352628174,-0.114508372762203,-0.1659099107485124,0.001633603054852,-0.1120092925701978,0.1651057889559939,0.1444466416092719,-0.016900888042859,-0.0467161095012983,0.0763306868921259,0.0751977611728033,-0.0818508966832279,0.0057968217329275,-0.1386175715230608,-0.0788342332285885,0.0132481972935937,0.0,1393,2.773528,502.248399871932,6.2210838849260375
1400000US28049010805,-0.0699095148871383,-0.1484796740290586,0.0169695199724125,0.1699127643971787,-0.0270113457856917,-0.0393782394794183,-0.0007867990065687334,-0.0613011519614272,0.0325394226691997,-0.1130495260265901,0.0342445299511846,-0.0810578842712834,-0.2746871244762192,-0.0707858416012764,-0.0868213931650113,0.0799636653979628,-0.0744952181429567,0.0410244942439132,-0.070891868454369,0.0468767100322908,-0.054419501318577,0.1318563754017467,-0.1069865980370857,-0.0156430494473937,-0.060693716768762,0.2838781572412052,-0.0898058265892867,-0.103873531381465,0.028605761986802,0.1325998824992963,-0.015333540070251,-0.0606967609588244,-0.1304903756236073,-0.0357668110627606,-0.1179532717843296,-0.1293594284151692,-0.1182203643827101,-0.1676049923914143,-0.002990151764656,-0.0476717681221333,-0.1040291899767955,0.045239492921705,0.2076556005456009,0.0340697533164019,0.1134108913243731,0.14434464752485,-0.0188805149755175,-0.0341174719022477,0.2239516893964926,-0.1269143641021671,-0.1632872453556735,-0.0107404096596645,-0.1466475873135941,0.1717873190445394,0.1660520916983047,-0.0247576860570008,-0.0235727034619304,0.1091426728212898,0.0858986646534847,-0.0886263414468075,0.0453678517593902,-0.1057551334980923,-0.0634146240589726,-0.020489719195846,0.0,3924,3.942263,995.3673816282678,6.904116046630052
1400000US28049011002,-0.0468113082752352,-0.0804296864549347,-0.0269342159810291,0.1791613810741145,-0.0203459991910377,-0.0520910925461523,-0.0192412837666419,-0.0174996527656888,0.0370607860242563,-0.0738138464708074,0.0299992532822637,-0.0241262300730599,-0.2856998009895675,-0.0275877349163726,-0.0765516880007666,0.0655139988261665,-0.0928147791102477,0.0015074643776667,-0.0618090101414622,0.0126910301269774,-0.0563483644284789,0.0952390224622204,-0.1197044198305656,-0.0057140094459703,-0.0292351235117562,0.2608935529713478,-0.1389353656414026,-0.0967776470607816,0.0260034039678697,0.157875107907777,0.0024074961782581,-0.0117472985566888,-0.099052925376169,-0.0426270493471492,-0.1545016016144065,-0.0952996713791425,-0.1287721088599149,-0.1628863240762544,0.0214596436357892,-0.06187298721181,-0.1203636699375129,0.0555964045862632,0.2063530282790334,0.0410385231060929,0.1134518931025135,0.1332506256556936,-0.0023230892291999,-0.033799710353417,0.2561416032079963,-0.1462913147795552,-0.1795718464552671,-0.0477240896707833,-0.0886428476793402,0.193310092654911,0.143547624115829,-0.0239536598464114,-0.0253135087712257,0.1038023767524268,0.0747097954120002,-0.1052490091976847,0.0173360385494468,-0.1432742467936703,-0.0123448908539756,-0.0036887698478163,0.0225073148773351,3930,3.978497,987.8102207944357,6.896502423213956
1400000US28049011101,-0.0629524263407498,-0.0202401758027319,-0.0422106891056559,0.1623953189582745,-0.0337683124885394,-0.0758236682086174,0.0096361354906664,0.0310824351530731,0.038171279744577,-0.0596906362759776,-0.00038796581177507055,-0.025435270934427,-0.2657861254665161,0.0023867668186029,-0.0756348276727216,0.0520563218576763,-0.1095711729091172,-0.0332827356984648,-0.0966065244107285,0.0075885272064489,-0.0678991107408265,0.0890733467051613,-0.1151996770823782,0.0008150201465596357,-0.0087668211260452,0.2194586744104533,-0.180191421993471,-0.1220564621579619,0.0281114698527345,0.1881463599880091,-0.0115439326385401,-0.0126724116738678,-0.0643066326825679,-0.0701932318191849,-0.1900059535135068,-0.0882212488089653,-0.1363647621534528,-0.1695006362516098,0.0259501401556947,-0.0992995494465096,-0.0988881734077935,0.0929570877740831,0.2108462533276276,0.0296002985562024,0.0951293024574974,0.1258147540432142,-0.0009740981994439008,-0.0578665960428158,0.2571807917135881,-0.1259641146532436,-0.217472399550629,-0.0348923858615103,-0.053911748398178,0.1849816005294473,0.1109706462820701,0.0575030291932338,-0.0474166684515805,0.1025558989618862,0.0622992248078854,-0.0939871156338782,-0.0245311805259915,-0.1646316441660582,-0.0005400569201304069,0.0150866943716042,0.0,2936,9.100756,322.61056114459063,5.779540821068933
1400000US28049011204,-0.097498466865455,-0.0046108887850158,-0.0412605987599163,0.0921681000697279,-0.0754549033550171,-0.033663403613881,0.0461269585634832,0.0307241426720863,-0.0115977796862919,-0.0311442685266232,-0.0336095783975839,-0.037173522673752,-0.2037334716692756,0.0379099537930396,-0.0767525845190651,0.0391510250750797,-0.1013075780101942,-0.0451305807021526,-0.1096917302293917,-0.0030521080328285,-0.0967410377647422,0.0688706163194703,-0.1210621594732933,0.0079688074117094,-0.0048600742827222,0.1921556549069786,-0.1693506947578985,-0.1667391407629544,0.018447750165102,0.1715815596996051,-0.0364647835593937,-0.0565438034371632,-0.0342148784902414,-0.1189409314613272,-0.2502126298224648,-0.0820879585996308,-0.1094590874791047,-0.1691307443445955,0.0125104092944159,-0.090556222798295,-0.0559931731118295,0.09935427111862,0.1856651174970627,0.0119279089633281,0.0729682863694394,0.1048559580235424,-0.01452162724438,-0.0884146624723646,0.2177399123686677,-0.0611218583134586,-0.2183074852048846,-0.0316452348733753,-0.0260826533141408,0.1633961217679176,0.0983553497016311,0.1305305885059211,-0.0878951243259134,0.1067540235912695,0.0782940017700465,-0.1184127152873738,-0.0526072850195024,-0.1369058794454228,-0.0023910492741971,0.0266569551189348,0.8095663094043961,5624,114.566731,49.08929451779505,3.913807302977968
1400000US28049011400,-0.0439769232508721,-0.2257157685754753,0.0777690042205038,0.0969992096126038,-0.0021007977343067,-0.0127424954265225,-0.0240190457610726,-0.1624224599603208,-0.0405308209221957,-0.0958670228933062,0.067053326326432,-0.0718634087095188,-0.2669489795896006,-0.1407315684491587,-0.1007506401570325,-0.0230272917920823,-0.0408385580790816,0.0884714118009454,-0.1041153081121556,0.0437708384539446,-0.0365179440542441,0.1356463609816772,-0.1770664415730226,-0.068166474056611,-0.1208394066749154,0.3350881471851166,-0.0312303170133645,-0.0825034040374397,0.0321506135193918,0.1157563677736163,0.0281352643836796,-0.1172775496786606,-0.1280000519202281,-0.0202775218974322,-0.0843652674559974,-0.1518322756085597,-0.0981867636206463,-0.1342419303303799,0.0133714872940125,0.0151139799043542,-0.0761312935036233,0.010545262894926,0.1584458651616593,0.0421168014096741,0.1453595113167594,0.1297513823225335,-0.0268298107229625,-0.0083478069515495,0.2282919089124449,-0.082309895927885,-0.1013080515976023,0.0163471500604419,-0.2179603835236804,0.1875992816281505,0.1613350701935259,-0.1084188277127523,-0.0237216135771385,0.0786072363576205,0.0799153775966335,-0.0759070801567151,0.0584622788864517,-0.0870478105058035,-0.1695675062977181,-0.0008934384469118766,0.0,1141,1.064406,1071.959383919294,6.978175889089746
1400000US28121020216,-0.0836085475458197,-0.0538771749344226,-0.0258707158731315,0.1332399817298316,-0.0432016070186322,-0.0377731027324141,0.0118732603085817,-0.0138161319343429,0.0141243648927139,-0.0699259067408177,-0.0009942173887975846,-0.0483871114365702,-0.2496034350056214,0.0180503585593865,-0.0906160013689723,0.0366343753380586,-0.1022628983151617,-0.0228758161852557,-0.106416847386134,0.0127895454982838,-0.0444169393054991,0.0704938444956131,-0.1206127763948423,-0.0190436906199267,-0.0465215356610819,0.2225811939486835,-0.1468677521684155,-0.1293514315661713,0.0143505170043251,0.1802028936385071,-0.0014848230415354,-0.039292990147064,-0.0543470247540143,-0.0712838026361085,-0.1949929224130888,-0.0830853631213453,-0.1443428944282186,-0.1657308798587175,0.0297759597082178,-0.0725757778248371,-0.1002482890321394,0.0767069582528361,0.1945759848419388,0.0315575852999779,0.0926470702673488,0.1471157329028785,-0.0088361937157467,-0.0405140276803256,0.2166623892631549,-0.1326433931026297,-0.2077276468955469,0.0062337462194646,-0.0607934850568766,0.1677306612714166,0.1373232927959329,0.0487976876933075,-0.0608644885237699,0.1309095868459384,0.0887329783474257,-0.1051482977058352,-0.0098736565104966,-0.16804181112215,-0.0124494775119186,0.010535487495679,0.1130182948364766,4242,12.719204,333.51143672198356,5.812671069483005
1400000US28121020219,-0.0802583851695241,-0.0303335358906904,-0.0369502531553866,0.1577356114941887,-0.0381226185405216,-0.0630356132110506,0.0031538619756115,0.0123217529302251,0.0482292953165756,-0.0636216474555902,-0.0001981247561365476,-0.0342261598189152,-0.2607508587796168,0.0036121311456449,-0.0899192946844876,0.0613238338613385,-0.1070255323566105,-0.027802608614663,-0.1103825703265391,-0.0030934651736485,-0.0360540634054689,0.0816116614621093,-0.1121487537776484,0.0036503538644542,-0.0208843372933967,0.199567923919719,-0.1710237845762212,-0.1169110400260299,0.0149758659103465,0.1828303530906139,-0.0079881902887672,-0.0094026739770594,-0.0574599804895487,-0.0838654995128594,-0.1759961985999311,-0.0934212685881416,-0.1499227675112849,-0.1806192481184,0.0295317092240727,-0.082761669177139,-0.1048394439062846,0.0711068043601193,0.20188912462382,0.0224016377813515,0.0949994942551823,0.14165625311644,-0.0079435703105585,-0.054691634423989,0.2314003827492899,-0.1401824621312779,-0.2064036185173052,-0.0029929544649099,-0.0601368345047259,0.1739423302612129,0.1160231317838631,0.0489872391388774,-0.0345081835802461,0.1249837697056315,0.0685179025998701,-0.0961165019324731,-0.0172487476464462,-0.1652676938473258,-0.0051153108928551,0.0145901655682194,0.0092489826119126,4546,19.203143,236.73208078490066,5.471144328595137
1400000US28121020401,-0.0786909947434311,-0.0604847356305532,-0.0416996029637722,0.0460452876869146,-0.0859659429062184,-0.0743855215756101,0.0584462559030914,0.0031647448935306,-0.068999818432417,-0.0364456089938195,0.0198789356319477,-0.0417741681722099,-0.1842278822911897,0.00016701808877537245,-0.0965987967851133,0.0180009530109134,-0.1269558955752642,-0.0802421471055914,-0.1500967620913053,0.002730132366037,-0.0726821242383962,0.0757616721424016,-0.1362032590225846,-0.0195610514474754,-0.0054069733993732,0.2139100158432656,-0.122010036879868,-0.0952659549698253,0.012264992882687,0.1505331748847949,-0.0062810376124843,-0.0889380312765948,-0.0465350335662082,-0.0922514649119127,-0.1859985826583328,-0.1417099160941411,-0.0962718325500536,-0.1608107009812502,0.0282568231872812,-0.1172014960521894,-0.1000225638113386,0.0812800247136545,0.2094803284036162,-0.0145486280844056,0.0801689379770323,0.1121240815583162,0.0043255046808869,-0.0928394940792138,0.2359352562337947,-0.0494901968582685,-0.2188239235472946,-0.0370103853260077,-0.0493177496710081,0.1418131451887198,0.0972012975064463,0.1372076072837875,-0.0670146713671795,0.0633611178367625,0.0968603123421946,-0.084120673760398,-0.0305753962236175,-0.1598649948653482,-0.0176252003714934,0.048333036472473,1.5354824011846453,4627,39.290303,117.76442650493176,4.777141921893201
1400000US28121020703,-0.0848146044516892,-0.1564784555431867,0.014098369725294,0.1793321591621336,-0.0321140316706339,-0.050330820388244,-0.026248809234562,-0.0888272387263328,-0.006559881778218,-0.1022656180985878,-0.0013765067670678,-0.0551980839980044,-0.2819693157439352,-0.0354093051816671,-0.1064501358791226,0.0046887281498022,-0.0798458780234674,0.0454698387958435,-0.0775811876836761,0.0132117532919859,-0.0419570135881144,0.0773235226644027,-0.1190027147586476,-0.034972356708138,-0.0970654008779599,0.2543220217115232,-0.0832500173149735,-0.1137770592821604,0.0208905376854986,0.159399479629542,0.0249356233068074,-0.047018466370688,-0.0592009518772345,-0.0375076422332396,-0.181982478723866,-0.08055132863517,-0.109005205059911,-0.1403683198266317,0.0151599853670014,-0.0136457986173255,-0.0829508057203003,0.0394214316242029,0.1569049042852782,0.0415874348130822,0.1284818073569127,0.1429121876943253,-0.0264966052254883,-0.0255223453842076,0.2197170091431472,-0.1453346540306541,-0.1449491204942963,0.0445346376639852,-0.1317426276376979,0.1678470616142365,0.163040726522576,-0.0637975681277535,-0.0494080766556269,0.1058690324227882,0.1107702038493094,-0.1254966308873071,0.0313358343223201,-0.1345771215748379,-0.0482644959585294,0.0030786253164922,0.0,2128,6.397576,332.6259820907169,5.8100205514167715
1400000US28121020804,-0.086175679735535,-0.040084298393239,-0.0501139559007797,0.0945483508745061,-0.0796360121284095,-0.0535165047698758,0.0425976292550696,0.0094155262212918,-0.012876959172955,-0.036893967508176,-0.0183153100401386,-0.0425103369171456,-0.2039051443843837,0.0251180417877421,-0.085908822163343,0.0222546587209565,-0.1029407293698191,-0.0522035481679734,-0.1105374825432773,-0.0003532573212845193,-0.0835884269624772,0.0606468386583365,-0.1136803067580706,0.00035812388362680406,-0.0017392312903601,0.2082320974421618,-0.1593158037086094,-0.1353645774434898,0.0220711188037297,0.1790522983552223,-0.0201610262810694,-0.06155149584304,-0.051671591904908,-0.1141971665039338,-0.2224712565597944,-0.0962142149914897,-0.1361895708278207,-0.1688961297107993,0.0375647249698309,-0.0968635807986564,-0.069733118285525,0.089085618556978,0.1911196047445302,0.0124363052959649,0.0830985758151683,0.1089106926281592,-0.0123920207658008,-0.0874292592183686,0.2345918074655161,-0.0814872624978414,-0.2131100177322137,-0.0276719486298821,-0.0345168959900896,0.1561387275092333,0.0989521394786647,0.1110350289219417,-0.0771491769811011,0.0990766152286918,0.073859577658014,-0.1038192352240912,-0.0319569556757752,-0.1358075393372602,-0.0145446621613377,0.0284471882411968,0.6059821312961284,6677,34.670961,192.58191314627825,5.265700746646991
1400000US28121020806,-0.0821343464890599,-0.0738380046595234,-0.0239709044871346,0.1379974663469209,-0.0557991778956214,-0.0218300695997513,0.0004942140855077018,-0.0196998475124582,0.0127505344172379,-0.058595687691118,-0.0168929991584211,-0.0381475458025782,-0.241959452562145,0.02058665899828,-0.0843971772569801,0.0218729860826165,-0.0902660800359655,-0.0215265919239209,-0.0707411922644247,-0.0039626069577391,-0.0763429625843769,0.0576686921972224,-0.1083081925014415,-0.0173856091269561,-0.0438086389348596,0.245388500843419,-0.1423465521279536,-0.1319797257196958,0.013338298908709,0.1816735045175999,-0.0016767369978496,-0.0531973640622124,-0.0623272345186528,-0.0851319661012276,-0.2229140335472458,-0.0719676132011844,-0.1304069576758926,-0.1638980546850313,0.0392685001427816,-0.0401273893699179,-0.0853973573391901,0.0818402199107874,0.1844674127030928,0.0267266450262635,0.0859647558870436,0.1219217645334472,-0.0223196314159187,-0.0544037625887208,0.2221312947259526,-0.1217663451092263,-0.1858567924199031,-0.007545141503336,-0.0576547326511711,0.1708558643737376,0.1325934283346621,0.0329723693506854,-0.0768250691456288,0.1167880935941148,0.0787608519739183,-0.1231798221305622,0.0019643468730742,-0.1352971476198392,-0.0226226533472717,0.0121383276688328,0.4535023494700033,5182,16.416231,315.6631994274447,5.757838746690044
