cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,grassland_pct,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US47093000100,-0.0093748832282571,-0.29794482394638,0.039424669274005,0.0163967451829626,0.0804847352888183,-0.1091029744457834,-0.0554249114864483,-0.1624903476789115,-0.14693175890466,-0.0516768116441027,0.0481848609647489,-0.0421561303160988,-0.190757182617765,-0.1633577921708092,-0.1638483858267834,-0.1030820810525937,0.0416475041717029,0.1629753948437567,-0.0988925502336541,0.0116910159680197,0.0080274644016166,-0.0256882814279179,-0.1920609274982452,-0.0452665703844294,-0.1020612485561014,0.2214837400477909,-0.0312608226458944,-0.0155770717153372,0.0057497535256931,0.0288480377177549,-0.0036523425808076,-0.1124964927821036,-0.007375163767698,-0.0539787714374265,0.0006363285068366573,-0.1476202300371431,-0.1452344682405873,-0.1127312918537304,0.0325623787428574,0.126259866259469,-0.1241059264107493,-0.0411105707765487,0.0798232257453448,-0.0162314464893571,0.1189404614270186,0.1529087214816741,-0.0475599584013006,0.0614340149151745,0.1482490522995763,-0.0876088972752036,-0.0430308802339772,0.1284679416125901,-0.2113501667734555,0.1494834813271317,0.2046019866756671,-0.0971823847648372,0.0322231713732745,0.121652024472108,0.1057697606895683,-0.0703257406962268,0.0308108803064393,-0.1588891849807615,-0.1841075944606066,0.0337862072314071,0.0,2526,1.470082,1718.2714977803957,7.449655932283698
1400000US47093000902,-0.0484051375329855,-0.280123312047763,0.0736467363684378,0.0352023671203191,0.1019937189628416,-0.0829817278591962,-0.0732730295042636,-0.1466079652262548,-0.0990635792647546,-0.0809289659442666,0.0395520533231722,-0.0499531779765929,-0.1911481246127946,-0.1449214305712872,-0.1335682398481069,-0.0625536525809015,0.0123636209840811,0.1790217538757808,-0.0720937066598573,0.0158439305830893,-0.0116005894140324,-0.0149019392119867,-0.1541097056234893,-0.0052848177269312,-0.102667451215166,0.2144677101072596,-0.0420050770521063,-0.0719007343851218,0.0267139717277367,-0.01576128857975,-0.0503726178484202,-0.0881533306087777,-0.0375140860422431,-0.0294967889980725,-0.016168723687209,-0.1441030429049207,-0.1288342843104717,-0.123082513151867,0.0051909739047748,0.1341306236586248,-0.1013521531893661,-0.0225636170640392,0.0846529005301843,0.0036684872063102,0.1171749994147526,0.1605986832837261,-0.0272275805438057,0.0527964483538857,0.1703820704187362,-0.1140609153978818,-0.031753871717131,0.1396479503001335,-0.1849162941639447,0.1551546763999339,0.2044277000106037,-0.1063259122118308,0.0443893350222483,0.1245291260554237,0.0819752560203781,-0.0745137549735811,0.0082002820445562,-0.1556846171774783,-0.1598905637995388,-0.0219018615071348,0.0,2764,1.807159,1529.4725035262531,7.333331792543751
1400000US47093001400,-0.077260274056579,-0.2272573260877296,0.0550083538236324,0.136577292199509,0.1113448106912348,-0.0262723793093494,-0.0486958377771815,-0.0857821599409909,0.0315594569125358,-0.1668902017880961,0.0184758356521969,-0.0655961646596143,-0.2743145026851303,-0.1215060361061968,-0.0695376298739088,0.0655328919216529,-0.0336299289333385,0.1723418294144644,-0.0780678017003325,0.0326594184116723,0.0165014141888338,0.006506654611228,-0.1137408588944792,0.055144900674652,-0.0174848250724548,0.2215945828184652,-0.0926414538787969,-0.1643074821459634,0.0767325487278707,0.0097679003603258,-0.097972772521248,-0.0348810486345034,-0.1291199297021226,0.0317934483669394,-0.0073266434326458,-0.1427653017820056,-0.1370257882292341,-0.179410669306987,-0.0541075299057684,0.0925357367381553,-0.0746738724543537,0.027634840383764,0.1544969669476324,0.0216623630743664,0.0879056685537797,0.1361521074117726,0.0066938455418362,-0.0001149234818544334,0.1707171796896637,-0.1432770130073359,-0.0641731797783535,0.0549037143791705,-0.1874834550638003,0.2155708045117872,0.1872342442008412,-0.0458306853883649,0.0548708747428307,0.160896293886113,0.0396523772874432,-0.010149190840251,-0.0031943249443615,-0.1324180710003185,-0.1309379251616701,-0.0736537906329936,0.0,2328,1.613068,1443.212561404727,7.2753195118083145
1400000US47093002000,-0.0951772128358159,-0.1912478242708125,0.0191571575211559,0.1695504830986375,0.1082082251773602,-0.0590654741575894,-0.0092112429610539,-0.0650748389323556,0.0740092258947811,-0.1614093877630942,0.060506887761627,-0.0809152715844893,-0.2795654516824769,-0.0949671908322968,-0.0699502055358513,0.0995428116220773,-0.0624249937683248,0.1310827980947199,-0.0902602860305695,0.0298476788661885,0.0261322947364154,0.0373478516420155,-0.1016646478903986,0.0673151099620026,0.0180018375202921,0.227653360119755,-0.1179333234789352,-0.1426374471276371,0.0814279964619614,0.0050552261738013,-0.1003938542228094,-0.0217562111446898,-0.1376876387352068,0.0233595837846297,0.0293896347379872,-0.176305342461195,-0.1700894026072377,-0.1844653992155451,-0.0378178752634715,0.0239069392314346,-0.075836353072262,0.0001575576244608278,0.1954504512015024,0.0157432947218906,0.0702857537685525,0.1437864832451304,0.0272424974948697,-0.0391003788575822,0.2071332555841249,-0.1659253039357149,-0.0984334086704331,0.0511959365351122,-0.1578479674146561,0.2236533495940221,0.1894148026434196,-0.0143572762569668,0.0743529825566055,0.1541334977921697,0.0512234413889527,-0.054014798513123,0.0072749577819612,-0.1223810176650788,-0.0960210270024002,-0.0843150202586248,0.0,2721,2.419842,1124.4535800271258,7.025941415628733
1400000US47093002100,-0.1494565506262965,-0.0789365774675003,0.0072585158739497,0.103610099101034,0.0876934780118149,-0.0614707084850728,-0.0201474904845885,0.0182534254842813,0.0742195953412623,-0.1170202926691404,0.0191278176119876,-0.0643695669847587,-0.2212250798722294,-0.0274665032485304,-0.0718464941090162,0.0797162845211095,-0.0712909323942721,0.0963135195859483,-0.1415465584057431,0.0150118887146223,0.0211637576714623,0.0115805546833068,-0.0967762872998272,0.1071830375707744,0.0155289308281938,0.0813387416272426,-0.181625317090163,-0.2164648704082531,0.0727578924665786,0.0249869463103687,-0.1373700974461021,0.0145896221695352,-0.0375953383029418,-0.0375250716340154,-0.0758328946311538,-0.1165679807607056,-0.1539980082320234,-0.2048232464742388,-0.0267445369929828,0.0044946055665102,-0.0350093480278018,0.0441325439542574,0.1694067847521557,-0.0020220579327231,0.02260609410843,0.1252293240155569,0.0486476782446394,-0.0494166088292242,0.1668178528146818,-0.1285651298179832,-0.112616622272957,0.1059784433884615,-0.1014941839847076,0.1915986289498058,0.1443334145880673,0.0840281712850949,-0.0115580837327399,0.170530242601517,0.0360290086919635,-0.0379413912057615,-0.0594239979463086,-0.1910291545989847,-0.1061318942323404,-0.0545595242029094,0.0,3104,8.522756,364.2014390650161,5.9004490891977595
1400000US47093002800,-0.0790634103392737,-0.1954823635172014,0.0484270154173309,0.1137891446084447,0.1049348097567021,-0.0870999954952553,-0.0590602893183249,-0.0935639373856312,0.0129360237270847,-0.1238776839423257,0.0584052427524009,-0.0609567094486062,-0.2587376933192387,-0.1258147730727837,-0.1046229879439095,0.0173903506066854,-0.0291622057377751,0.1430932914827838,-0.119319196662629,0.0107106199948557,0.0180655677146788,0.0119113752501616,-0.1398816788030616,0.0568160666782713,-0.0316295570293762,0.1917300857467834,-0.0927411550234109,-0.1231107055223739,0.0386521955669876,0.0094569932005961,-0.0861460189098947,-0.0322981567396351,-0.0798935737946568,0.0047232790989803,0.0090465676814933,-0.1604068462680974,-0.1454292774139377,-0.1569826962410069,-0.0239982256227061,0.0628925413961525,-0.0872846153473264,0.0129668376881921,0.1371492607471975,0.0112694883035178,0.0809173369448313,0.1503884020812554,0.0326443729966202,-0.0054814108303692,0.1944068547186195,-0.1345092933243705,-0.0663700218850596,0.0885510408721328,-0.1630958603576961,0.1991636886235522,0.1918966714529939,-0.0446381913762248,0.0498514036069948,0.1292338610239544,0.0369280065109634,-0.0496240773705081,0.0088990824300643,-0.1599396088747297,-0.1371833323053647,-0.0478938054030276,0.0,4355,4.984311,873.741626475555,6.773928558724765
1400000US47093003400,-0.1090242914262528,-0.0735619693600404,0.0131752583109688,0.1490776072229029,0.0911263959609191,-0.1132726354081915,0.0019736125237095,0.0173952354887546,0.1253395499211424,-0.1351056707489949,0.0735058189991409,-0.0624531511897091,-0.2481552869282074,-0.0468033881869543,-0.0874538884997415,0.104275241567316,-0.0844815788448003,0.0912828780885725,-0.1355568817106008,-0.0024208436801708,0.0456693533320089,0.0453219149623029,-0.0999555075978778,0.1098500835398654,0.0604664028853388,0.1201665894867948,-0.1936787062806585,-0.1567617689003345,0.0691740117713086,0.0274275941472635,-0.1076487484158091,0.0204028525450234,-0.0840730266574435,0.0042768066034083,0.0178482293429148,-0.1531233115309192,-0.188811461945537,-0.2124111951436334,-0.0255657886989252,-0.0546032971263726,-0.070236068116504,0.0291576358758673,0.1905578604339785,-7.03090172953214e-05,0.0127693897538386,0.1255652276631509,0.0849631773720811,-0.0834234127266562,0.1939287396627276,-0.1557390405811719,-0.1031757136055707,0.0604840409548761,-0.1154132164290068,0.2036677381155167,0.1629592863379931,0.0592300202324258,0.0638957865131037,0.1515142520721333,0.0225300023408345,-0.049722196373124,-0.0240630740087418,-0.1691209985930176,-0.0959316811761237,-0.0688922280146971,0.0,4182,7.61974,548.8376243808843,6.309623006239642
1400000US47093003501,-0.131522154319488,-0.0916066396009722,0.0071972646958969,0.0934787792357778,0.0725450379584541,-0.0784473602803755,-0.0279699826083978,0.0250921062734331,0.0896267574801585,-0.1225098127858524,0.0701061878234348,-0.0705370466352271,-0.2074087326553471,-0.0400760334490672,-0.068549786388682,0.084630741014876,-0.0625294096361178,0.0674598375233516,-0.1419750552212682,-0.0095580796215386,0.0220788866417631,0.024312031544622,-0.0984819854786688,0.118107744175108,-0.01043511924856,0.0720470948881434,-0.143295241932991,-0.1936205405346158,0.0538404854188934,0.0042920363140796,-0.1369201134617748,0.0259885662313376,-0.0424050723996497,-0.0183195678461634,-0.0426918767054525,-0.1251984112350796,-0.1259213854566397,-0.1792352613837755,-0.0162976556273701,0.0039070967422895,-0.0733511751276715,0.0199322398230283,0.1871366502838407,-0.0099890066869796,0.0031334714916302,0.1525975648357614,0.0270760266639707,-0.0192286948288579,0.1476824686595222,-0.1399074454564329,-0.1035884123576298,0.1071768940552657,-0.1119832231800562,0.1862898909402257,0.1524444798264245,0.0677586321137627,0.012782652893157,0.1669772854136852,0.0366474105070145,-0.0546840954179197,-0.04319643353448,-0.1926292500533478,-0.0782611773519426,-0.0117425846055465,0.0392798690671031,2963,11.646717,254.40645634301922,5.5428562226172895
1400000US47093003802,-0.0928745913271714,-0.1660851090043012,0.0511998053028866,0.1093566777935819,0.1038974940303994,-0.0994053688752326,-0.0500213078325936,-0.0962125199250294,0.0281047962453812,-0.1394313306157342,0.048704150503075,-0.0690604786917159,-0.2534762313379682,-0.0981262201602231,-0.1159584639869585,0.0196111385303603,-0.0499401268389744,0.1455252350460457,-0.1046918260817185,0.0156607362494423,0.0189037993944941,-0.003389202289057,-0.1149163877323819,0.0490500708374679,-0.039408328484123,0.1865187513233775,-0.1199927382043061,-0.1402898572950721,0.0503543482522935,0.0032761603453185,-0.0909373728143469,-0.0224604405716048,-0.0514551259279378,0.0006523821280620608,-0.008839292776345,-0.141597933005254,-0.1538326138076324,-0.171810036064876,-0.0230509193643509,0.0513895357896665,-0.0667712102961512,0.0135602456823424,0.135785243861441,0.0149252899119938,0.0699855990648045,0.1320860499883272,0.0364320001224473,-0.0075457986468827,0.1899043445061145,-0.151145892361317,-0.0601561194610304,0.1035767124153868,-0.1626128517880445,0.1894525202162389,0.1885191572749119,-0.0254967127247784,0.0409205706167445,0.1515890587737634,0.0554302788933935,-0.0593834108091155,-0.0049782491586781,-0.1720072593394035,-0.1397015459706229,-0.0609013732126929,0.0,3267,6.600528,494.9604031677466,6.206496091215066
1400000US47093004609,-0.0833660324488867,-0.1788450452953542,0.0416664584923153,0.1626829552812557,0.0813870172021631,-0.0620338457545291,-0.0139884940377481,-0.0908194565374693,0.0853832161158006,-0.1916625749242496,0.0449317879651484,-0.0627089942280958,-0.2729550739267827,-0.0726546975135007,-0.0755568105756523,0.1156984595867838,-0.0719089451596121,0.1318208041039409,-0.0365097209087618,0.0498505397795934,0.0068822027500027,0.0578012852185258,-0.0738067103860538,0.0749453931053767,-0.0237242814968341,0.2146150073714358,-0.119301679316303,-0.1749865903092233,0.0948292793408214,0.021137008978849,-0.0882382953930217,-0.0451954838675949,-0.1541450981751118,0.0158550465644025,0.0063293177453873,-0.1401740073105428,-0.1698451839902071,-0.1962871768120591,-0.059396232296919,0.0220364441377508,-0.0836372557214632,0.0272669965478878,0.1759568520777467,0.0245851240760989,0.0632585037988145,0.1358725921379001,0.0117798997978207,-0.0316718417053685,0.1903706371367106,-0.1736272922583205,-0.1040971574939163,0.0291563114408259,-0.1713453011308894,0.1990539086989764,0.1942279597702338,-0.0261168237514353,0.0463890202843418,0.1635632490201284,0.0434546469717103,-0.0561437162917016,-0.0117780704087669,-0.106817917555873,-0.1021038543614461,-0.0733593777173865,0.0,5026,3.90073,1288.4767722964677,7.1619918122056685
