cb_2020_3,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,fam_inc_10to15k,B01003_001E,tract_area_sqkm,population_density,y_log_density
1400000US40017301408,0.0049338115908255,-0.1162667339311642,0.1148834898721057,-0.0583809540387891,0.0807671860596941,-0.0369119665761809,-0.0194223381488351,-0.0072666446281214,-0.0122478487933396,-0.1222197719637653,-0.1284827156703515,-0.1542234564933566,-0.1424842092802904,-0.2510972952334258,-0.1437038058110346,0.0044825922931876,-0.17920434403187,0.0587420104342652,-0.1201714592485069,-0.0294941157638269,-0.1719007739529603,-0.0560409024412787,0.0448404027569749,0.1239850890635527,0.1414298563185959,0.0567531273753957,-0.1773700477279678,-0.1221552438005307,0.1047917587132059,0.0889795469203027,-0.0260140338633,0.0328371751066778,0.1275634979643822,-0.0640583096526928,-0.0770275256937885,-0.0406119342248363,-0.1031736393500134,-0.125782881917157,0.0397954814923304,0.0379369115469572,0.0224110859243239,-0.1322680200546921,0.0354104912878,-0.0933668449436622,0.1222331667623732,0.0665612440583389,0.1527430216610877,-0.0581916879111708,0.0391734278909528,-0.1689004832187874,0.0027248363386044,0.1089959768018483,-0.1397474570440371,0.094155331884376,-0.0697954346233374,-0.0076125443582147,-0.0317058674426344,0.0517294776719024,-0.0005632333474289725,0.2442873238902399,-0.130684126514962,-0.0398619190541767,0.0293181372775641,0.1546518109673322,3,2614,75.780525,34.494350626364756,3.569373546532189
1400000US40017300300,0.0185885834588159,-0.2618550222951182,0.1911717568529243,0.028900372570205,0.0972506005887242,-0.0059812084128149,-0.0544726479710387,-0.1020784655328095,-0.049654806398668,-0.1937131593496779,-0.060323714701552,-0.1486147640359556,-0.2055355024581206,-0.2749110882920993,-0.1737735960219464,-0.0141763125585067,-0.0676683478783831,0.1299631438099128,-0.0289922450715496,0.0263249795139549,-0.1400383736091853,0.0238484553755683,0.0082944234992855,0.0439703067867588,0.0368881985161278,0.2628860200645163,-0.0658821753739458,-0.0865283566540944,0.0631532979429601,0.0998776679610225,-0.022643917563961,-0.0525285433377742,0.0066109626265238,-0.0299130412948461,0.0646933260531333,-0.077175513932535,-0.1719921487244783,-0.1424088155524426,-0.0469495732258557,0.0364966771987531,-0.058108833359594,-0.1773688281729179,0.0300010571905636,-0.0253126415743585,0.1637329725329269,0.1473574979658574,0.0619954792220175,0.0110921826841586,0.0794753589275021,-0.1269710327292076,-0.0015768587746731,0.0933114709653594,-0.2440092017539411,0.1278444736282002,0.066482697027314,-0.1630919786755812,0.0053080645348363,0.0507338249289973,0.0148188511806179,0.1871847940040269,0.0020515341711633,-0.0105478277374526,-0.061714785512276,0.0958347313246568,42,3131,2.400404,1304.3637654328188,7.174237028372038
1400000US40017301201,0.0359453811273308,-0.2816238496922358,0.1750684935576819,0.0341790922400938,0.0893944499289649,-0.0217406503289552,-0.0765008761492768,-0.1080562363457032,-0.0562472955677076,-0.1758142050354212,-0.048313534134389,-0.1105052845711487,-0.2029413212439803,-0.3034044537743201,-0.1723625628799518,-0.0221242237334915,-0.0393483907945709,0.1239189595730931,-0.0349009656546783,-0.0195189645478087,-0.1055641478902003,0.0258915516348093,-0.0347652345359952,0.0220713231052581,0.006180901814989,0.242427410295233,-0.0530548913944368,-0.0367804375200177,0.0160954196541273,0.1223613227610247,0.007427319938124,-0.0458534011885317,0.0259895350980288,-0.046375970507853,0.0823430580286344,-0.0796845332796582,-0.1616800860919719,-0.1464321571129535,-0.0364290736994068,0.0449276468151518,-0.0787353792429762,-0.1563051777102358,0.038787831379138,-0.0120739210895672,0.1635922441561342,0.1370295060610553,0.0409337332306234,-0.0096597351057831,0.0766403368102253,-0.1523986953081607,0.0033620955403431,0.0953592931858635,-0.2752645643516344,0.1346464062497179,0.0640187006314651,-0.1430686921788271,0.0244937210758576,0.0743304436543262,0.0279669558821325,0.1932596074388991,-0.0023582201892393,-0.0070847838677787,-0.0891046341655499,0.1145587790976324,10,5004,2.583027,1937.261979839932,7.56954696383061
1400000US40027200800,-0.0051916596174443,-0.2352377166418777,0.1401128063037122,0.0082681917356102,0.0778255792023515,-0.0168381561281202,-0.0663898419590681,-0.0742803525712497,-0.0084290608348256,-0.1311983700201759,-0.0983795620248712,-0.1311511140856454,-0.1884992660321109,-0.2824693880869667,-0.1612331091318807,-0.0161101229024691,-0.0726401583413776,0.1141752219336879,-0.0803207164015947,-0.0411298340748057,-0.1531508416308326,0.0132069776593949,-0.0407091313112398,0.0918361153251361,0.0395159137774475,0.1575813322560301,-0.1303522160676532,-0.0966304040953662,0.0585863639126401,0.1452564210141434,-0.0090898026727925,-0.0431513887819685,0.0617275212073657,-0.098413466664267,0.0102700111247827,-0.0422665500871949,-0.1434539748463633,-0.1515866882900082,-6.321250613407858e-05,0.0616384482004312,-0.0538934302788792,-0.1451546726269985,0.0609942616968039,-0.0297344858574754,0.1389737768289615,0.1054515809090423,0.0452822993411422,-0.0375838864862621,0.0485910953256829,-0.1542366736896309,-0.0254407186218479,0.1150437294974207,-0.2312733863876244,0.1495097315494441,0.0189420950215515,-0.0999024368484789,-0.0084707127191229,0.0683934655558071,0.0492769295696039,0.1889047684080914,-0.0742678837251228,-0.0169385583192272,-0.0468098600538198,0.1280520959998538,12,7692,7.463636,1030.5968833421136,6.938863252814291
1400000US40027201204,0.00478283573592,-0.2752871330354486,0.1455763895433239,0.007708919095177,0.0627136238445948,-0.0112463991198547,-0.0471187458128532,-0.0912986928001555,-0.0207990763109049,-0.161195496348279,-0.083994789582735,-0.1441792082169509,-0.1830577191864852,-0.2856208365030882,-0.1737356298240186,-0.0090628177285226,-0.0920330671276036,0.1199791669649724,-0.0676712159751579,-0.0329089650888739,-0.1474042274200599,0.0030469872034423,-0.0654516191222746,0.0588477620847943,0.0323979092030755,0.1411767384421414,-0.0670684321104271,-0.1201114760934439,0.0287716729856305,0.1374016525788687,0.0021100234465521,-0.0642749487157837,0.0109566167953738,-0.0647669437654344,-0.0112255561130763,-0.0066983439793856,-0.1159255502299436,-0.1814986507299954,-0.0133492295536164,0.0689922763455525,-0.0417325269074273,-0.1323018792458159,0.0295783445401591,-0.0389328269979055,0.162673953612766,0.1023050806015929,0.0518424201346293,-0.0179591882053395,0.0253861171436079,-0.1510749699611105,-0.0202474010551658,0.1185780742694325,-0.2549080688265838,0.1417837490999009,0.0273720968178228,-0.101767447521154,-0.0083065820539319,0.0797122239410273,0.0559370446266469,0.1936159983914181,-0.0698364122703631,-0.0162685635622748,-0.047930658484296,0.1339635215477404,34,2238,3.542074,631.8332140999878,6.450206902591806
1400000US40027201514,0.0196461940224635,-0.1606247594746029,0.123619186789667,-0.0542416629107678,0.0737548975270625,-0.0167946848424805,-0.0050083960236371,-0.0377654023665937,-0.0924042768714089,-0.1336102166072385,-0.1095126339165016,-0.1748650628632751,-0.1338902120050211,-0.2386715203661436,-0.1768717890830773,-0.0251381104921484,-0.1682223099137706,0.0666754298261524,-0.0928915149858055,-0.0283562175659705,-0.1948898987140206,-0.0727537443133716,0.0206186245411176,0.1056939599564962,0.1247167939132505,0.0578229047101593,-0.1399158084931391,-0.1539833389114305,0.0927285633244962,0.0757338474944675,-0.0495290051079565,-0.0150855949183774,0.1010826521426013,-0.0861317767527477,-0.0932227173439265,-0.0025216397410296,-0.061990554181854,-0.1252970848564966,0.0126306615247491,0.0574010971819411,0.0179702641849452,-0.1338571887365644,0.0134858109187837,-0.0901791011867214,0.1369025008772861,0.0686822692949693,0.1056843219809359,-0.0207146332867942,0.0465929222138129,-0.1357214000796013,-0.0132333385159843,0.1196954654849292,-0.1446830000376865,0.0859484433043173,-0.0593331487183434,0.011659880526539,-0.0260271304834024,0.0390939579019377,0.0128269492073896,0.2435189595243693,-0.1070733605514266,-0.0268986422982949,0.033793411546372,0.1812177341579288,0,4646,31.608537,146.98560708456708,4.997115019606482
1400000US40027201604,0.0228285461272572,-0.2731119101515457,0.180802121069429,-0.0225154792084166,0.0489634012026595,0.0038234182265378,-0.0520109472777198,-0.1431389423640718,-0.087984964923667,-0.1620672626177837,-0.0804273397346611,-0.1239410807164194,-0.1831468510075154,-0.2707380703268791,-0.206715744656716,-0.0886014661398152,-0.0447663065176985,0.1262820711451316,-0.0261160815148862,-0.0492654815664725,-0.1407055511434244,0.0028170569086975,-0.0849330226216536,0.008633547618203,-0.0290496954772024,0.2013863075413829,-0.0248074526903262,-0.0845352283476535,-0.0057649605410562,0.1425634088052872,0.0456934786188548,-0.0989839889827719,0.0548166277754245,-0.1021176906150075,-0.0030717691704262,-0.0085442222447042,-0.1317890808020725,-0.1576446926135509,0.0058467005161154,0.0986099376548046,-0.0682203693417722,-0.1330133132816038,0.0015426551866482,-0.0424799036602139,0.1554623507978367,0.1045374965828883,0.0254037105088393,0.0179228795964036,0.0408506957300414,-0.141138374167721,0.0168072562099364,0.12382243360029,-0.2636758662080336,0.0901447564891374,0.0790660065100782,-0.1159855713348653,-0.0195032463123574,0.0771435331404217,0.0662881480183939,0.1613006678806885,-0.0594867150642131,-0.0148579147791281,-0.0936884388782515,0.1398180160230573,76,4450,3.191184,1394.4667559125392,7.2409842303440275
1400000US40027201609,0.019679256806537,-0.2290247696422347,0.1756577993119253,-0.0312779338574283,0.0781659800257263,-0.0244632837269229,-0.0599841335987584,-0.0940058084260436,-0.0552180769242007,-0.163055802092276,-0.0760716516730139,-0.1272749736297281,-0.1635520298662597,-0.2642792376958982,-0.1865631337751181,-0.0354656306747613,-0.0791226991539531,0.118928399374852,-0.0709566227291039,-0.0146233223736887,-0.1576975856373846,0.0056452284612679,-0.012094056011792,0.0660806664445734,0.0402119120824296,0.1718525519148953,-0.1011808490651506,-0.1126398212762975,0.0657627280022589,0.1093497747496869,-0.0142843260036566,-0.0424178896330007,0.0477846202489032,-0.0874417465958353,0.0117027061814305,-0.0419350970333081,-0.1381627178892662,-0.1307160057090206,0.0154813105434407,0.0459729848045179,-0.0807873394220857,-0.1563102493015006,0.0221052655078372,-0.0468410327954136,0.1485136493945685,0.1060642996480901,0.0717236300182393,-0.0009320769078243376,0.0502644388942472,-0.1422901645328626,0.0142169382789288,0.1087108960512815,-0.2159106572498226,0.1155905661653571,0.0215921512897975,-0.0803914215508946,-0.009118626622731,0.0578116650302412,0.0281864247332321,0.2043115284590004,-0.0584165656607834,-0.0219963678341261,-0.0612463111179198,0.1204279392061668,13,4674,5.127658,911.5272508423923,6.816217948947596
1400000US40027202102,0.03999496206955,-0.2809995802652084,0.1893880941147397,-0.0017118972827999,0.0629354182296252,-0.0052482176671062,-0.0627548880124374,-0.1375867401113611,-0.0797357170217681,-0.1506375030995869,-0.041798403458696,-0.098342604449067,-0.1837124417088008,-0.2861275180917415,-0.1918385141036841,-0.0796975800134513,-0.0235580637808591,0.1423603966286715,-0.0284905766117399,-0.0406395257115291,-0.1208322314439542,0.0297333980245385,-0.0932213009416567,-0.0023782253154977,-0.0332428741785871,0.2316174198524943,-0.0229374646055881,-0.0458385396431718,-0.0064492767904484,0.1395626934498063,0.037930567152727,-0.095018783845535,0.0255048567680271,-0.0888112691352661,0.0378772497243446,-0.0558058648054218,-0.1545088524369787,-0.1572894199638011,-0.0067166353582212,0.073334541213673,-0.0707439193751264,-0.1315586952726603,0.0280012865264556,-0.0373173799117252,0.1734622207819776,0.1185552332884426,0.0292189175008326,0.0127323095980847,0.0671311207692934,-0.1298116567233898,0.0030102390693993,0.1134621189391687,-0.2752533570738781,0.1082262775263408,0.082908001707894,-0.1318701211902621,0.0142878643869648,0.0738318909483457,0.0659873189582876,0.148850387741532,-0.0436915208227043,-0.007003835399165,-0.1099542136137663,0.119863723109578,28,3211,2.347056,1368.096883926076,7.221906592635423
1400000US40027202403,-0.0045446195446306,-0.0936435673840956,0.0386980406660809,0.001336819379005,0.0916947496372694,-0.0858391680958707,-0.0248030354679905,0.0453032109642251,0.1059939135185373,-0.0425004003906636,-0.0740436485839667,-0.1121300395882696,-0.149273627906905,-0.2814477304009863,-0.116097799581614,0.0620764093283273,-0.1421814756973718,0.0390138951657413,-0.2003901257656985,-0.0541017950956785,-0.1151808029749679,0.0269323038238284,0.0169326625770959,0.1303803457268728,0.1392171520697027,0.0857740257660765,-0.2695977171733508,-0.0563862097037896,0.1159481211592316,0.1415535867538204,-0.04522381203341,0.0709901393467673,0.094822290244047,-0.09419551342512,0.0269963892411674,-0.1155751214093479,-0.1561182774695405,-0.1885308630582515,0.0326027051482784,-0.0553230085507163,0.0165509918264709,-0.1022559942818335,0.1686369193280477,-0.0783294685710183,0.0881702549302716,0.0900805013849753,0.109260720996441,-0.1430339379552565,0.063777415230288,-0.1439943232071737,-0.0699547663777146,0.1044267871346555,-0.1462001427363969,0.1676878487077009,-0.0895763171696004,-0.018684517147071,0.0171135544867002,0.0523921660248256,0.0295762581510588,0.1842206353111309,-0.0862158302303262,-0.068591730337544,-0.0416632779476955,0.1081025796859634,14,5090,122.773203,41.458558346807976,3.74852850249115
