city,gis_feature,rows,feature_dim,path
Albany,elev_mean,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_elev_mean.csv
Albany,slope_mean,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_slope_mean.csv
Albany,ndvi_mean,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_ndvi_mean.csv
Albany,water_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_water_pct.csv
Albany,developed_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_developed_pct.csv
Albany,barren_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_barren_pct.csv
Albany,forest_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_forest_pct.csv
Albany,grassland_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_grassland_pct.csv
Albany,pasture_hay_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_pasture_hay_pct.csv
Albany,cultivated_crops_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_cultivated_crops_pct.csv
Albany,woody_wetlands_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_woody_wetlands_pct.csv
Albany,herbaceous_wetlands_pct,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_herbaceous_wetlands_pct.csv
Albany,poi_edu,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_poi_edu.csv
Albany,poi_comm,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_poi_comm.csv
Albany,poi_med,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_poi_med.csv
Albany,poi_trans,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_poi_trans.csv
Albany,poi_pub,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_poi_pub.csv
Albany,poi_food,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_poi_food.csv
Albany,poi_finance,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_poi_finance.csv
Albany,poi_diversity,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_poi_diversity.csv
Albany,minor_ratio,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_minor_ratio.csv
Albany,elderly_ratio,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_elderly_ratio.csv
Albany,sex_ratio,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_sex_ratio.csv
Albany,fam_inc_lt10k,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_fam_inc_lt10k.csv
Albany,fam_inc_10to15k,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_fam_inc_10to15k.csv
Albany,fam_inc_15to25k,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_fam_inc_15to25k.csv
Albany,fam_inc_25to50k,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_fam_inc_25to50k.csv
Albany,fam_inc_50kplus,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_fam_inc_50kplus.csv
Albany,median_family_income,243,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_median_family_income.csv
Albany,persons_below_poverty,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_persons_below_poverty.csv
Albany,dist_water_m,251,65,E:\3S\code\MLP_input\Albany\Albany__AEF64_plus_dist_water_m.csv
