component,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
PC01,0.19238964752675958,-0.20067557211534237,0.13329129788749952,-0.14749947792050905,0.07728754475697125,-0.01700414761090005,-0.12667251597133536,-0.197226254636332,-0.17769801858237289,0.00842783485359472,0.07563534380945686,0.07697637089748335,0.0861589061627856,-0.1745185097480701,-0.09227886726380038,-0.16622106132298733,0.1845631696887638,0.1761318663091686,0.1328976108390351,0.08514582925161542,0.032578642997267065,-0.0017289195539693508,-0.07982847147887276,-0.08418679758156818,-0.08815681998478457,0.13969082700003346,0.17950329609193502,0.16646326348934715,-0.0047695551740331325,-0.11277606035414094,0.11639957725893481,-0.09842584682073702,-0.01784406076605923,-0.10443075694416214,0.15570837335538731,-0.10500521366500795,-0.07219848467277833,0.16457616209196302,0.03988344890369515,0.10498851535177846,-0.10285840371738779,-0.17610054108474446,-0.11880568615080146,-0.003052793243468395,0.1739742101729831,0.0947622094359618,-0.1112703312741408,0.17362532976952136,0.05345962215191003,0.10457479967354674,0.13040556876023374,0.051469586166967604,-0.16827629843833677,-0.1436784346372202,0.13171484130615693,-0.19549087317835304,0.11520838920791815,-0.09272978725735749,0.06268400757798398,0.031977145313773936,0.15585939837153884,0.15047579652474571,-0.18910855891181166,0.023675014557024095
PC02,-0.009655619853820957,0.0023335101510496455,0.11530465428733698,-0.1425758482395806,0.06512866002276903,-0.02556276407487751,-0.08063782745603054,0.03409146689313036,0.06337903154134208,-0.18331957462662754,0.12618798434093642,-0.16118257447928816,0.14291027334086584,-0.05483905518879769,-0.21238912503518204,0.0806607353911122,-0.14322736800053712,0.04440117516790401,-0.02560647428588665,0.11051743073389986,-0.03185604815603007,-0.16972771155948949,0.010974199337213773,-0.07196347663287535,0.01120895261630958,-0.0008696637917772268,0.11831080386357296,-0.05980702827879506,0.2690542641669696,-0.10756371971238064,-0.11508358571835164,0.07303928586509294,-0.06743199042656116,0.13886991731544213,0.10339478551675202,0.25108686660924046,0.2647878746064982,-0.024188049370260374,-0.07574152779569772,0.0012707290512273157,0.018819811220193546,-0.011523701325168723,-0.06984889821271216,0.1280758863517827,0.08689547862807125,-0.10218536668115938,0.25899761008459926,-0.10271723099709659,0.01515551220524339,-0.2215626611064545,0.15333836985252064,-0.06994333561685293,0.005658101889121943,-0.1558296622967414,-0.013250180343633226,0.09300944879157641,0.25670321362641507,-0.08669546443499934,-0.25619475170879896,0.2229641567418751,-0.0682479377850537,0.09805228335653152,-0.029574611986112134,0.047541442659622526
PC03,0.09896569165066817,0.07088843196872109,0.09674693861330907,-0.17974360595066352,0.0817779685793886,0.14401249868901914,0.10550979631056509,0.04306492882395753,-0.10025402895437924,0.15575740474561398,-0.1126569457706567,-0.07985455718389627,0.20531123818041483,0.023529967761869268,-0.09471432878685632,-0.17468916249672067,0.036896799298252674,-0.18170748302412362,-0.08998268328508893,-0.04236340418982728,-0.10361125866028377,-0.21475195935131386,0.11591480628243228,-0.10036960160656898,0.0488410761026061,-0.0730146911011209,0.007191027311892028,0.05862668807614733,0.07158711945284212,-0.04017599677444425,-0.040965844787584485,-0.11106294347388035,0.29261180365623135,-0.2120955508616279,-0.14741258131268967,0.04233542651377039,0.0804195837292197,0.041523805213558806,0.01933397405840222,0.08738085755988935,0.12739301031811842,-0.032173918893558015,-0.15172654270381833,-0.2720503772251985,-0.13351226876535494,-0.04736714551930678,0.03253078364395781,0.019397935533559518,-0.2347035821058543,0.14679732582506624,0.1139463199528264,0.15531324388383047,0.05463471869204048,-0.09990117037411421,-0.1625398343053022,0.09275855708019619,-0.12597552759427663,-0.16753657443226624,0.08571155204717518,0.026365215595407103,-0.13896357084712785,-0.07569398558937925,-0.0006047971312619604,0.2570085457826801
PC04,-0.007963462742904086,0.08246993547809803,-0.10520817845454132,-0.12157200449302061,-0.2126989139725428,-0.3429257571480981,0.017210850798281635,0.14601697052866483,-0.09121088193923232,0.17264468201891997,0.2705156521982728,0.27945374971483006,0.20020073805361033,-0.040480430792668706,0.04666317719563366,0.02876095014618826,0.06450131721332411,0.02528103145737596,-0.17763214800157837,-0.18325115972227174,0.1855647919155028,0.025720178375845275,-0.15499225317368945,0.1341312320337187,0.11818450829893978,-0.26202441542214217,-0.11873274572415976,0.06696397294380492,0.012679820623971577,-0.1179414803871584,0.04734013071227005,0.17900605004637668,0.16883824359575908,-0.04174212532679931,0.074149632446816,0.062007544232951475,0.007909601078592189,0.09002935569528842,0.0726877004639373,-0.1509379900602222,0.08845755385778539,-0.04154212931674402,-0.04316569959512732,0.04966235679001155,0.02327905104661293,0.10438596472001925,0.07358155793940982,0.029844438661156828,0.22981514007972642,0.07092733539052934,-0.002184112879433847,0.15316162203177944,0.09999719010685378,-0.1332799518304129,-0.11699976169373325,0.025142765716423484,0.10599609934108561,-0.08356097979021673,-0.011827164321012315,-0.004420236744783146,-0.009892212663140606,0.031114130555760892,-0.002156731697097047,-0.04259393352345102
PC05,0.0033619808407738144,0.01837353249114947,0.2599331649769804,0.028549785916590534,-0.17524747392203502,0.11798000164910545,-0.06308366605416427,-0.014403599881644108,0.11207939329118806,-0.13692587367985207,-0.05225500571107302,0.07738545204711206,-0.05442187296953252,-0.06436070458718515,0.13761164689349623,0.17669631504738792,-0.05199430480001929,0.030333683966074585,0.15519724502720764,-0.2646378851610591,-0.09483745474104942,0.24122735539113346,0.20195798431832773,0.12900355026769666,-0.014299831327172167,-0.07333742321513355,-0.11371648018718478,-0.04458902453617421,0.11696465415923667,0.15714787886601891,0.20887817403260456,-0.0825706772018032,0.09748970387402153,-0.10671813945856613,-0.0864329559054924,0.07033582241970807,-0.028933123101722854,0.09397005148899501,-0.27007156589946757,-0.038234375520441996,-0.03837020088173268,-0.1419848633338528,-0.18840752415765105,-0.015945281252155837,0.10047052437332545,-0.0292258523588229,0.022874795779222985,-0.003376514713540557,0.03588062082012873,0.043514519360646,0.08526165129590357,-0.06338874497908456,-0.14554900797008116,-0.014930011770808826,-0.21875984680810356,-0.10346675323630962,-0.0661650813330358,-0.232227187230108,0.004466247381913918,0.18268638791411967,-0.08120249791788652,0.18089560471720825,0.1402312001365045,-0.14869787855329125
PC06,-0.07749265348565154,-0.13705303080540085,-0.1307009761663915,-0.018313016529524936,0.007909898264804371,0.034945564140635654,-0.18714450657588058,-0.02313592781670748,-0.03327443596208385,-0.045498410175350085,-0.0250532678780776,-0.01490953058538401,0.013938519424257279,-0.16740546071538376,0.2066513716851097,0.06066238134507636,0.022865025193869258,0.03142269558127177,-0.02854663337894086,0.023517487663388986,-0.1565193684795722,-0.012738546208812925,0.029264178089276838,0.3171719089642397,-0.18355563471519087,-0.12995738833269577,0.010772709702174588,-0.19485499473175646,-0.005454906664104642,-0.11335604490178398,-0.21179796115311567,0.20493023604265473,0.09957358713307048,0.02405495078826872,-0.027727888372699985,0.06894175490436288,0.14054411608051343,0.050454689890527274,0.00934418191091227,0.30111524472177653,0.039199880978732,-0.1268433762662215,0.1219550893442648,0.08441316453400667,0.004734330736705074,0.2143088913663182,-0.163985508226489,0.2075518391901657,-0.11173996307154857,-0.15908107676216732,0.11171156850487192,0.21048437419253885,-0.07673038985169507,0.03685028817261928,-0.08872908927042239,-0.11825089005226007,-0.06995204801544982,0.22237954041483105,0.05355878810021655,0.11729048192663426,-0.12116208624392008,-0.008055321400091763,0.08639203400993375,0.15314584653464874
PC07,0.08634626710397021,-0.07308406654057714,-0.04588049081493362,0.11919576226423563,0.16425600054637207,-0.014667437201318495,0.10860146383861011,0.07625029455124754,-0.03563058652182982,0.0901616482945368,-0.1077436550194449,-0.039851408605296484,-0.14925233083954123,-0.274536032205721,0.023332476670639854,-0.06501820888435525,0.057361860841245504,0.044001488033475096,-0.08866248618170595,-0.05551269856648649,-0.12188210202748324,-0.07960071714568137,-0.16414219531848287,0.020147270848745173,0.39030925701673125,0.02907951948915029,-0.15126303018982518,0.017295194065284833,-0.1378942451581401,0.1119889290828042,-0.0026653559718887443,-0.005127948617754063,0.028716289687716497,0.031243160505681683,0.2183436340665581,-0.042576725174001843,-0.1644292388855735,-0.2660855189513389,-0.11148895850251868,-0.015761135212722606,0.19693677964847842,-0.20779317146146903,0.009329027845422706,0.024852819727100423,0.0806251164831855,-0.08335612876188109,-0.01565150406081512,-0.05280732681934763,-0.1282062602278485,0.020078704351828736,-0.013490595322115134,0.054476040383951464,0.07126200344844812,0.1265652778823758,-0.1840640771319454,-0.09888626030281332,0.09323177892601588,0.057148458744390396,-0.20752785317678268,0.28154895868684,0.11620826030244286,0.14570780161893038,-0.05296181275133639,0.10427808820286688
PC08,-0.07137059724257296,0.062149207775955485,0.14217979994368188,0.05153066129862431,0.35350218058140115,-0.06546224064683943,-0.0786835943159353,-0.007023516053744405,0.19477763847435756,-0.17938411699120171,-0.05859388702505932,0.006899284071268557,-0.01541013319119917,0.04517350272732239,-0.07980817366509455,0.06056101941350099,0.0185484270419861,0.1673392930417734,-0.0215399515897675,-0.08405589340538142,0.2885273271436883,-0.06908481164891997,0.24616265650277797,0.18176913379451448,0.058871214363883845,-0.10440445315701494,-0.0625274407868398,0.031423753784570074,0.00608009544773902,-0.16697671174717535,-0.1773628382030525,0.056955414489537365,0.06669942126863707,-0.03168176370718028,0.153685025093577,-0.20290761333793877,-0.23044103446318775,-0.07660127257125754,-0.019189594706648577,-0.06838411306984074,-0.05569267421810503,-0.041875590106400684,-0.04746306998006054,-0.28784979970388824,-0.11638231293965466,0.04110314092434361,0.10946700992008021,-0.03311274023942561,-0.049792870254124814,-0.050376897197428244,0.12987116014194547,0.28423195582982325,-0.1272525844794697,0.030044654027343035,0.12536212412642334,0.03836288278478925,0.030862465345695655,0.022794170794038157,-0.03373763435175167,-0.03775175219342043,-0.03764017637153108,-0.06621177538109191,-0.0374086562214268,-0.2159325426623489
PC09,0.17692096893187334,-0.049016781241202706,0.001772311740979804,0.028419937522799255,-0.01986309838957573,0.09735250858906386,0.28770586107468304,0.1652568445355756,0.018626291061376893,0.008632538930711572,0.1674944224508044,0.009041042250699988,0.05665761742214913,0.0766717113267765,0.22406684748276087,0.09656360874218306,0.08547518114393846,-0.1423390996136623,0.11777092695177419,0.09159513346957011,0.19702638093267974,-0.0043111016257112375,0.036610402023368356,0.09005277200544258,0.12234936566365234,-0.0030334769368752187,0.04058920355618771,-0.002969949149153883,0.2512300373652515,-0.26447100598467205,-0.1727594621230385,-0.02065962189178118,-0.20073504502353146,0.138324452411626,0.029193378503306215,0.013598434638552339,0.04872972525683325,0.01739322864511318,-0.3067893339337844,-0.007701512668003341,-0.14363569044521474,-0.1043387907952681,0.07443855478218749,-0.08514903323896943,-0.17271191293489585,0.13411415177411978,-0.17174467957506329,0.10379077278599426,-0.1947824842790407,0.1953442196983563,-0.062035418775211036,-0.12783160925967857,0.019789647948763017,-0.018924345113002325,-0.056428288676516836,-0.05229272329798948,0.06456701751977156,-0.08033292545989694,-0.09952203974630686,-0.09709446634960998,0.18940033000077536,0.05151517506244678,0.07165009281039691,0.06310505132468064
PC10,-0.09406745211467117,-0.006510423068484202,-0.023882581983239504,0.004237504390893987,-0.031126734607412113,-0.007400644822081387,0.1007710091859653,-0.010520789439274342,-0.12675943188959996,-0.18957871632249088,-0.032351896246649844,0.256358758054138,0.07211740307699668,0.07049753394755362,0.1419490414035533,0.04276455042205926,-0.12896657221717756,0.11127438070905002,0.0506910745816377,0.21023938664400135,-0.26610567544365327,-0.018899562482110825,0.16514911606780722,0.11362041897093167,0.06792651272894325,0.10108318172734215,0.07332248573024347,0.0750024958610017,-0.09522276346002409,-0.20802676385255994,-0.1740480737099076,-0.22810197424904483,0.0008009034612913718,0.09593120096411444,-0.002887125212604761,0.0016018035758251434,-0.051756859557430084,0.02509442171427506,0.03247006691808066,0.07161354734655612,0.4010539433030864,0.07628852350806818,0.1526916046131602,-0.12456942539954438,0.06598118586396673,-0.2874920249805015,0.02508786481934143,0.1298417148500552,0.18129372184228437,0.06199352352733181,-0.04586128065977877,0.07226661540385071,0.11644697439161089,-0.12778270349108994,-0.016461906636976928,-0.039320510351656894,-0.05130398529143358,-0.09646859607962234,-0.03931570954489965,-0.0849709811754503,-0.004470595476807539,0.18353553716527676,0.023106824027996967,-0.14591184767414295
