component,explained_variance_ratio,cumulative_explained_variance
1,0.28475749819431534,0.28475749819431534
2,0.1097023223306843,0.3944598205249996
3,0.09708467276456517,0.4915444932895648
4,0.08701509640195926,0.5785595896915241
5,0.059650521183709115,0.6382101108752332
6,0.0531493770835639,0.6913594879587971
7,0.04545121830028956,0.7368107062590866
8,0.03821781855236011,0.7750285248114467
9,0.03205151652486396,0.8070800413363106
10,0.0297728701527612,0.8368529114890718
11,0.02474780190394582,0.8616007133930177
12,0.02163259372250844,0.8832333071155262
13,0.01714187424497159,0.9003751813604978
14,0.014084431284834126,0.9144596126453319
15,0.011905359147330477,0.9263649717926624
16,0.010562031445815395,0.9369270032384778
17,0.008778413938435679,0.9457054171769135
18,0.0072631169911693836,0.9529685341680829
19,0.004987557957806229,0.9579560921258892
20,0.004148267560861144,0.9621043596867503
21,0.004078839396432063,0.9661831990831824
22,0.0033529797626203643,0.9695361788458028
23,0.002885004652229549,0.9724211834980323
24,0.0026016575150240298,0.9750228410130564
25,0.0022560911420122154,0.9772789321550686
26,0.0020040514410679007,0.9792829835961364
27,0.001835115234991459,0.9811180988311279
28,0.0017228979931614343,0.9828409968242893
29,0.0015370540795068648,0.9843780509037962
30,0.0013562819617329957,0.9857343328655291
31,0.001258365775186202,0.9869926986407154
32,0.00116249541321063,0.988155194053926
33,0.0011349144679007998,0.9892901085218269
34,0.0009889405760239662,0.9902790490978508
35,0.0008576574357232219,0.991136706533574
36,0.0007815405461013882,0.9919182470796754
37,0.0007251889401654344,0.9926434360198408
38,0.0006957122678074275,0.9933391482876482
39,0.0006721406337600572,0.9940112889214083
40,0.0005489180219929094,0.9945602069434012
41,0.0005282171733655387,0.9950884241167667
42,0.00048538846040188026,0.9955738125771686
43,0.0004072090900005318,0.9959810216671692
44,0.00038405972936798074,0.9963650813965371
45,0.0003599763980637153,0.9967250577946009
46,0.00032925957765458843,0.9970543173722555
47,0.0003097894302312557,0.9973641068024868
48,0.00029554623485221113,0.997659653037339
49,0.00026259465586152584,0.9979222476932005
50,0.0002507913932354152,0.9981730390864358
51,0.00023550653660418564,0.99840854562304
52,0.00021763611476000608,0.9986261817378
53,0.00019104134864402037,0.998817223086444
54,0.00018453449221249681,0.9990017575786565
55,0.0001771620376030876,0.9991789196162596
56,0.0001319098508780445,0.9993108294671377
57,0.00012632546398376324,0.9994371549311214
58,0.00010711603606571242,0.9995442709671871
59,0.00010437162877605255,0.9996486425959632
60,9.025598088758387e-05,0.9997388985768508
61,7.984970922283232e-05,0.9998187482860736
62,7.052916356154658e-05,0.9998892774496352
63,6.436230357962618e-05,0.9999536397532148
64,4.6360246785152626e-05,1.0
