cb_2020_3,building_count,building_area_m2,building_density,coverage_ratio
1400000US36001000100,1072.0,270466.93,452.806726,0.114244
1400000US36001000201,848.0,114490.99,1376.920666,0.185902
1400000US36001000202,366.0,138815.0,253.903947,0.0963
1400000US36001000301,800.0,116701.31,1213.042021,0.176954
1400000US36001000302,1319.0,434857.46,258.732009,0.085301
1400000US36001000401,149.0,287180.91,16.48686,0.031777
1400000US36001000403,2255.0,368000.9,718.450314,0.117246
1400000US36001000404,103.0,176436.62,55.10591,0.094395
1400000US36001000501,960.0,133438.39,1754.097462,0.243817
1400000US36001000502,717.0,127188.21,922.239872,0.163596
1400000US36001000600,1009.0,145289.05,1990.60529,0.286633
1400000US36001000700,1130.0,240330.44,708.937316,0.150778
1400000US36001000800,679.0,104520.21,1971.476023,0.303474
1400000US36001001100,506.0,409062.75,290.773181,0.235068
1400000US36001001400,792.0,126680.15,1052.090432,0.168282
1400000US36001001500,1025.0,139498.37,1759.952747,0.239522
1400000US36001001600,1355.0,170637.21,1480.505404,0.186442
1400000US36001001700,1482.0,238531.81,1083.301658,0.17436
1400000US36001001802,2096.0,216475.87,1097.392541,0.113339
1400000US36001001803,1753.0,223904.38,990.816437,0.126553
1400000US36001001804,898.0,148851.48,143.097399,0.02372
1400000US36001001901,1416.0,149252.2,1625.726899,0.171358
1400000US36001001902,1668.0,170116.58,1422.308933,0.145059
1400000US36001002000,1854.0,251894.07,641.290384,0.087129
1400000US36001002100,617.0,313153.09,422.430874,0.214401
1400000US36001002200,609.0,67156.41,2451.779654,0.270366
1400000US36001002300,490.0,96445.2,765.174265,0.150607
1400000US36001002500,676.0,129433.3,1012.963232,0.193951
1400000US36001002600,1511.0,395238.07,362.090405,0.094713
1400000US36001012700,9.0,1822.44,5.940065,0.001203
1400000US36001012800,15.0,9707.44,9.216465,0.005965
1400000US36001012900,22.0,34944.27,14.671401,0.023304
1400000US36001013000,62.0,23197.35,12.087952,0.004523
1400000US36001013100,38.0,124293.94,19.575702,0.06403
1400000US36001013200,22.0,14029.26,25.580087,0.016312
1400000US36001013300,55.0,21371.78,39.67441,0.015417
1400000US36001013400,102.0,27765.72,82.559206,0.022474
1400000US36001013503,25.0,49403.98,2.162918,0.004274
1400000US36001013505,26.0,67586.47,8.753605,0.022755
1400000US36001013507,60.0,168958.26,10.740814,0.030246
1400000US36001013509,21.0,37191.49,3.825981,0.006776
1400000US36001013510,17.0,38621.77,6.409067,0.014561
1400000US36001013511,68.0,135437.71,8.035237,0.016004
1400000US36001013512,215.0,80949.35,22.563939,0.008496
1400000US36001013602,928.0,409717.99,117.024181,0.051667
1400000US36001013603,127.0,88641.55,19.152445,0.013368
1400000US36001013604,32.0,54600.64,4.435659,0.007568
1400000US36001013703,232.0,429469.77,14.380299,0.02662
1400000US36001013706,1135.0,191020.53,413.881475,0.069656
1400000US36001013707,35.0,33052.94,4.300802,0.004062
1400000US36001013708,90.0,150372.51,20.096773,0.033578
1400000US36001013709,2159.0,331097.43,528.202697,0.081003
1400000US36001013802,12.0,4249.24,2.19957,0.000779
1400000US36001013803,16.0,18794.18,2.654613,0.003118
1400000US36001013804,77.0,149450.43,5.162306,0.01002
1400000US36001013901,204.0,253323.96,52.657663,0.065389
1400000US36001013902,186.0,115352.35,41.135854,0.025511
1400000US36001014001,205.0,395272.5,49.55187,0.095544
1400000US36001014002,1581.0,155862.88,664.291855,0.065489
1400000US36001014100,28.0,41903.94,1.706323,0.002554
1400000US36001014201,86.0,118453.89,6.846256,0.00943
1400000US36001014202,24.0,20898.65,3.084616,0.002686
1400000US36001014203,15.0,40119.93,1.357337,0.00363
1400000US36001014301,99.0,137707.43,3.075988,0.004279
1400000US36001014303,5.0,13850.1,0.667475,0.001849
1400000US36001014304,129.0,265182.52,3.264945,0.006712
1400000US36001014401,9.0,4448.5,0.071334,3.5e-05
1400000US36001014402,3.0,18792.28,0.789054,0.004943
1400000US36001014501,42.0,16117.49,0.760493,0.000292
